id,1920,1924,1928,1932,1936,1940,1944,1948,1956,1964,1968,1972,1976,1980,1984,1992
1075,4201ba,3003ca,5c00a2,1a00e3,1300eb,1701e6,2101db,1ce200,4102bb,b84600,0fe10d,cd012f,4d05ab,72018a,ab0053,781c69
1077,4c04ae,4207b5,5600a8,1d01e0,1302e9,1701e6,2001dd,24da00,3501c7,798500,27b51d,b60740,4f04ab,610d8f,880372,671e78
1079,760285,5102ab,7d0081,2200dc,2a00d3,2c01d1,3a00c3,32cc00,4801b4,7f7f00,13d316,c0003d,2b01d1,4705b2,770482,4e238c
1081,1400da,1013da,690095,0c01f1,0a00f3,0900f4,0f00ee,20de00,5008a6,c83600,2d9536,bf043b,860572,7f106f,a30358,792062
1083,2202da,150ade,3100cd,0900f4,0901f4,0700f6,0b00f2,0ef000,1f00de,708e00,15cf15,ba053e,3f04bb,570c9b,990362,742a5f
1085,0002fc,000af4,3300cb,0004fa,0002fc,0002fc,0005f9,00fe00,453385,d42a00,128e60,6c068c,4b05ae,4802ab,4f02ad,410ead
1087,1500e8,1401e8,650098,0e00ef,0800f6,0800f6,1200ec,17e700,7c0b77,629c00,0a40b1,5405a5,2f05ca,2403cc,2902d2,2008d3
1089,2502d7,2405d5,7f007f,1a02e2,1501e8,1700e6,1500e8,21dd00,3e02be,847a00,409227,bb043f,5d039d,770f77,a40257,79285c
1091,0700f7,0004fa,4800b6,0500f3,0003fb,0700f7,0c01f1,08f600,540f9b,d12d00,0c9060,a50455,6f0589,6a0488,830378,65147f
1093,6d0090,0002fc,7d0081,2f03cb,4003bb,4805b1,660097,53ab00,770186,b14d00,2dc20b,d90124,5300ab,7b0281,a1005d,6d1a76
1095,7c0181,620497,84007a,2f05c9,2d00d0,2d01cf,4300bb,41bd00,5202a9,8f6f00,29c20e,bd033d,4c05ad,680b8a,9a0460,742463
1097,4b04ae,4810a5,740089,2501d7,1603e5,2302d8,3a02c1,31cd00,850b6e,b44a00,1dab33,ba063d,810479,930764,9f035c,811a61
1099,0006f8,0009f5,71008d,0800f6,0003fb,0004fa,0500f8,00fe00,410bb2,cf2f00,0db53a,be033c,7a0480,810577,9a0261,801365
1101,0b01f1,0b13df,5300ab,0a00f3,0005f9,0005f9,0a01f3,1ce200,762b5d,c03e00,249542,b70541,880372,890a6b,93016a,78166e
1103,3903c2,2a1eb6,8b0073,1d04dd,1201eb,1501e7,2202d9,1de100,4505b3,906e00,22c015,c30436,5803a2,730b80,ad0050,7a2c57
1105,0602f5,0603f5,4400ba,0600f2,0003fb,0600f7,0b00f3,07f700,561f89,cb3300,0e7f70,7d027f,5201ab,5802a4,7a0380,5009a2
1107,2703d4,1c03de,61009d,1301de,0f01ee,1301ea,1f01de,0fef00,590f95,d12d00,0cb739,ab0151,6f018d,6f028c,8f006e,711576
1109,1c01e0,0006f8,3b00c3,0500f9,0004fa,0900f4,0906ef,0cf200,420eae,d72700,14b82f,c30337,70038a,850970,9f045a,7b176a
1111,72008b,5503a6,960068,4101bc,3801c5,3700c6,4702b5,45b900,5401a8,9f5f00,1fbf18,bf0539,600995,750379,a70452,771c67
1113,0901e4,060fe8,4603b4,0500f8,0701f6,0005f9,0d00f1,0df100,4808ae,c13d00,0fab3d,aa0350,5407a3,540699,750386,5a168c
1115,8c0269,810a73,a80055,640297,60019d,61019c,60019d,5aa400,7d057c,b44a00,2ab916,cb062d,720784,910661,b50445,921e4c
1117,8e016f,740c7d,970165,4302b8,3e02be,4000be,5201ab,53ab00,840872,c03e00,28b71a,cf0629,8a066e,a30a51,c60235,ad1a36
1119,0004fa,0805f1,2800d6,0005f9,0004fa,0800f6,0b00f2,0bf300,581195,cc3200,10727b,7d017f,62019a,4a02b1,5a00a3,410eae
1121,4c01b0,4205b6,7b0082,2700d6,1c00d9,1e00e0,2d01cf,28d600,6f048b,b44a00,1ab72a,ba0142,5d0399,7a077d,9b055e,7a1967
1123,1a02e1,0001fd,670097,0900f4,0900f5,0700f6,0900f4,10ee00,4403b7,c23c00,19c31c,c80431,650693,6f0788,a80353,86195e
1125,1f01dd,160dda,4d00b1,0d01ef,0d01f0,1000ee,1a02e1,1ee000,5c0b97,af4f00,22a731,b20645,6e048b,7b0b77,a0035b,781e67
1127,79057f,650e8b,750089,3f02bd,3903c2,4000be,5201aa,4eb000,660197,946a00,22bd19,c80233,4f00ae,620498,890371,611c80
1129,2001dd,1404e5,6a0094,0e00ef,0a01f2,0a00f3,1200eb,05f900,4d08a9,b24c00,08cb28,be003f,61019c,750287,950068,66197e
1131,0000fe,0005f9,3600c8,0004fa,0002fc,0003fb,0600f8,00fe00,562286,ea1400,0d905f,71028b,5300aa,5001ad,62009b,5008a5
1133,af004f,9b075c,c1003d,7e017f,860077,8b0073,9f015e,a45a00,a70057,b54900,648b0b,db0022,780085,960265,b80046,8c1c56
2013,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2016,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2020,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2050,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2060,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2068,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2070,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2090,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2100,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2105,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2110,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2122,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2130,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2150,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2164,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2170,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2180,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2185,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2188,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2195,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2198,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2220,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2230,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2240,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2261,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2270,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2275,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2282,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
2290,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0,000000,000000,000000,000000,000000
4001,850079,7b156d,83007b,5f009f,4501b7,5100ad,5e00a0,640099,a1005d,790085,7f1865,800776,5507a2,90105e,6e028e,401b9c
4003,8b0073,61415b,92016b,4000b1,3201c5,4300ba,5300ab,5e0798,8f006f,74008a,742464,a30753,7f0277,97174f,9e025d,5d3c61
4005,a1005d,733d4e,960167,4903b1,4b01ab,62009b,71008d,780284,a1005c,840079,97174e,9b075b,830270,8e1c4c,960062,523871
4007,880076,584d59,81007d,4600af,3b00bc,4f00ae,5101ac,5105a7,82007c,5900a5,5e207e,8b0969,6d0289,8c1160,8e036c,4f4068
4009,74008a,542882,6e008f,3202c9,2708ce,4401b9,5200ab,5b02a1,950069,7c0082,782c59,99154f,86096f,980c59,9e025d,6d3059
4011,71008d,4c2191,6b0192,3102cb,1f03db,3800c5,4500b8,3a12b2,650099,4300bb,4512a5,740585,5b069c,670d89,790184,5c326c
4012,000000,000000,000000,000000,000000,000000,000000,5505a4,000000,000000,772164,000000,000000,000000,a20358,524c5c
4013,8f006f,712a62,9e005f,5603a4,4901ab,630199,6e008f,760682,a0005e,890075,961750,b00944,9d0358,a5143e,b70245,684053
4015,93006b,605f3e,990163,3b00b9,3d01b6,5e00a0,6c0091,6d048c,9b0062,7a0083,832456,af0b43,840371,af113e,b0024b,554f53
