id,margin,ford,carter,other,hex_color
06045,4.04%, 45.49%, 49.53%, 4.98%,730c7e
06047,5.57%, 46.08%, 51.65%, 2.26%,750583
06049,4.91%, 51.20%, 46.29%, 2.51%,820676
06051,21.13%, 58.80%, 37.67%, 3.53%,950960
06053,5.05%, 51.02%, 45.97%, 3.00%,820775
06055,6.94%, 51.83%, 44.89%, 3.28%,840872
06057,1.45%, 48.40%, 46.95%, 4.65%,7b0b77
06059,26.83%, 62.16%, 35.33%, 2.52%,9e065a
06061,7.12%, 45.03%, 52.16%, 2.81%,720785
06063,8.30%, 43.94%, 52.25%, 3.81%,700985
06065,0.78%, 49.24%, 48.46%, 2.29%,7d057b
06067,7.65%, 44.63%, 52.27%, 3.10%,710785
06069,4.13%, 50.87%, 46.74%, 2.40%,810677
06071,1.59%, 49.49%, 47.90%, 2.61%,7e067a
06073,14.14%, 55.74%, 41.60%, 2.66%,8e066a
06075,11.75%, 40.31%, 52.06%, 4.97%,660c84
06077,1.52%, 49.60%, 48.08%, 2.32%,7e057a
06079,5.27%, 51.17%, 45.91%, 2.92%,820775
06081,6.23%, 50.63%, 44.40%, 4.97%,810c71
06083,4.93%, 50.83%, 45.91%, 3.26%,810875
06085,2.52%, 49.46%, 46.94%, 3.59%,7e0977
06087,7.98%, 43.09%, 51.06%, 5.85%,6d0e82
06089,5.09%, 45.63%, 50.72%, 3.65%,740981
06091,10.22%, 43.15%, 53.36%, 3.49%,6e0888
06093,0.07%, 48.37%, 48.31%, 3.32%,7b087b
06095,12.24%, 42.40%, 54.64%, 2.96%,6c078b
06097,0.19%, 47.72%, 47.52%, 4.76%,790c79
06099,7.50%, 44.83%, 52.34%, 2.83%,720785
06101,11.03%, 54.21%, 43.18%, 2.60%,8a066e
06103,6.45%, 44.81%, 51.27%, 3.92%,720982
06105,4.20%, 45.66%, 49.86%, 4.48%,740b7f
06107,10.80%, 54.52%, 43.72%, 1.76%,8b046f
06109,2.98%, 46.94%, 49.93%, 3.13%,77077f
06111,9.10%, 53.20%, 44.10%, 2.70%,870670
06113,11.91%, 42.42%, 54.33%, 3.25%,6c088a
06115,7.77%, 44.74%, 52.51%, 2.75%,720785
08001,6.60%, 45.30%, 51.90%, 0.72%,730184
08003,11.26%, 53.51%, 42.25%, 0.56%,88016b
08005,29.61%, 63.45%, 33.85%, 2.70%,a10656
08007,9.50%, 53.63%, 44.13%, 0.21%,880070
08009,5.54%, 51.97%, 46.43%, 1.60%,840476
08011,4.52%, 46.61%, 51.13%, 2.26%,760582
08013,11.75%, 52.71%, 40.96%, 1.09%,860268
08014,0%,-,-,-,000000
08015,16.68%, 56.66%, 39.98%, 1.07%,900265
08017,1.18%, 48.15%, 49.33%, 2.53%,7a067d
08019,15.29%, 55.36%, 40.07%, 1.57%,8d0466
08021,8.52%, 44.65%, 53.16%, 2.19%,710587
08023,44.09%, 26.96%, 71.05%, 1.99%,4405b5
08025,10.99%, 54.90%, 43.91%, 1.18%,8b036f
08027,29.48%, 62.39%, 32.91%, 1.27%,9f0353
08029,20.64%, 58.82%, 38.17%, 0.72%,950161
08031,2.76%, 46.73%, 49.50%, 1.40%,77037e
08033,4.12%, 45.61%, 49.73%, 1.20%,74037e
08035,33.80%, 65.54%, 31.74%, 0.63%,a70150
08037,31.64%, 64.18%, 32.53%, 0.89%,a30252
08039,8.70%, 52.72%, 44.02%, 0.62%,860170
08041,20.92%, 59.13%, 38.21%, 2.66%,960661
08043,7.07%, 52.44%, 45.38%, 2.18%,850573
08045,23.48%, 59.74%, 36.26%, 1.17%,98025c
08047,10.23%, 41.19%, 51.42%, 2.01%,690583
08049,28.76%, 61.77%, 33.01%, 1.12%,9d0254
08051,31.76%, 61.88%, 30.12%, 1.73%,9d044c
08053,37.32%, 66.55%, 29.23%, 0.35%,a9004a
08055,23.70%, 37.35%, 61.04%, 1.61%,5f049b
08057,23.53%, 60.83%, 37.30%, 1.87%,9b045f
08059,23.81%, 60.44%, 36.64%, 0.74%,9a015d
08061,6.07%, 52.59%, 46.53%, 0.88%,860276
08063,6.67%, 52.28%, 45.61%, 2.10%,850574
08065,0.79%, 48.03%, 47.24%, 2.01%,7a0578
08067,22.61%, 59.05%, 36.44%, 1.55%,96035c
08069,24.85%, 60.72%, 35.87%, 0.85%,9a025b
08071,25.70%, 36.45%, 62.15%, 1.41%,5c039e
08073,9.09%, 53.46%, 44.37%, 2.18%,880571
08075,8.93%, 53.32%, 44.39%, 2.29%,870571
08077,33.29%, 65.44%, 32.15%, 2.41%,a60651
08079,16.08%, 55.56%, 39.48%, 0.24%,8d0064
08081,17.19%, 55.68%, 38.49%, 2.65%,8d0662
08083,19.49%, 57.99%, 38.50%, 0.58%,930162
08085,20.21%, 58.42%, 38.20%, 0.72%,940161
08087,9.33%, 53.34%, 44.01%, 2.64%,880670
08089,5.37%, 51.54%, 46.17%, 2.30%,830575
08091,30.23%, 62.50%, 32.27%, 0.48%,9f0152
08093,15.65%, 55.24%, 39.58%, 1.60%,8c0464
08095,1.31%, 48.12%, 49.43%, 0.42%,7a017e
08097,13.81%, 53.61%, 39.80%, 1.07%,880265
08099,5.06%, 46.13%, 51.20%, 2.67%,750682
08101,16.22%, 41.02%, 57.24%, 1.74%,680491
08103,37.94%, 67.24%, 29.30%, 0.79%,ab024a
08105,27.35%, 62.37%, 35.02%, 0.52%,9f0159
08107,13.27%, 54.13%, 40.86%, 0.92%,8a0268
08109,1.58%, 49.50%, 47.92%, 0.27%,7e007a
08111,13.14%, 53.77%, 40.63%, 0.49%,890167
08113,3.66%, 43.83%, 47.50%, 1.20%,6f0379
08115,7.59%, 53.06%, 45.47%, 1.47%,870373
08117,23.54%, 58.15%, 34.62%, 1.94%,940458
08119,16.82%, 55.93%, 39.11%, 1.23%,8e0363
08121,8.37%, 52.63%, 44.26%, 0.88%,860270
08123,13.79%, 55.35%, 41.56%, 0.76%,8d0169
08125,7.22%, 52.20%, 44.98%, 0.71%,850172
09001,16.96%, 58.15%, 41.18%, 0.67%,940169
09003,4.39%, 47.51%, 51.90%, 0.59%,790184
09005,11.26%, 55.32%, 44.06%, 0.62%,8d0170
09007,3.33%, 51.39%, 48.05%, 0.56%,83017a
09009,5.07%, 52.17%, 47.10%, 0.73%,850178
09011,1.41%, 50.40%, 48.98%, 0.62%,80017c
09013,1.33%, 50.41%, 49.08%, 0.51%,80017d
09015,7.15%, 46.11%, 53.26%, 0.62%,750187
10001,13.32%, 42.83%, 56.15%, 1.02%,6d028f
10003,4.37%, 47.01%, 51.38%, 1.61%,770483
10005,3.88%, 47.56%, 51.44%, 1.01%,790283
11001,65.12%, 16.51%, 81.63%, 1.86%,2a04d0
12001,27.70%, 34.87%, 62.58%, 2.55%,58069f
12003,45.94%, 25.22%, 71.16%, 3.62%,4009b5
12005,2.20%, 48.19%, 50.39%, 1.42%,7a0380
12007,38.95%, 29.91%, 68.86%, 1.23%,4c03af
12009,2.11%, 48.15%, 50.26%, 1.59%,7a0480
12011,4.40%, 47.15%, 51.55%, 1.30%,780383
12013,36.16%, 31.26%, 67.42%, 1.33%,4f03ab
12015,10.30%, 54.44%, 44.14%, 1.41%,8a0370
12017,8.27%, 45.03%, 53.30%, 1.67%,720487
12019,0.34%, 49.38%, 49.04%, 1.57%,7d047d
12021,24.80%, 61.76%, 36.96%, 1.28%,9d035e
12023,25.41%, 36.66%, 62.08%, 1.26%,5d039e
12027,14.83%, 41.48%, 56.30%, 2.22%,69058f
12029,58.54%, 20.28%, 78.82%, 0.91%,3302c8
12031,16.93%, 41.08%, 58.01%, 0.90%,680293
12033,3.95%, 51.38%, 47.42%, 1.20%,830378
12035,24.43%, 37.41%, 61.84%, 0.74%,5f019d
12037,27.08%, 35.45%, 62.53%, 2.02%,5a059f
12039,31.32%, 33.85%, 65.17%, 0.98%,5602a6
12041,54.33%, 22.43%, 76.76%, 0.81%,3902c3
12043,34.96%, 31.76%, 66.72%, 1.53%,5003aa
12045,24.69%, 37.00%, 61.69%, 1.31%,5e039d
12047,42.66%, 26.91%, 69.57%, 1.42%,4403b1
12049,9.42%, 42.86%, 52.28%, 0.43%,6d0185
12051,11.61%, 43.32%, 54.94%, 1.74%,6e048c
12053,14.01%, 42.19%, 56.20%, 1.62%,6b048f
12055,6.99%, 52.86%, 45.88%, 1.26%,860374
12057,9.18%, 44.82%, 54.01%, 1.17%,720289
12059,27.14%, 35.71%, 62.86%, 1.43%,5b03a0
12061,7.00%, 52.63%, 45.63%, 1.74%,860474
12063,22.86%, 37.90%, 60.76%, 1.34%,60039a
12065,25.31%, 36.30%, 61.62%, 2.08%,5c059d
12067,36.22%, 31.41%, 67.63%, 0.96%,5002ac
12069,16.12%, 57.42%, 41.31%, 1.27%,920369
12071,10.71%, 54.50%, 43.80%, 1.70%,8a046f
12073,9.34%, 44.42%, 53.76%, 1.82%,710489
12075,33.41%, 31.87%, 65.28%, 0.84%,5102a6
12077,29.11%, 34.91%, 64.02%, 1.07%,5902a3
12079,28.91%, 34.94%, 63.85%, 1.21%,5903a2
12081,9.12%, 53.90%, 44.78%, 1.32%,890372
12083,2.38%, 47.99%, 50.37%, 1.64%,7a0480
12085,13.96%, 56.28%, 42.33%, 1.39%,8f036b
12086,17.61%, 40.45%, 58.06%, 1.48%,670394
12087,14.41%, 41.67%, 56.08%, 2.26%,6a058f
12089,30.20%, 34.31%, 64.51%, 1.18%,5703a4
12091,13.18%, 55.86%, 42.68%, 1.46%,8e036c
12093,32.87%, 33.12%, 65.99%, 0.89%,5402a8
12095,9.21%, 54.01%, 44.80%, 1.18%,890372
12097,1.19%, 49.82%, 48.63%, 1.55%,7f037c
12099,0.77%, 49.45%, 48.68%, 1.87%,7e047c
12101,8.61%, 45.11%, 53.72%, 1.16%,730288
12103,2.75%, 50.75%, 48.00%, 1.25%,81037a
12105,3.29%, 47.72%, 51.01%, 1.27%,790382
12107,30.77%, 34.03%, 64.81%, 1.16%,5602a5
12109,5.23%, 46.34%, 51.58%, 2.08%,760583
12111,3.65%, 47.51%, 51.16%, 1.33%,790382
12113,6.33%, 52.39%, 46.06%, 1.55%,850375
12115,24.99%, 61.78%, 36.78%, 1.44%,9d035d
12117,15.05%, 56.94%, 41.89%, 1.17%,91026a
12119,35.39%, 31.20%, 66.59%, 2.21%,4f05a9
12121,31.25%, 32.49%, 63.74%, 0.50%,5201a2
12123,25.66%, 36.68%, 62.34%, 0.98%,5d029e
12125,45.88%, 26.67%, 72.55%, 0.78%,4401b9
12127,13.19%, 42.53%, 55.72%, 1.75%,6c048e
12129,18.98%, 38.80%, 57.78%, 1.35%,620393
12131,27.41%, 35.35%, 62.76%, 1.88%,5a04a0
12133,20.90%, 38.58%, 59.47%, 1.95%,620497
13001,57.72%, 21.14%, 78.86%,-,3500c9
13003,63.61%, 18.20%, 81.80%,-,2e00d0
13005,60.25%, 19.87%, 80.13%,-,3200cc
13007,58.42%, 20.79%, 79.21%,-,3500c9
13009,12.82%, 43.59%, 56.41%,-,6f008f
13011,75.71%, 12.15%, 87.85%,-,1e00e0
13013,55.42%, 22.29%, 77.71%,-,3800c6
13015,62.64%, 18.68%, 81.32%,-,2f00cf
13017,50.11%, 24.95%, 75.05%,-,3f00bf
13019,71.89%, 14.05%, 85.95%,-,2300db
13021,42.67%, 28.66%, 71.34%,-,4900b5
13023,45.65%, 27.17%, 72.83%,-,4500b9
13025,73.00%, 13.50%, 86.50%,-,2200dc
13027,41.30%, 29.35%, 70.65%,-,4a00b4
13029,45.76%, 27.12%, 72.88%,-,4500b9
13031,24.45%, 37.77%, 62.23%,-,60009e
13033,31.64%, 34.18%, 65.82%,-,5700a7
13035,55.93%, 22.03%, 77.97%,-,3800c6
13037,52.35%, 23.83%, 76.17%,-,3c00c2
13039,49.71%, 25.15%, 74.85%,-,4000be
13043,36.48%, 31.76%, 68.24%,-,5000ae
13045,46.82%, 26.59%, 73.41%,-,4300bb
13047,22.62%, 38.69%, 61.31%,-,62009c
13049,58.95%, 20.53%, 79.47%,-,3400ca
13051,14.07%, 42.96%, 57.04%,-,6d0091
13053,47.95%, 26.02%, 73.98%,-,4200bc
13055,62.34%, 18.83%, 81.17%,-,3000ce
13057,42.96%, 28.52%, 71.48%,-,4800b6
13059,26.36%, 36.82%, 63.18%,-,5d00a1
13061,52.50%, 23.75%, 76.25%,-,3c00c2
13063,24.83%, 37.58%, 62.42%,-,5f009f
13065,57.37%, 21.31%, 78.69%,-,3600c8
13067,13.46%, 43.27%, 56.73%,-,6e0090
13069,52.91%, 23.55%, 76.45%,-,3c00c2
13071,52.11%, 23.94%, 76.06%,-,3d00c1
13073,15.45%, 42.27%, 57.73%,-,6b0093
13075,62.27%, 18.86%, 81.14%,-,3000ce
13077,34.11%, 32.95%, 67.05%,-,5400aa
13079,65.95%, 17.03%, 82.97%,-,2b00d3
13081,47.67%, 26.17%, 73.83%,-,4200bc
13083,23.97%, 38.02%, 61.98%,-,60009e
13085,57.81%, 21.09%, 78.91%,-,3500c9
13087,19.82%, 40.09%, 59.91%,-,660098
13089,12.80%, 43.60%, 56.40%,-,6f008f
13091,72.26%, 13.87%, 86.13%,-,2300db
13093,57.69%, 21.16%, 78.84%,-,3500c9
13095,10.21%, 44.89%, 55.11%,-,72008c
13097,32.69%, 33.65%, 66.35%,-,5500a9
13099,35.04%, 32.48%, 67.52%,-,5200ac
13101,68.10%, 15.95%, 84.05%,-,2800d6
13103,27.46%, 36.27%, 63.73%,-,5c00a2
13105,66.23%, 16.89%, 83.11%,-,2b00d3
13107,51.02%, 24.49%, 75.51%,-,3e00c0
13109,37.23%, 31.38%, 68.62%,-,5000ae
13111,12.50%, 43.75%, 56.25%,-,6f008f
13113,13.44%, 43.28%, 56.72%,-,6e0090
13115,32.53%, 33.73%, 66.27%,-,5600a8
13117,52.97%, 23.52%, 76.48%,-,3b00c3
13119,71.84%, 14.08%, 85.92%,-,2300db
13121,35.68%, 32.16%, 67.84%,-,5200ac
13123,32.93%, 33.54%, 66.46%,-,5500a9
13125,30.98%, 34.51%, 65.49%,-,5800a6
13127,27.29%, 36.35%, 63.65%,-,5c00a2
13129,56.18%, 21.91%, 78.09%,-,3700c7
13131,51.32%, 24.34%, 75.66%,-,3e00c0
13133,59.07%, 20.46%, 79.54%,-,3400ca
13135,19.93%, 40.03%, 59.97%,-,660098
13137,59.13%, 20.44%, 79.56%,-,3400ca
13139,43.09%, 28.46%, 71.54%,-,4800b6
13141,52.96%, 23.52%, 76.48%,-,3b00c3
13143,55.53%, 22.24%, 77.76%,-,3800c6
13145,29.90%, 35.05%, 64.95%,-,5900a5
13147,68.53%, 15.74%, 84.26%,-,2800d6
13149,57.26%, 21.37%, 78.63%,-,3600c8
13151,37.11%, 31.44%, 68.56%,-,5000ae
13153,41.79%, 29.10%, 70.90%,-,4a00b4
13155,56.39%, 21.80%, 78.20%,-,3700c7
13157,65.44%, 17.28%, 82.72%,-,2c00d2
13159,45.77%, 27.12%, 72.88%,-,4500b9
13161,58.90%, 20.55%, 79.45%,-,3400ca
13163,40.82%, 29.59%, 70.41%,-,4b00b3
13165,52.75%, 23.63%, 76.37%,-,3c00c2
13167,51.99%, 24.00%, 76.00%,-,3d00c1
13169,44.99%, 27.51%, 72.49%,-,4600b8
13171,53.36%, 23.32%, 76.68%,-,3b00c3
13173,71.95%, 14.02%, 85.98%,-,2300db
13175,44.85%, 27.58%, 72.42%,-,4600b8
13177,21.75%, 39.13%, 60.87%,-,63009b
13179,54.54%, 22.73%, 77.27%,-,3900c5
13181,46.64%, 26.68%, 73.32%,-,4400ba
13183,69.69%, 15.15%, 84.85%,-,2600d8
13185,32.36%, 33.82%, 66.18%,-,5600a8
13187,61.59%, 19.21%, 80.79%,-,3000ce
13189,28.19%, 35.91%, 64.09%,-,5b00a3
13191,57.42%, 21.29%, 78.71%,-,3600c8
13193,65.05%, 17.47%, 82.53%,-,2c00d2
13195,50.25%, 24.88%, 75.12%,-,3f00bf
13197,63.74%, 18.13%, 81.87%,-,2e00d0
13199,53.82%, 23.09%, 76.91%,-,3a00c4
13201,52.68%, 23.66%, 76.34%,-,3c00c2
13205,48.18%, 25.91%, 74.09%,-,4200bc
13207,46.63%, 26.68%, 73.32%,-,4400ba
