id,1948,1956,1968,1992
8007,70018c,980065,7e156a,70434a
8009,790283,980065,922249,783e46
8011,6e028d,91006d,79166f,55396f
8013,840971,aa0153,930d5c,433781
8014,000000,000000,0,000000
8015,690293,a2005c,821566,623e5c
8017,830278,9d0061,8e1d53,813d3f
8019,80027c,a50158,86185f,4d4a63
8021,660394,ca0132,740a7f,552a7d
8023,5c049d,6c048e,5205a0,351cab
8025,80017d,9e0060,80205d,693063
8027,930367,aa0054,9a1b48,78443f
8029,7c057d,a50059,8d1759,693f53
8031,730486,8e026e,6f0d80,402b8e
8033,70048a,990064,872d4a,5e5548
8035,8e016f,ad0150,9c1a46,76483f
8037,660b8c,92006b,7d136e,48595a
8039,8f026c,a50059,9b1b48,6f4f3e
8041,8c036e,950267,891a5a,833445
8043,820378,ab0052,881a5b,643e5a
8045,7f027d,a0005e,85195f,50505c
8047,7e057b,9d0061,862551,424e69
8049,7e037c,b50048,ab123f,5b4b57
8051,700687,9e0060,940e5b,494a69
8053,a3005b,c3003b,a81d39,644850
8055,5605a2,7a0084,590b98,4b2a86
8057,860078,a90054,ac1240,6f5639
8059,820378,a2015b,911359,5e425c
8061,870275,a4005a,8f1758,744247
8063,960266,b40049,9b1250,7d4040
8065,5508a1,82007b,5a1988,344b7c
8067,820478,aa0054,911656,5a4260
8069,920269,b70047,9e0f4e,5c3f61
8071,4e03ac,81007c,540d9c,432595
8073,80017c,9c0062,911953,774046
8075,7f017d,a40059,911854,684253
8077,6e038d,a0005e,7e1867,693c57
8079,6d0090,9f005e,6f1579,5a4261
8081,860375,af004f,9e1c43,5a5d45
8083,7d027f,a2015b,8f1f4e,68494b
8085,7b047e,9e0060,861c5a,694350
8087,880274,a3005a,9c144e,6a3e55
8089,5401a9,9c0061,7e1369,5f306a
8091,8c0270,a80155,842752,694b4a
8093,8d026f,b3004a,952147,5b534d
8095,850573,a1005d,911854,773a4c
8097,6c078a,9e0060,8f115b,394182
8099,7e027e,92006b,7d166a,703853
8101,5c049d,850574,57148f,482c88
8103,8e026d,b60048,a4193f,6e4745
8105,860077,a80056,940b5f,6c3a56
8107,680491,92006b,89195c,495063
8109,780184,93016a,850f69,4f3776
8111,77087e,94006a,752a5f,426752
8113,6a0390,93006a,871364,3c3c84
8115,8b0171,a2005c,9b0f54,634158
8117,6e018e,a4005a,921952,445265
8119,7b0380,a90055,852e4a,704745
8121,8d0170,a60057,9b2141,7b4140
8123,860275,a0005e,921258,62405b
8125,890173,a3005a,9f144a,724347
9001,8b096a,b2004c,84106a,6d2d63
9003,720587,94006a,620c8f,513478
9005,930466,b2004c,7c0d74,5e435c
9007,830477,a50059,730e7c,4d436d
9009,7b067c,a0005e,691381,5d356a
9011,780481,9c0062,710e7e,4a466b
9013,840575,a2005c,730d7d,4f4569
9015,760285,980066,680a8c,4e4866
10001,81017c,850178,71305c,623861
10003,7c037e,8d0070,721d6f,553076
10005,890174,8b0072,782c5a,633d5d
11001,000000,000000,2e00d0,170ad7
12001,3c655d,880076,564e5a,4c337e
12003,182eb8,3300cb,1bb62d,81314a
12005,202ab4,5d00a1,359f2a,7f3647
12007,29468e,5600a8,26993f,70305c
12009,6a296b,b70047,7a483c,6e404f
12011,81205c,b80046,8a294a,4e2b84
12013,1225c7,3e00c0,1dc120,5f415c
12015,702568,a0005e,80304d,633c5e
12017,472691,81007d,625c3f,5d465a
12019,432c8f,880076,596f35,932f3b
12021,474e68,980066,814735,883342
12023,2a4b89,5c00a2,358c3c,6e315e
12027,452b8d,7b0083,447f3a,69395a
12029,163bac,4a00b4,1abc27,513f6c
12031,41437a,7f007f,4e5c53,7e225d
12033,2538a0,5e00a0,388a3c,80304d
12035,3c863c,6a0094,337556,613468
12037,1f4798,5f009f,2a9b38,604259
12039,225a81,5e00a0,257d5c,462196
12041,0b1fd4,2000de,1ebc23,58455f
12043,443c7d,790085,3c8c35,594262
12045,1722c4,3d00c1,18b62f,733654
12047,1f35a9,3c00c2,1f924c,5f2f6f
12049,3d1aa6,74008a,488f27,723b4f
12051,423289,83007b,447d3c,684055
12053,433d7d,780086,576641,5c3d63
12055,581f87,990065,6d533e,723358
12057,533674,84007a,585452,6b335e
12059,27488f,4a00b4,11de0e,7c3749
12061,761a6d,b3004b,823c3f,6f4747
12063,1c558c,4c00b2,19b233,742a5f
12065,1d5a86,4f00af,258157,52307b
12067,0b1ad9,2600d8,17c225,683d57
12069,6e256a,b60048,78562f,703954
12071,644852,9f005f,754741,703b52
12073,2f3a95,7d0081,486451,532d7d
12075,1c548e,5600a8,2f9d31,584064
12077,0918dd,3600c8,16c423,6f3d51
12079,166483,5400aa,23914a,573373
12081,70315c,af004f,853c3c,6c3b56
12083,393491,82007c,536b40,673c5a
12085,722a62,ae0050,813d40,764046
12086,5e1888,8d0071,5e257b,6e1977
12087,1f0bd4,6f008f,57495e,57495c
12089,31408c,61009d,328d3e,832d4d
