state_index,county_name,d_percent,d_total,r_percent,r_total,o_percent,o_total
13,Bulloch,40.0,9586,59.1,14174,0.9,216
13,Burke,54.3,5233,45.1,4344,0.6,60
13,Butts,33.7,3065,65.3,5947,1.0,92
13,Calhoun,60.7,1342,39.0,862,0.4,8
13,Camden,37.9,6482,61.4,10502,0.7,124
13,Candler,34.3,1209,64.9,2286,0.8,27
13,Carroll,32.9,14334,65.8,28661,1.3,588
13,Catoosa,24.5,6025,74.0,18218,1.5,362
13,Charlton,32.4,1197,66.7,2466,0.9,34
13,Chatham,56.8,62755,42.4,46829,0.8,858
13,Chattahoochee,50.1,830,49.0,811,0.9,15
13,Chattooga,31.1,2596,66.8,5572,2.0,169
13,Cherokee,23.8,22350,74.8,70279,1.4,1344
13,Clarke,64.8,29591,33.6,15333,1.6,742
13,Clay,61.0,879,38.8,558,0.2,3
13,Clayton,82.9,82527,16.6,16506,0.5,481
13,Clinch,36.6,989,62.1,1678,1.3,35
13,Cobb,44.7,141216,54.1,170957,1.2,3951
13,Coffee,35.0,4811,64.5,8872,0.5,75
13,Colquitt,30.8,4139,68.3,9185,1.0,130
13,Columbia,28.3,15703,70.9,39322,0.8,441
13,Cook,35.1,2075,64.0,3782,0.9,52
13,Coweta,28.9,15521,70.0,37571,1.0,543
13,Crawford,34.9,1832,64.0,3358,1.1,58
13,Crisp,40.8,3085,58.6,4424,0.6,45
13,Dade,25.0,1612,73.0,4703,2.0,127
13,Dawson,16.3,1632,82.5,8242,1.1,112
13,Decatur,42.6,4424,56.7,5890,0.7,71
13,DeKalb,78.9,254594,20.3,65581,0.8,2671
13,Dodge,31.6,2595,67.4,5543,1.0,86
13,Dooly,51.4,2138,47.8,1991,0.8,32
13,Dougherty,67.2,26135,32.3,12547,0.5,204
13,Douglas,50.4,27825,48.6,26812,1.0,560
13,Early,48.7,2603,50.7,2711,0.5,29
13,Echols,16.9,201,82.6,981,0.5,6
13,Effingham,24.3,4936,74.9,15230,0.9,175
13,Elbert,40.4,3366,58.4,4868,1.2,98
13,Emanuel,37.2,3068,61.9,5110,0.9,74
13,Evans,35.6,1374,63.8,2462,0.5,20
13,Fannin,24.5,2611,73.4,7807,2.1,225
13,Fayette,34.2,20313,64.8,38501,1.1,627
13,Floyd,31.1,10691,67.4,23132,1.5,499
13,Forsyth,20.4,15406,78.4,59166,1.2,931
13,Franklin,23.6,1914,74.9,6069,1.5,120
13,Fulton,67.1,272000,32.1,130136,0.9,3489
13,Gilmer,23.4,2614,75.2,8408,1.5,164
13,Glascock,14.7,210,84.2,1202,1.1,16
13,Glynn,37.9,12676,61.3,20479,0.7,248
13,Gordon,24.2,4268,74.3,13113,1.6,274
