id,margin,bush,gore,trash1,trash2,other,hex_color
06089,34.79%, 65.04%, 30.25%,-, 3.20%,4.709999999999994%,a50c4d
06091,34.22%, 63.45%, 29.24%,-, 4.66%,7.310000000000002%,a1124a
06093,29.64%, 61.55%, 31.90%,-, 4.40%,6.550000000000011%,9c1051
06095,17.85%, 39.17%, 57.02%,-, 2.94%,3.8100000000000023%,630991
06097,27.29%, 32.25%, 59.54%,-, 7.27%,8.210000000000008%,521497
06099,8.37%, 52.38%, 44.01%,-, 2.65%,3.6099999999999994%,850970
06101,33.63%, 65.31%, 31.68%,-, 2.24%,3.009999999999991%,a60750
06103,32.43%, 63.63%, 31.20%,-, 3.34%,5.170000000000002%,a20d4f
06105,24.29%, 57.62%, 33.33%,-, 6.83%,9.050000000000011%,921754
06107,23.45%, 60.20%, 36.75%,-, 2.04%,3.049999999999997%,99075d
06109,16.07%, 55.51%, 39.44%,-, 4.00%,5.050000000000011%,8d0c64
06111,1.03%, 48.17%, 47.14%,-, 3.62%,4.689999999999998%,7a0b78
06113,17.40%, 37.53%, 54.93%,-, 6.69%,7.539999999999992%,5f138c
06115,26.61%, 61.00%, 34.39%,-, 3.14%,4.609999999999999%,9b0b57
08001,6.09%, 44.10%, 50.19%,-, 3.86%,5.710000000000008%,700e7f
08003,7.10%, 50.49%, 43.38%,-, 4.68%,6.1299999999999955%,800f6e
08005,7.98%, 51.47%, 43.49%,-, 3.66%,5.039999999999992%,830c6e
08007,32.70%, 62.80%, 30.10%,-, 5.57%,7.099999999999994%,a0124c
08009,49.69%, 73.00%, 23.31%,-, 2.06%,3.6899999999999977%,ba093b
08011,15.94%, 55.83%, 39.89%,-, 2.24%,4.280000000000001%,8e0a65
08013,13.69%, 36.44%, 50.12%,-, 11.82%,13.439999999999998%,5c227f
08014,0%,-,-,-,-,0,000000
08015,20.13%, 56.50%, 36.37%,-, 6.03%,7.1299999999999955%,90125c
08017,61.72%, 78.96%, 17.24%,-,-,3.8000000000000114%,c9092b
08019,1.20%, 45.63%, 44.44%,-, 7.19%,9.930000000000007%,741971
08021,0.63%, 48.27%, 47.64%,-, 2.15%,4.090000000000003%,7b0a79
08023,33.37%, 30.58%, 63.96%,-, 4.31%,5.460000000000008%,4d0da3
08025,23.81%, 59.17%, 35.36%,-,-,5.469999999999999%,960d5a
08027,44.72%, 68.74%, 24.02%,-, 4.74%,7.240000000000009%,af123d
08029,40.26%, 65.99%, 25.73%,-, 6.72%,8.280000000000001%,a81541
08031,30.99%, 30.87%, 61.86%,-, 5.86%,7.269999999999996%,4e129d
08033,39.51%, 65.34%, 25.84%,-, 6.44%,8.819999999999993%,a61641
08035,33.55%, 64.95%, 31.40%,-, 2.59%,3.6500000000000057%,a50950
08037,2.59%, 47.18%, 44.59%,-, 6.88%,8.22999999999999%,781471
08039,42.67%, 68.61%, 25.95%,-, 3.26%,5.439999999999998%,ae0d42
08041,33.12%, 63.91%, 30.78%,-, 3.54%,5.310000000000002%,a20d4e
08043,28.78%, 61.75%, 32.97%,-, 3.21%,5.280000000000001%,9d0d54
08045,17.63%, 53.22%, 35.59%,-, 9.40%,11.189999999999998%,871c5a
08047,3.77%, 40.81%, 44.58%,-, 11.20%,14.61%,682571
08049,19.86%, 56.19%, 36.33%,-, 5.76%,7.480000000000004%,8f135c
08051,0.95%, 43.23%, 42.27%,-, 12.81%,14.5%,6e246b
08053,22.61%, 55.83%, 33.22%,-, 9.01%,10.950000000000003%,8e1b54
08055,0.91%, 46.19%, 47.10%,-, 5.32%,6.710000000000008%,751178
08057,55.03%, 73.73%, 18.70%,-, 4.32%,7.569999999999993%,bc132f
08059,8.14%, 51.02%, 42.88%,-, 4.39%,6.099999999999994%,820f6d
08061,53.41%, 75.21%, 21.80%,-,-,2.990000000000009%,bf0737
08063,50.12%, 73.51%, 23.40%,-,-,3.0900000000000034%,bb073b
08065,9.13%, 40.18%, 49.32%,-, 8.11%,10.5%,661a7d
08067,10.39%, 48.77%, 38.38%,-, 11.61%,12.849999999999994%,7c2061
08069,13.81%, 52.67%, 38.85%,-, 6.91%,8.47999999999999%,861563
08071,11.06%, 42.16%, 53.22%,-, 3.27%,4.6200000000000045%,6b0b87
08073,50.93%, 74.12%, 23.19%,-,-,2.6899999999999977%,bd063b
08075,39.96%, 68.32%, 28.36%,-,-,3.3200000000000074%,ae0848
08077,33.16%, 63.45%, 30.29%,-, 4.38%,6.259999999999991%,a10f4d
08079,25.93%, 60.49%, 34.57%,-, 3.91%,4.939999999999998%,9a0c58
08081,49.04%, 71.95%, 22.92%,-, 3.17%,5.1299999999999955%,b70d3a
08083,38.38%, 65.62%, 27.24%,-, 5.65%,7.140000000000001%,a71245
08085,36.76%, 65.18%, 28.43%,-, 4.61%,6.389999999999986%,a61048
08087,31.53%, 63.59%, 32.06%,-, 2.34%,4.349999999999994%,a20b51
08089,15.30%, 55.83%, 40.52%,-,-,3.6500000000000057%,8e0967
08091,25.71%, 57.28%, 31.57%,-, 10.03%,11.150000000000006%,921c50
08093,19.26%, 55.17%, 35.90%,-, 6.06%,8.930000000000007%,8c165b
