id,margin,coolidge,davis,other,lafollette,hex_color
50013,39.24%, 65.23%, 25.98%,8.79%, 8.03%,a61642
50015,75.63%, 86.23%, 10.61%,3.17%, 2.47%,db081b
50017,69.97%, 82.85%, 12.88%,4.2700000000000005%, 4.15%,d30a20
50019,74.65%, 85.18%, 10.53%,4.29%, 3.71%,d90a1a
50021,57.02%, 74.32%, 17.30%,8.39%, 7.98%,bd152c
50023,59.35%, 74.30%, 14.95%,10.76%, 10.52%,bd1b26
50025,71.29%, 83.18%, 11.88%,4.9399999999999995%, 4.81%,d40c1e
50027,79.65%, 88.43%, 8.78%,2.79%, 2.60%,e10716
51001,73.28%, 12.64%, 85.92%,1.44%,-,2003db
51003,56.44%, 20.31%, 76.75%,2.95%, 2.89%,3307c3
51005,16.37%, 52.48%, 36.11%,11.4%, 11.22%,851d5c
51007,40.56%, 28.33%, 68.89%,2.78%, 2.78%,4807af
51009,72.57%, 9.72%, 82.29%,7.99%, 7.91%,1814d1
51011,79.31%, 9.41%, 88.72%,1.86%,-,1704e2
51013,3.36%, 44.74%, 41.39%,13.87%, 13.87%,722369
51015,20.06%, 38.74%, 58.81%,2.45%, 2.39%,620695
51017,0.36%, 48.74%, 48.38%,2.87%, 2.87%,7c077b
51019,60.64%, 19.00%, 79.64%,1.36%,-,3003cb
51021,0.41%, 49.96%, 49.55%,0.49%,-,7f017e
51023,5.92%, 45.90%, 51.82%,2.28%, 2.21%,750584
51025,83.71%, 6.62%, 90.33%,3.05%, 3.05%,1007e6
51027,10.68%, 54.93%, 44.25%,0.81%,-,8c0270
51029,48.18%, 25.03%, 73.21%,1.76%,-,3f04ba
51031,55.27%, 18.76%, 74.03%,7.21%, 7.16%,2f12bc
51033,56.97%, 20.59%, 77.56%,1.85%,-,3404c5
51035,16.11%, 57.79%, 41.68%,0.53%,-,93016a
51036,25.43%, 35.34%, 60.78%,3.8800000000000003%, 3.45%,5a099a
51037,68.49%, 12.38%, 80.87%,6.75%, 6.75%,1f11ce
51041,51.74%, 21.30%, 73.04%,5.66%, 5.66%,360eba
51043,78.43%, 9.76%, 88.19%,2.05%,-,1805e0
51045,25.45%, 36.01%, 61.46%,2.5199999999999996%, 2.28%,5b069c
51047,61.91%, 17.15%, 79.06%,3.79%, 3.79%,2b09c9
51049,69.20%, 12.53%, 81.72%,5.75%, 5.75%,1f0ed0
51051,10.63%, 42.47%, 53.10%,4.44%, 3.91%,6c0b87
51053,67.83%, 14.70%, 82.53%,2.77%, 2.77%,2507d2
51057,66.41%, 15.63%, 82.03%,2.34%, 2.34%,2705d1
51059,32.20%, 30.00%, 62.20%,7.8100000000000005%, 7.65%,4c139e
51061,54.41%, 20.14%, 74.55%,5.32%, 5.20%,330dbe
51063,31.00%, 65.04%, 34.04%,0.93%,-,a50256
51065,51.22%, 22.04%, 73.26%,4.7%, 4.38%,380bba
51067,27.56%, 35.98%, 63.55%,0.47%,-,5b01a2
51069,45.43%, 26.49%, 71.92%,1.59%,-,4304b7
51071,20.94%, 38.21%, 59.15%,2.64%, 2.60%,610696
51073,69.45%, 14.93%, 84.38%,0.68%,-,2601d7
51075,38.46%, 27.42%, 65.89%,6.69%, 6.69%,4511a8
51077,5.49%, 46.88%, 52.37%,0.75%,-,770185
51079,8.41%, 44.86%, 53.27%,1.87%,-,720487
51081,49.74%, 23.04%, 72.77%,4.18%, 4.01%,3a0ab9
51083,70.21%, 14.03%, 84.24%,1.73%,-,2304d6
51085,65.97%, 14.92%, 80.88%,4.2%, 4.20%,260ace
51087,39.63%, 25.92%, 65.55%,8.530000000000001%, 8.22%,4215a7
51089,31.35%, 33.29%, 64.64%,2.06%, 2.06%,5405a4
51091,5.56%, 46.71%, 52.26%,1.03%,-,770285
51093,53.33%, 22.97%, 76.30%,0.73%,-,3a01c2
51095,49.58%, 22.50%, 72.08%,5.42%, 5.42%,390db7
51097,39.82%, 29.65%, 69.47%,0.88%,-,4b02b1
51099,14.71%, 40.95%, 55.67%,3.3800000000000003%, 3.18%,68088d
51101,42.03%, 27.77%, 69.79%,2.44%, 2.44%,4606b1
51103,70.96%, 13.47%, 84.43%,2.1%, 2.10%,2205d7
51105,1.62%, 49.66%, 48.04%,2.3%, 2.26%,7e057a
51107,80.85%, 7.48%, 88.33%,4.19%, 4.04%,130ae1
51109,40.63%, 26.96%, 67.59%,5.45%, 5.45%,440dac
51111,45.08%, 12.55%, 66.22%,21.240000000000002%, 21.14%,2036a8
51113,24.92%, 35.74%, 60.66%,3.6%, 3.60%,5b099a
51115,54.70%, 22.08%, 76.78%,1.13%,-,3802c3
51117,69.68%, 14.62%, 84.30%,1.07%,-,2502d6
51119,68.83%, 14.91%, 83.75%,1.34%,-,2603d5
51121,8.21%, 44.44%, 52.65%,2.9%, 2.90%,710786
51125,48.36%, 24.46%, 72.82%,2.73%, 2.52%,3e06b9
51127,32.97%, 30.82%, 63.80%,5.38%, 5.38%,4e0da2
51131,65.66%, 15.53%, 81.19%,3.28%, 3.28%,2708cf
51133,62.96%, 17.83%, 80.80%,1.37%,-,2d03ce
51135,56.76%, 15.59%, 72.35%,12.06%, 12.06%,271eb8
51137,61.14%, 16.95%, 78.09%,4.96%, 4.96%,2b0cc7
51139,6.32%, 43.02%, 49.34%,7.64%, 7.54%,6d137d
51141,18.37%, 40.53%, 58.90%,0.57%,-,670196
51143,47.33%, 24.75%, 72.08%,3.18%, 3.18%,3f08b7
51145,37.23%, 29.89%, 67.12%,2.99%, 2.99%,4c07ab
51147,66.51%, 16.22%, 82.73%,1.04%,-,2902d2
51149,49.61%, 23.62%, 73.23%,3.15%, 3.15%,3c08ba
51153,49.40%, 22.99%, 72.39%,4.61%, 4.44%,3a0bb8
51155,10.51%, 43.33%, 53.84%,2.83%, 2.74%,6e0789
51157,60.59%, 17.62%, 78.22%,4.16%, 4.16%,2c0ac7
51159,45.65%, 26.54%, 72.19%,1.27%,-,4303b8
51161,20.26%, 36.77%, 57.04%,6.19%, 6.08%,5d0f91
51163,33.49%, 31.89%, 65.38%,2.72%, 2.72%,5106a6
51165,1.40%, 47.97%, 49.37%,2.66%, 2.42%,7a067d
51167,15.77%, 41.27%, 57.03%,1.7%,-,690491
51169,9.96%, 54.28%, 44.32%,1.4%,-,8a0371
51171,0.62%, 48.80%, 48.18%,3.02%, 2.95%,7c077a
51173,7.79%, 53.50%, 45.71%,0.79%,-,880274
51175,65.24%, 14.46%, 79.70%,5.84%, 5.84%,240ecb
51177,26.22%, 34.65%, 60.87%,4.489999999999999%, 4.35%,580b9b
51179,1.83%, 46.61%, 48.44%,4.95%, 4.63%,760c7b
51181,62.95%, 14.34%, 77.29%,8.37%, 8.37%,2415c5
51183,63.59%, 17.67%, 81.26%,1.07%,-,2d02cf
51185,1.15%, 48.04%, 46.89%,5.08%, 4.97%,7a0c77
51187,61.82%, 16.89%, 78.72%,4.390000000000001%, 4.28%,2b0bc8
51191,3.90%, 47.30%, 51.20%,1.49%,-,780382
51193,49.92%, 23.97%, 73.89%,2.14%, 2.14%,3d05bc
51195,10.15%, 40.39%, 50.55%,9.059999999999999%, 8.95%,661780
51197,2.46%, 50.58%, 48.12%,1.29%,-,80037a
51199,58.23%, 18.99%, 77.22%,3.8%, 3.80%,3009c4
51510,29.59%, 28.37%, 57.96%,13.67%, 13.57%,482293
51515,0%,-,-,0.0%,-,000000
51520,39.58%, 29.22%, 68.79%,1.99%,-,4a05af
51530,21.94%, 38.01%, 59.95%,2.04%, 2.04%,600598
51540,52.84%, 18.79%, 71.64%,9.57%, 9.31%,2f18b6
51550,0%,-,-,0.0%,-,000000
51570,0%,-,-,0.0%,-,000000
51580,0%,-,-,0.0%,-,000000
51590,49.26%, 21.11%, 70.37%,8.52%, 8.34%,3515b3
51595,0%,-,-,0.0%,-,000000
51600,0%,-,-,0.0%,-,000000
51610,0%,-,-,0.0%,-,000000
51620,0%,-,-,0.0%,-,000000
51630,41.41%, 27.56%, 68.97%,3.46%, 3.34%,4608af
51640,0%,-,-,0.0%,-,000000
51650,55.61%, 20.98%, 76.59%,2.44%, 2.44%,3506c3
51660,0.55%, 49.69%, 49.13%,1.18%,-,7e037d
51670,14.46%, 41.96%, 56.42%,1.63%,-,6a048f
51678,0%,-,-,0.0%,-,000000
51680,52.48%, 21.49%, 73.97%,4.54%, 4.54%,360bbc
51683,0%,-,-,0.0%,-,000000
51685,0%,-,-,0.0%,-,000000
51690,0%,-,-,0.0%,-,000000
51700,23.61%, 32.95%, 56.56%,10.49%, 10.38%,541a90
51710,32.99%, 30.88%, 63.87%,5.25%, 5.19%,4e0da2
51720,0%,-,-,0.0%,-,000000
51730,69.15%, 14.29%, 83.45%,2.26%, 2.01%,2405d4
51735,0%,-,-,0.0%,-,000000
51740,46.94%, 17.70%, 64.64%,17.66%, 17.43%,2d2da4
51750,9.91%, 38.91%, 48.82%,12.27%, 12.27%,631f7c
51760,54.42%, 19.37%, 73.79%,6.83%, 6.76%,3111bc
51770,33.92%, 27.15%, 61.07%,11.780000000000001%, 11.73%,451e9b
51775,0%,-,-,0.0%,-,000000
51790,29.40%, 34.12%, 63.52%,2.36%, 2.36%,5706a1
51800,49.74%, 23.55%, 73.29%,3.16%, 3.16%,3c08ba
51810,0%,-,-,0.0%,-,000000
51820,0%,-,-,0.0%,-,000000
51830,72.37%, 13.60%, 85.96%,0.44%,-,2201db
51840,31.80%, 33.39%, 65.18%,1.43%,-,5503a6
53001,13.62%, 37.51%, 11.25%,51.24%, 51.14%,5f821c
53003,15.56%, 46.51%, 21.60%,31.89%, 30.95%,765137
53005,2.53%, 45.33%, 10.93%,43.74%, 42.81%,736f1b
53007,23.96%, 55.56%, 12.17%,32.27%, 31.60%,8d521f
53009,11.98%, 52.07%, 6.92%,41.01%, 40.08%,846811
53011,14.99%, 47.61%, 18.29%,34.099999999999994%, 32.62%,79562e
53013,27.87%, 52.11%, 24.25%,23.64%, 22.85%,843c3d
53015,28.31%, 55.66%, 15.76%,28.57%, 27.35%,8d4828
53017,0.67%, 42.19%, 15.69%,42.11000000000001%, 41.52%,6b6b28
53019,6.67%, 34.49%, 23.74%,41.769999999999996%, 41.16%,576a3c
53021,26.01%, 31.15%, 10.41%,58.43%, 57.16%,4f941a
53023,41.09%, 65.25%, 24.16%,10.59%, 10.44%,a61b3d
53025,0.50%, 40.87%, 16.69%,42.440000000000005%, 41.38%,686c2a
53027,30.50%, 60.16%, 9.01%,30.82%, 29.66%,994e16
53029,0.11%, 46.25%, 6.34%,47.42%, 46.14%,757810
