statecounty,margin,nixon,humphrey,wallace,hex_color
06071,10.09, 50.07, 39.99, 9.47,7f1865
06073,20.19, 56.26, 36.07, 7.17,8f125b
06075,25.52, 33.66, 59.18, 5.78,550e96
06077,5.29, 47.97, 42.68, 9.05,7a176c
06079,9.48, 51.27, 41.78, 6.38,82106a
06081,3.49, 43.72, 47.20, 6.52,6f1078
06083,13.38, 53.59, 40.21, 5.44,880d66
06085,2.81, 45.61, 48.42, 5.23,740d7b
06087,9.76, 50.79, 41.03, 6.94,811168
06089,9.20, 40.44, 49.64, 9.63,67187e
06091,0.92, 45.93, 46.86, 7.12,751277
06093,0.54, 46.13, 45.59, 7.92,751474
06095,18.82, 34.71, 53.52, 11.40,581d88
06097,5.77, 48.79, 43.03, 7.53,7c136d
06099,2.68, 45.45, 48.13, 6.11,730f7a
06101,27.78, 59.57, 31.79, 8.44,971551
06103,5.76, 47.26, 41.50, 11.06,781c69
06105,0.21, 43.12, 43.33, 13.06,6d216e
06107,12.70, 52.17, 39.47, 8.15,851464
06109,4.57, 47.48, 42.91, 9.49,79186d
06111,10.25, 51.35, 41.11, 7.08,821268
06113,16.26, 38.41, 54.67, 6.02,610f8b
06115,8.16, 48.17, 40.01, 11.62,7a1d66
08001,1.38, 43.87, 45.25, 10.28,6f1a73
08003,16.98, 55.00, 38.02, 6.93,8c1160
08005,26.79, 59.65, 32.85, 6.99,981153
08007,7.87, 49.69, 41.82, 8.49,7e156a
08009,28.83, 57.55, 28.71, 13.58,922249
08011,3.94, 47.47, 43.53, 8.93,79166f
08013,21.36, 57.66, 36.30, 5.20,930d5c
08014,0,-,-,-,000000
08015,10.93, 51.07, 40.14, 8.62,821566
08017,22.82, 55.70, 32.89, 11.41,8e1d53
08019,15.22, 52.71, 37.49, 9.54,86185f
08021,4.40, 45.67, 50.07, 3.93,740a7f
08023,30.77, 32.19, 62.96, 2.16,5205a0
08025,13.65, 50.36, 36.71, 12.74,80205d
08027,31.98, 60.47, 28.49, 10.75,9a1b48
08029,20.52, 55.50, 34.98, 9.29,8d1759
08031,6.66, 43.54, 50.20, 5.40,6f0d80
08033,23.65, 52.97, 29.32, 17.70,872d4a
08035,33.92, 61.53, 27.61, 10.53,9c1a46
08037,5.71, 49.11, 43.40, 7.49,7d136e
08039,32.65, 60.92, 28.27, 10.81,9b1b48
08041,18.16, 53.75, 35.59, 10.39,891a5a
08043,17.60, 53.45, 35.85, 10.53,881a5b
08045,14.63, 52.24, 37.61, 10.04,85195f
08047,20.56, 52.57, 32.01, 14.54,862551
08049,42.38, 67.38, 25.00, 7.33,ab123f
08051,22.47, 58.19, 35.71, 5.73,940e5b
08053,43.75, 66.15, 22.40, 11.46,a81d39
08055,24.84, 35.14, 59.99, 4.65,590b98
08057,42.31, 67.52, 25.21, 7.26,ac1240
08059,21.77, 56.90, 35.13, 7.57,911359
08061,21.73, 56.29, 34.56, 9.15,8f1758
08063,29.38, 61.08, 31.70, 7.17,9b1250
08065,18.18, 35.50, 53.69, 9.94,5a1988
08067,23.35, 57.10, 33.75, 9.00,911656
08069,31.29, 62.13, 30.84, 6.13,9e0f4e
08071,28.03, 33.30, 61.33, 5.17,540d9c
08073,24.26, 57.08, 32.82, 10.02,911953
08075,23.74, 56.95, 33.21, 9.70,911854
08077,9.09, 49.58, 40.49, 9.58,7e1867
08079,3.77, 43.77, 47.55, 8.30,6f1579
08081,35.48, 62.09, 26.61, 11.20,9e1c43
08083,25.49, 56.42, 30.93, 12.49,8f1f4e
08085,17.18, 52.85, 35.67, 11.22,861c5a
08087,30.46, 61.21, 30.75, 7.89,9c144e
08089,8.46, 49.66, 41.20, 7.65,7e1369
08091,19.58, 52.01, 32.43, 15.56,842752
08093,30.70, 58.58, 27.88, 13.06,952147
08095,23.63, 56.87, 33.24, 9.70,911854
08097,20.14, 56.16, 36.02, 6.73,8f115b
08099,7.38, 49.07, 41.69, 9.00,7d166a
08101,21.89, 34.47, 56.36, 7.92,57148f
08103,39.54, 64.60, 25.06, 10.18,a4193f
08105,21.02, 58.32, 37.31, 4.35,940b5f
08107,17.67, 53.83, 36.16, 9.81,89195c
08109,11.20, 52.45, 41.25, 6.17,850f69
08111,8.66, 46.09, 37.43, 16.48,752a5f
08113,14.00, 53.22, 39.22, 7.57,871364
08115,27.89, 60.92, 33.03, 6.05,9b0f54
08117,25.16, 57.39, 32.23, 10.17,921952
08119,23.15, 52.39, 29.25, 18.07,852e4a
08121,35.05, 60.92, 25.88, 13.12,9b2141
08123,22.37, 57.26, 34.89, 7.33,921258
08125,33.56, 62.68, 29.12, 8.18,9f144a
09001,10.09, 51.78, 41.69, 6.42,84106a
09003,17.41, 38.78, 56.19, 4.94,620c8f
09005,3.24, 48.82, 45.57, 5.48,7c0d74
09007,3.56, 45.34, 48.90, 5.58,730e7c
09009,9.27, 41.50, 50.78, 7.63,691381
09011,5.25, 44.41, 49.66, 5.84,710e7e
09013,3.66, 45.47, 49.13, 5.23,730d7d
09015,14.24, 40.84, 55.08, 3.98,680a8c
10001,8.14, 44.53, 36.38, 19.09,71305c
10003,0.99, 44.76, 43.77, 11.46,721d6f
10005,11.94, 47.23, 35.30, 17.47,782c5a
11001,63.64, 18.18, 81.82,-,2e00d0
12001,1.37, 34.02, 35.39, 30.59,564e5a
12003,53.77, 10.72, 17.75, 71.53,1bb62d
12005,41.31, 21.07, 16.54, 62.39,359f2a
12007,35.24, 15.18, 24.79, 60.03,26993f
12009,19.68, 48.02, 23.65, 28.34,7a483c
12011,25.42, 54.50, 29.07, 16.43,8a294a
12013,63.18, 11.38, 12.72, 75.90,1dc120
12015,20.12, 50.58, 30.46, 18.96,80304d
12017,2.25, 38.71, 24.83, 36.46,625c3f
12019,8.59, 35.14, 21.12, 43.74,596f35
12021,22.86, 50.85, 21.15, 28.00,814735
12023,31.24, 21.13, 23.81, 55.06,358c3c
12027,23.23, 26.94, 22.89, 50.17,447f3a
12029,58.48, 10.39, 15.57, 74.04,1abc27
12031,3.43, 30.89, 32.84, 36.27,4e5c53
12033,30.30, 22.07, 23.81, 54.12,388a3c
12035,12.15, 20.25, 33.80, 45.95,337556
12037,38.57, 16.86, 22.28, 60.85,2a9b38
12039,12.94, 14.76, 36.15, 49.09,257d5c
12041,60.33, 12.12, 13.77, 74.11,1ebc23
12043,31.07, 23.92, 21.08, 55.00,3c8c35
12045,53.00, 9.58, 18.71, 71.71,18b62f
12047,27.61, 12.34, 30.03, 57.63,1f924c
12049,27.74, 28.34, 15.59, 56.08,488f27
12051,22.17, 27.04, 23.76, 49.20,447d3c
12053,5.60, 34.42, 25.55, 40.02,576641
12055,10.22, 42.95, 24.32, 32.73,6d533e
12057,1.78, 34.77, 32.24, 32.99,585452
12059,80.22, 7.00, 5.79, 87.21,11de0e
12061,26.25, 51.25, 24.99, 23.76,823c3f
12063,49.88, 10.02, 20.05, 69.93,19b233
12065,16.20, 14.84, 34.48, 50.68,258157
12067,61.61, 9.28, 14.56, 76.17,17c225
12069,13.39, 47.42, 18.54, 34.03,78562f
12071,18.12, 46.23, 25.66, 28.11,754741
12073,7.48, 28.49, 32.02, 39.50,486451
12075,42.46, 18.81, 19.36, 61.83,2f9d31
12077,62.86, 8.96, 14.09, 76.95,16c423
12079,27.98, 13.81, 29.10, 57.09,23914a
12081,28.67, 52.51, 23.85, 23.64,853c3c
12083,9.32, 32.66, 25.36, 41.98,536b40
12085,25.41, 50.63, 25.22, 24.15,813d40
12086,11.35, 37.02, 48.37, 14.62,5e257b
12087,2.95, 34.19, 37.14, 28.67,57495e
12089,31.16, 19.91, 24.46, 55.63,328d3e
12091,32.24, 26.54, 14.69, 58.77,439525
12093,24.67, 28.66, 18.02, 53.32,49872d
12095,23.47, 50.54, 22.40, 27.07,804539
12097,7.47, 43.90, 19.68, 36.43,6f5c32
12099,25.11, 53.19, 28.08, 18.73,872f47
12101,12.07, 42.36, 27.36, 30.29,6c4d45
12103,19.42, 51.71, 32.29, 16.01,832852
12105,4.92, 36.98, 21.12, 41.90,5e6a35
12107,19.91, 26.80, 26.49, 46.71,447743
12109,7.09, 34.31, 24.30, 41.40,57693d
12111,12.11, 43.02, 30.92, 26.06,6d424e
12113,47.04, 20.19, 12.58, 67.23,33ab20
12115,42.33, 63.73, 21.40, 14.88,a22536
12117,14.64, 44.69, 25.27, 30.04,714c40
12119,31.62, 17.96, 25.21, 56.83,2d9040
12121,46.36, 14.13, 19.76, 66.12,24a832
12123,47.04, 15.71, 18.62, 65.66,28a72f
12125,54.30, 10.78, 17.46, 71.76,1bb62c
12127,4.32, 39.91, 35.58, 24.51,653e5a
12129,52.14, 10.49, 18.68, 70.83,1ab42f
12131,56.84, 13.45, 14.86, 71.70,22b625
12133,60.02, 10.71, 14.64, 74.66,1bbe25
13001,44.48, 18.78, 17.95, 63.26,2fa12d
13003,34.34, 11.39, 27.14, 61.47,1d9c45
13005,48.18, 20.93, 9.96, 69.11,35b019
13007,30.28, 5.78, 31.97, 62.25,0e9e51
13009,5.06, 32.60, 29.66, 37.66,53604b
13011,48.68, 18.70, 13.91, 67.39,2fab23
13013,26.27, 26.52, 20.68, 52.79,438634
13015,23.06, 24.78, 26.05, 49.11,3f7d42
13017,28.39, 19.61, 25.99, 54.38,328a42
13019,58.62, 14.79, 11.78, 73.41,25bb1e
13021,9.27, 32.59, 25.55, 41.86,536a41
13023,47.13, 20.94, 10.97, 68.07,35ad1b
13025,61.51, 10.47, 14.01, 75.52,1ac023
13027,42.78, 15.58, 20.82, 63.60,27a235
13029,36.64, 16.08, 23.64, 60.28,29993c
13031,23.43, 26.90, 22.77, 50.33,44803a
13033,2.57, 28.93, 34.25, 36.82,495d57
13035,17.51, 19.25, 31.62, 49.13,317d50
13037,14.76, 12.25, 36.49, 51.26,1f825d
13039,21.67, 19.33, 29.50, 51.17,31824b
13043,37.53, 19.98, 21.25, 58.78,329536
13045,28.19, 26.19, 19.43, 54.38,428a31
13047,46.91, 21.75, 9.59, 68.66,37af18
13049,36.11, 17.08, 23.41, 59.52,2b973b
13051,0.18, 33.81, 33.99, 32.19,565256
13053,29.75, 13.44, 28.41, 58.16,229448
13055,32.97, 20.26, 23.39, 56.35,338f3b
13057,9.06, 35.85, 19.22, 44.91,5b7231
13059,1.74, 39.17, 37.43, 23.31,633b5f
13061,7.31, 10.57, 41.02, 48.33,1a7b68
13063,14.54, 35.22, 14.98, 49.77,597e26
13065,45.39, 17.08, 18.76, 64.16,2ba32f
13067,1.87, 41.25, 19.37, 39.38,696431
13069,38.60, 19.52, 20.94, 59.54,319735
13071,47.64, 20.18, 12.00, 67.82,33ac1e
13073,12.03, 34.46, 19.06, 46.48,577630
13075,51.49, 14.62, 16.92, 68.41,25ae2b
13077,18.14, 32.84, 16.19, 50.97,538129
13079,24.49, 15.18, 30.17, 54.66,268b4c
13081,43.16, 17.90, 19.47, 62.63,2d9f31
13083,55.05, 18.27, 8.41, 73.32,2eba15
13085,21.00, 31.81, 15.38, 52.81,518627
13087,40.36, 10.62, 24.51, 64.87,1ba53e
13089,23.69, 50.35, 26.67, 22.98,803a44
13091,38.24, 18.54, 21.61, 59.85,2f9837
13093,29.46, 14.48, 28.03, 57.49,249247
13095,19.75, 29.91, 20.42, 49.66,4c7e34
13097,31.88, 25.49, 17.13, 57.37,40922b
13099,51.47, 8.37, 20.08, 71.55,15b633
13101,74.30, 8.26, 8.72, 83.02,15d316
13103,45.20, 19.39, 16.02, 64.59,31a428
13105,37.83, 16.98, 22.59, 60.42,2b9a39
13107,29.43, 21.22, 24.67, 54.11,36893e
