id,1944,1948,1956,1964,1968,1992
4011,4500b8,3a12b2,650099,4300bb,4512a5,5c326c
4012,000000,5505a4,000000,000000,772164,524c5c
4013,6e008f,760682,a0005e,890075,961750,684053
4015,6c0091,6d048c,9b0062,7a0083,832456,554f53
4017,5e009f,660395,a70056,80007e,822852,523170
4019,73008a,79067e,9f005f,760088,811267,573074
4021,62019b,60039a,870077,690095,6c1d74,50406b
4023,5b00a2,6b0390,970067,6e0090,7a1170,5f2d6e
4025,71018c,7a057e,a70057,91006c,952047,64464e
4027,5700a6,5505a4,7a0084,73008b,772164,69345e
5001,5f009e,373f87,7f037b,890074,3c7e43,521496
5003,1d00e0,1426c3,460fa8,8e006e,2f8d41,47189c
5005,6a0093,500f9f,890173,670097,7e3848,5b2f71
5007,880076,710c80,a0015c,82007b,7f3f40,7c245c
5009,62009c,4c0fa2,850178,6d0090,734a41,6b246c
5011,1600e8,183fa6,4e03ad,73008a,2a874d,4e149b
5013,1e00e0,0c1dd5,4002bc,61009a,218d50,621883
5015,71008d,69098c,940169,82007c,823b41,652b6c
5017,2500d8,1d5789,4c0aa7,660097,276275,3e11af
5019,3d00c0,2626b1,670394,4f00ae,3a6261,4414a4
5021,6b0092,480baa,6a0292,5f009d,605b42,3b14ae
5023,670294,360dba,750088,5000ae,4f6549,5b2082
5025,2200dc,143eac,4303b8,780084,20b42a,55198e
5027,2700d7,125398,6e0986,870075,3b764c,601c7b
5029,4900b5,2c1ab8,61019b,5b00a2,4d4c64,511893
5031,4a00b4,2537a1,660394,61009c,526e3d,5a168a
5033,650197,561395,860176,7a0083,606737,6c2669
5035,3100cd,0eb13f,810e6e,7c0080,3b7053,580c90
5037,3400c9,176b7b,5705a1,770086,308845,541594
5039,2d00d1,1638af,5a049f,780083,2e7857,5e1688
5041,2200db,1339b2,4903b2,5d00a0,2b6e65,3a11ad
5043,3000ce,165097,59069e,82007a,387d48,4e1897
5045,4600b7,2c16bc,680195,5800a5,416657,5f1883
5047,4600b7,2f0dc1,680194,5d009f,4a753f,5e2579
5049,70008d,4607b0,730289,5400a9,5c534e,432198
5051,5d00a1,512786,9f035b,750088,605747,5b1885
5053,3b00c3,182fb6,610597,6d008c,2b983b,5d1c83
5055,4300ba,2511c7,5901a3,5200ab,5a5f45,48199c
5057,3900c5,20538b,710389,6b0091,3e6e51,441d9c
5059,5601a7,3319b2,72028a,62009a,388343,481d97
5061,4500b9,1e1fc0,790282,89006d,516943,58178d
5063,660098,3d18a8,7f017e,5a00a3,5a5a4a,541c8c
5065,5100ac,2706d0,4b00b2,4a00b2,4f5e50,451b9c
5067,2600d8,1a12d2,4201ba,4f00ad,31814b,3f16a7
5069,4600b7,243c9d,740782,6e008e,336a60,3c10af
5071,4f00ae,3b12b1,770285,5300aa,535457,562284
5073,2200dc,146d7d,5d0a96,7e007f,2f7955,4c2091
5075,5600a8,2f10be,660394,5c00a1,497342,4e1798
5077,3200cc,10945a,580a9b,6a0094,2b636f,410fac
5079,1e00e0,391da8,5102ab,5c00a2,208c51,4216a4
5081,4000be,1c4c96,600797,5b00a2,397154,422794
5083,5b00a2,480caa,780185,61009b,5b544e,642375
5085,4000be,202eb0,5c089a,7c0082,378442,641980
5087,8a0074,820379,880076,6b0092,783551,6c1c74
5089,5302a9,3e07b9,71008c,640099,6c444d,523670
5091,4000be,1b459e,6d0789,72008b,3f7946,5b277a
5093,3e00bf,1f4897,630595,6a0094,476552,4b0fa0
5095,2e00d0,20439b,6a078d,760087,297a5b,4f1599
5097,60009e,300ebf,860275,60009d,596441,522782
5099,3b00c2,1d3da4,5a02a2,62009a,367355,4e1d90
5101,90006d,80037b,a3005b,7c007e,81324b,6a256c
5103,2100dd,1936af,5803a2,5500a8,2f6c63,4c1998
5105,4900b5,2e25aa,6f028c,6f008d,526646,541d8a
5107,3200cc,1c8e53,67078f,670097,2f5f6f,4510a7
5109,4f01ad,3012bc,790183,71008c,557632,5f1c82
5111,1c00e2,1d3aa6,5903a2,5900a5,458336,48169e
5113,6d018f,4214a8,940168,6f008e,66583f,612b6f
5115,4700b6,341dad,72018b,5600a2,61514b,731c6d
5117,4a00b3,273c9b,5f019d,71008b,318f3e,4a1b98
5119,4400b9,3d3a87,820676,7b0082,545257,581093
5121,4100bc,240bcf,62019b,5300aa,4a6152,47179e
5123,3500c8,157277,720c80,7a0084,2c765b,4e129d
5125,3201ca,2224b8,680294,630099,3b7d46,641b7d
5127,4700b7,2f09c5,8f016d,60009e,575c4a,5e227c
5129,9b0062,740684,b80144,840079,903736,71206b
5131,5c00a1,541892,92016b,8e006f,71513b,6c266a
5133,3800c6,2523b6,6e018e,5e00a0,50634a,512082
5135,5901a3,330ebd,660493,650097,535f4b,582085
5137,790282,550b9d,750088,660095,5e5d42,542384
5139,2600d7,1f34aa,650c8d,8a0071,487441,641a78
5141,5f009f,4c0fa3,7d0180,60009c,5b544f,5a1e84
5143,7e017f,671a7d,9b0162,660097,7c3b47,6c1c75
5145,5800a6,2d21b0,6f018e,6d008f,516a43,641b7c
5147,2a00d3,1c558c,5e059b,5e009f,2b7959,3110bc
5149,3a00c4,2a0fc4,670096,4e00af,575e51,531f8a
6001,6a0193,760e79,850078,5500a9,5f1189,3427a0
