id,margin,bush,kerry,other3,other2,other1
08079,25.20%, 61.87%, 36.67%,-,-, 1.45%
08081,50.52%, 74.18%, 23.67%,-,-, 2.15%
08083,28.33%, 63.44%, 35.11%,-,-, 1.45%
08085,39.72%, 69.17%, 29.45%,-,-, 1.39%
08087,37.72%, 68.31%, 30.59%,-,-, 1.11%
08089,21.80%, 60.48%, 38.68%,-,-, 0.84%
08091,4.56%, 51.53%, 46.97%,-,-, 1.51%
08093,15.99%, 57.21%, 41.22%,-,-, 1.57%
08095,48.82%, 73.85%, 25.03%,-,-, 1.12%
08097,38.36%, 30.08%, 68.44%,-,-, 1.48%
08099,43.92%, 71.49%, 27.57%,-,-, 0.95%
08101,6.33%, 46.31%, 52.64%,-,-, 1.04%
08103,61.17%, 80.02%, 18.85%,-,-, 1.13%
08105,26.09%, 62.40%, 36.30%,-,-, 1.30%
08107,10.14%, 44.20%, 54.34%,-,-, 1.45%
08109,15.38%, 41.49%, 56.87%,-,-, 1.64%
08111,7.61%, 44.44%, 52.06%,-, 2.06%, 1.44%
08113,44.71%, 26.85%, 71.56%,-,-, 1.59%
08115,43.90%, 71.40%, 27.50%,-,-, 1.10%
08117,20.20%, 39.10%, 59.29%,-,-, 1.61%
08119,38.32%, 68.35%, 30.03%,-,-, 1.62%
08121,63.04%, 81.03%, 17.98%,-,-, 0.99%
08123,26.76%, 62.71%, 35.95%,-,-, 1.35%
08125,52.47%, 75.81%, 23.34%,-,-, 0.86%
09001,4.06%, 47.29%, 51.35%,-,-, 1.36%
09003,19.14%, 39.54%, 58.68%,-,-, 1.78%
09005,5.70%, 51.89%, 46.19%,-,-, 1.93%
09007,14.34%, 41.97%, 56.31%,-,-, 1.71%
09009,10.55%, 43.78%, 54.33%,-,-, 1.89%
09011,13.63%, 42.19%, 55.81%,-,-, 2.00%
09013,11.02%, 43.56%, 54.57%,-,-, 1.87%
09015,6.45%, 45.69%, 52.14%,-,-, 2.17%
10001,13.76%, 56.40%, 42.64%,-,-, 0.96%
10003,21.99%, 38.54%, 60.52%,-,-, 0.94%
10005,21.74%, 60.45%, 38.71%,-,-, 0.84%
11001,79.84%, 9.34%, 89.18%,-,-, 1.48%
12001,13.24%, 42.90%, 56.14%,-,-, 0.95%
12003,55.83%, 77.73%, 21.90%,-,-, 0.37%
12005,43.10%, 71.18%, 28.08%,-,-, 0.74%
12007,39.73%, 69.62%, 29.88%,-,-, 0.50%
12009,16.11%, 57.66%, 41.55%,-,-, 0.79%
12011,29.60%, 34.61%, 64.21%,-,-, 1.18%
12013,27.94%, 63.42%, 35.49%,-,-, 1.09%
12015,12.75%, 55.68%, 42.93%,-,-, 1.38%
12017,14.72%, 56.86%, 42.15%,-,-, 0.99%
12019,52.90%, 76.17%, 23.28%,-,-, 0.55%
12021,30.88%, 64.99%, 34.11%,-,-, 0.90%
12023,34.92%, 67.06%, 32.14%,-,-, 0.81%
12027,16.94%, 58.09%, 41.15%,-,-, 0.77%
12029,38.40%, 68.83%, 30.43%,-,-, 0.75%
12031,16.16%, 57.78%, 41.62%,-,-, 0.59%
12033,31.57%, 65.30%, 33.73%,-,-, 0.97%
12035,2.74%, 51.02%, 48.28%,-,-, 0.70%
12037,18.06%, 58.54%, 40.48%,-,-, 0.98%
12039,39.92%, 29.80%, 69.72%,-,-, 0.49%
12041,41.61%, 70.36%, 28.75%,-,-, 0.88%
12043,17.31%, 58.33%, 41.02%,-,-, 0.64%
12045,32.95%, 66.03%, 33.08%,-,-, 0.89%
12047,10.47%, 54.97%, 44.50%,-,-, 0.53%
12049,40.01%, 69.65%, 29.65%,-,-, 0.70%
12051,18.38%, 58.90%, 40.51%,-,-, 0.59%
12053,6.76%, 52.93%, 46.17%,-,-, 0.90%
12055,25.38%, 62.36%, 36.98%,-,-, 0.65%
12057,6.79%, 53.01%, 46.23%,-,-, 0.76%
12059,55.45%, 77.25%, 21.81%,-,-, 0.94%
12061,21.14%, 60.15%, 39.01%,-,-, 0.85%
