id,margin,romney,obama,other
12035,7.42%, 53.19%, 45.77%, 1.05%
12037,31.40%, 64.98%, 33.58%, 1.44%
12039,40.58%, 29.43%, 70.01%, 0.55%
12041,50.80%, 74.55%, 23.75%, 1.70%
12043,18.51%, 58.54%, 40.03%, 1.42%
12045,41.83%, 70.10%, 28.26%, 1.64%
12047,16.79%, 57.90%, 41.11%, 1.00%
12049,30.83%, 64.83%, 34.00%, 1.17%
12051,5.91%, 52.42%, 46.51%, 1.07%
12053,8.47%, 53.54%, 45.07%, 1.38%
12055,22.96%, 60.92%, 37.96%, 1.12%
12057,6.68%, 46.04%, 52.71%, 1.25%
12059,68.21%, 83.46%, 15.25%, 1.29%
12061,22.29%, 60.70%, 38.41%, 0.89%
12063,28.98%, 64.00%, 35.02%, 0.99%
12065,1.75%, 48.70%, 50.45%, 0.86%
12067,58.16%, 78.33%, 20.17%, 1.50%
12069,17.10%, 57.99%, 40.89%, 1.13%
12071,16.51%, 57.83%, 41.32%, 0.85%
12073,23.59%, 37.54%, 61.13%, 1.34%
12075,32.16%, 65.31%, 33.15%, 1.54%
12077,41.32%, 69.96%, 28.64%, 1.40%
12079,3.41%, 51.27%, 47.85%, 0.88%
12081,12.43%, 55.65%, 43.22%, 1.13%
12083,16.21%, 57.53%, 41.32%, 1.15%
12085,22.87%, 60.96%, 38.09%, 0.95%
12086,23.71%, 37.87%, 61.58%, 0.54%
12087,0.43%, 49.12%, 49.56%, 1.32%
12089,48.44%, 73.67%, 25.23%, 1.10%
12091,49.17%, 73.80%, 24.63%, 1.56%
12093,19.99%, 59.25%, 39.27%, 1.48%
12095,18.21%, 40.36%, 58.56%, 1.08%
12097,24.46%, 37.27%, 61.73%, 1.00%
12099,17.00%, 41.13%, 58.14%, 0.73%
12101,6.61%, 52.48%, 45.86%, 1.66%
12103,5.63%, 46.45%, 52.08%, 1.47%
12105,6.80%, 52.75%, 45.95%, 1.30%
12107,24.37%, 61.50%, 37.13%, 1.37%
12109,37.66%, 68.25%, 30.59%, 1.16%
12111,7.84%, 45.58%, 53.42%, 1.00%
12113,52.45%, 75.51%, 23.06%, 1.44%
12115,7.40%, 53.14%, 45.74%, 1.12%
12117,6.45%, 52.57%, 46.12%, 1.31%
12119,34.89%, 67.13%, 32.25%, 0.62%
12121,44.77%, 71.63%, 26.85%, 1.52%
12123,38.13%, 68.37%, 30.24%, 1.39%
12125,48.84%, 73.59%, 24.76%, 1.65%
12127,1.17%, 49.94%, 48.78%, 1.28%
12129,28.00%, 63.21%, 35.21%, 1.58%
12131,51.85%, 75.19%, 23.34%, 1.47%
12133,47.26%, 72.79%, 25.54%, 1.67%
13001,48.99%, 73.78%, 24.78%, 1.44%
13003,34.67%, 66.67%, 31.99%, 1.34%
13005,58.49%, 78.58%, 20.10%, 1.32%
13007,0.57%, 49.34%, 49.91%, 0.75%
13009,5.49%, 46.64%, 52.14%, 1.22%
13011,73.73%, 86.30%, 12.57%, 1.13%
13013,50.25%, 74.10%, 23.85%, 2.05%
13015,51.48%, 74.87%, 23.39%, 1.74%
13017,14.81%, 56.88%, 42.08%, 1.04%
13019,57.36%, 77.81%, 20.45%, 1.74%
13021,20.00%, 39.54%, 59.54%, 0.92%
13023,47.11%, 72.91%, 25.79%, 1.30%
13025,66.86%, 82.46%, 15.60%, 1.94%
13027,6.16%, 52.62%, 46.46%, 0.92%
13029,43.43%, 70.94%, 27.51%, 1.55%
13031,18.98%, 58.73%, 39.75%, 1.52%
13033,11.27%, 43.92%, 55.19%, 0.89%
13035,35.51%, 67.09%, 31.57%, 1.34%
13037,18.96%, 40.34%, 59.30%, 0.37%
13039,27.51%, 62.84%, 35.33%, 1.83%
13043,33.62%, 66.38%, 32.77%, 0.85%
13045,37.42%, 67.86%, 30.45%, 1.69%
13047,52.51%, 75.06%, 22.55%, 2.39%
13049,35.33%, 67.12%, 31.79%, 1.09%
13051,11.98%, 43.38%, 55.36%, 1.26%
13053,0.40%, 49.23%, 48.83%, 1.94%
13055,40.92%, 69.28%, 28.36%, 2.35%
13057,57.57%, 77.73%, 20.16%, 2.12%
13059,28.67%, 34.10%, 62.77%, 0.79%
13061,23.16%, 38.28%, 61.44%, 0.29%
13063,69.95%, 14.72%, 84.67%, 0.61%
13065,30.14%, 64.57%, 34.42%, 1.01%
13067,12.42%, 55.25%, 42.83%, 1.93%
13069,28.96%, 63.89%, 34.94%, 1.17%
13071,39.48%, 69.25%, 29.77%, 0.98%
13073,42.85%, 70.70%, 27.85%, 1.45%
13075,31.34%, 65.14%, 33.80%, 1.06%
13077,43.94%, 71.17%, 27.22%, 1.61%
13079,32.31%, 65.47%, 33.16%, 1.36%
13081,13.72%, 56.51%, 42.80%, 0.69%
13083,50.60%, 73.94%, 23.33%, 0.50%
13085,74.10%, 86.19%, 12.09%, 1.71%
13087,11.74%, 55.47%, 43.72%, 0.81%
13089,56.65%, 20.98%, 77.63%, 1.38%
13091,35.75%, 67.24%, 31.49%, 1.26%
13093,6.97%, 46.14%, 53.11%, 0.74%
13095,39.09%, 30.15%, 69.24%, 0.61%
13097,3.97%, 47.38%, 51.36%, 1.26%
13099,3.88%, 47.71%, 51.60%, 0.69%
13101,67.33%, 82.99%, 15.66%, 1.36%
13103,51.06%, 74.79%, 23.72%, 1.49%
13105,20.57%, 59.58%, 39.00%, 1.42%
13107,26.86%, 63.05%, 36.18%, 0.77%
