id,margin,landon,roosevelt,other,hex_color
06085,18.07%, 40.41%, 58.48%, 1.12%,670295
06087,5.95%, 46.12%, 52.08%, 1.80%,750484
06089,40.97%, 28.75%, 69.72%, 1.53%,4903b1
06091,53.88%, 22.56%, 76.44%, 1.00%,3902c2
06093,39.82%, 29.46%, 69.28%, 1.26%,4b03b0
06095,57.16%, 20.89%, 78.05%, 1.06%,3502c7
06097,21.21%, 38.96%, 60.17%, 0.86%,630299
06099,27.68%, 35.44%, 63.13%, 1.43%,5a03a0
06101,41.93%, 28.11%, 70.04%, 1.85%,4704b2
06103,21.22%, 38.46%, 59.68%, 1.86%,620498
06105,36.24%, 30.87%, 67.11%, 2.03%,4e05ab
06107,36.88%, 30.78%, 67.66%, 1.55%,4e03ac
06109,46.32%, 26.40%, 72.72%, 0.88%,4302b9
06111,27.38%, 35.75%, 63.14%, 1.11%,5b02a1
06113,39.09%, 29.84%, 68.94%, 1.22%,4c03af
06115,50.22%, 23.95%, 74.18%, 1.87%,3d04bd
08001,21.36%, 38.33%, 59.69%, 1.99%,610598
08003,39.16%, 29.71%, 68.87%, 1.43%,4b03af
08005,19.85%, 38.24%, 58.09%, 0.81%,610294
08007,16.50%, 40.59%, 57.09%, 2.33%,670591
08009,15.59%, 39.46%, 55.06%, 0.55%,64018c
08011,16.41%, 40.84%, 57.25%, 1.92%,680491
08013,14.54%, 41.39%, 55.93%, 0.66%,69018e
08014,0%,-,-,-,000000
08015,37.61%, 29.18%, 66.78%, 0.66%,4a01aa
08017,7.95%, 44.85%, 52.81%, 2.34%,720586
08019,29.87%, 34.68%, 64.55%, 0.77%,5801a4
08021,28.09%, 35.18%, 63.26%, 1.56%,5903a1
08023,23.48%, 37.14%, 60.62%, 2.24%,5e059a
08025,11.39%, 43.11%, 54.50%, 2.39%,6d068a
08027,12.13%, 43.11%, 55.25%, 1.64%,6d048c
08029,8.80%, 41.14%, 49.94%, 0.71%,68017f
08031,31.82%, 33.28%, 65.09%, 1.63%,5404a5
08033,16.84%, 38.66%, 55.50%, 2.06%,62058d
08035,7.57%, 45.48%, 53.05%, 1.47%,730387
08037,32.59%, 33.06%, 65.66%, 1.28%,5403a7
