6,San Benito,59.1,11276,38.5,7343,2.4,462
6,San Bernardino,52.3,305109,45.0,262358,2.7,15463
6,San Diego,52.5,626957,45.0,536726,2.5,30266
6,San Francisco,83.4,301723,13.0,47076,3.6,12996
6,San Joaquin,55.6,114121,41.9,86071,2.5,5172
6,San Luis Obispo,48.6,61258,47.6,59967,3.8,4741
6,San Mateo,72.1,206085,25.5,72756,2.4,6879
6,Santa Barbara,57.4,94129,39.4,64606,3.1,5150
6,Santa Clara,70.0,450818,27.1,174843,2.9,18616
6,Santa Cruz,75.4,90805,20.0,24047,4.6,5533
6,Shasta,33.7,25819,62.8,48067,3.4,2615
6,Sierra,36.3,653,58.7,1056,5.0,90
6,Siskiyou,40.2,8046,55.4,11077,4.4,870
6,Solano,63.3,96783,34.1,52092,2.6,3965
6,Sonoma,71.0,153942,25.3,54784,3.8,8139
6,Stanislaus,49.9,77724,47.1,73459,3.0,4633
6,Sutter,39.2,12192,58.3,18122,2.5,769
6,Tehama,34.5,7934,62.0,14235,3.5,808
6,Trinity,46.6,2674,47.3,2716,6.1,349
6,Tulare,41.2,41752,56.2,56956,2.5,2571
6,Tuolumne,40.4,9998,56.1,13880,3.6,880
6,Ventura,52.2,170929,45.1,147958,2.7,8825
6,Yolo,65.2,48715,31.3,23368,3.5,2588
6,Yuba,39.0,7711,57.1,11275,3.9,775
8,Adams,56.9,100649,40.1,70972,3.0,5272
8,Alamosa,56.8,3811,40.3,2705,3.0,199
8,Arapahoe,53.9,153905,44.0,125588,2.1,6023
8,Archuleta,39.8,2679,57.5,3872,2.7,183
8,Baca,22.2,467,74.0,1559,3.8,80
8,Bent,42.0,815,55.4,1075,2.7,52
8,Boulder,69.7,125091,27.8,49981,2.5,4427
8,Broomfield,51.6,16966,45.7,15008,2.7,891
8,Chaffee,48.6,5086,48.5,5070,2.9,306
8,Cheyenne,15.7,172,81.3,889,2.9,32
8,Clear Creek,54.3,3119,42.3,2430,3.4,194
8,Conejos,54.0,2213,44.7,1835,1.3,53
8,Costilla,72.9,1340,24.3,446,2.8,51
8,Crowley,35.6,535,61.5,924,2.9,43
8,Custer,32.0,868,65.9,1788,2.2,59
8,Delta,29.0,4622,68.5,10915,2.4,388
8,Denver,73.4,222018,24.2,73111,2.4,7289
8,Dolores,26.8,334,69.0,859,4.2,52
8,Douglas,36.3,61094,62.1,104397,1.5,2593
8,Eagle,56.4,12792,41.5,9411,2.1,465
8,Elbert,25.4,3603,72.4,10266,2.2,309
8,El Paso,38.5,111819,58.9,170952,2.6,7404
8,Fremont,32.8,6704,64.5,13174,2.6,538
8,Garfield,46.3,11305,51.4,12535,2.3,568
8,Gilpin,56.7,1892,40.3,1346,3.0,100
8,Grand,45.0,3684,51.9,4253,3.1,250
8,Gunnison,58.2,5044,38.5,3341,3.3,282
8,Hinsdale,38.2,229,58.8,353,3.0,18
8,Huerfano,52.5,1953,44.2,1646,3.3,124
8,Jackson,25.5,216,70.8,600,3.8,32
8,Jefferson,51.2,159296,46.4,144197,2.4,7559
8,Kiowa,14.4,118,82.5,677,3.2,26
8,Kit Carson,22.6,838,75.2,2785,2.1,79
8,Lake,60.5,1839,36.1,1098,3.4,103
8,La Plata,52.8,15489,43.7,12794,3.5,1025
8,Larimer,51.5,92747,45.7,82376,2.8,5057
8,Las Animas,50.2,3445,47.6,3263,2.2,154
8,Lincoln,24.1,552,73.8,1687,2.1,48
8,Logan,29.7,2712,67.7,6179,2.6,233
8,Mesa,32.7,23846,65.1,47472,2.2,1629
