id,1948,1956,1964,1968,1992
5079,391da8,5102ab,5c00a2,208c51,4216a4
5081,1c4c96,600797,5b00a2,397154,422794
5083,480caa,780185,61009b,5b544e,642375
5085,202eb0,5c089a,7c0082,378442,641980
5087,820379,880076,6b0092,783551,6c1c74
5089,3e07b9,71008c,640099,6c444d,523670
5091,1b459e,6d0789,72008b,3f7946,5b277a
5093,1f4897,630595,6a0094,476552,4b0fa0
5095,20439b,6a078d,760087,297a5b,4f1599
5097,300ebf,860275,60009d,596441,522782
5099,1d3da4,5a02a2,62009a,367355,4e1d90
5101,80037b,a3005b,7c007e,81324b,6a256c
5103,1936af,5803a2,5500a8,2f6c63,4c1998
5105,2e25aa,6f028c,6f008d,526646,541d8a
5107,1c8e53,67078f,670097,2f5f6f,4510a7
5109,3012bc,790183,71008c,557632,5f1c82
5111,1d3aa6,5903a2,5900a5,458336,48169e
5113,4214a8,940168,6f008e,66583f,612b6f
5115,341dad,72018b,5600a2,61514b,731c6d
5117,273c9b,5f019d,71008b,318f3e,4a1b98
5119,3d3a87,820676,7b0082,545257,581093
5121,240bcf,62019b,5300aa,4a6152,47179e
5123,157277,720c80,7a0084,2c765b,4e129d
5125,2224b8,680294,630099,3b7d46,641b7d
5127,2f09c5,8f016d,60009e,575c4a,5e227c
5129,740684,b80144,840079,903736,71206b
5131,541892,92016b,8e006f,71513b,6c266a
5133,2523b6,6e018e,5e00a0,50634a,512082
5135,330ebd,660493,650097,535f4b,582085
5137,550b9d,750088,660095,5e5d42,542384
5139,1f34aa,650c8d,8a0071,487441,641a78
5141,4c0fa3,7d0180,60009c,5b544f,5a1e84
5143,671a7d,9b0162,660097,7c3b47,6c1c75
5145,2d21b0,6f018e,6d008f,516a43,641b7c
5147,1c558c,5e059b,5e009f,2b7959,3110bc
5149,2a0fc4,670096,4e00af,575e51,531f8a
6001,760e79,850078,5500a9,5f1189,3427a0
6003,c30c2e,cb0033,93006b,971453,594b56
6005,630992,7d0180,5400aa,6b1f73,5a4b57
6007,7d0c74,940168,7b0083,901953,5e3c61
6009,77097e,93006a,6a0094,851c5d,5a4859
6011,750584,870077,64009a,831367,753651
6013,670b8c,81007c,5c00a1,711576,4b3081
6015,8a0b69,870076,5c00a2,75186e,544663
6017,6d0c84,880175,640099,7c1c65,654452
6019,5e0a95,6e008f,5700a7,6f1478,672a6b
6021,820676,84007a,750089,891c58,6e414d
6023,780b7b,860078,5500a8,751374,4d347a
6025,860672,8e006f,7a0084,861a5d,622a6f
6027,8e0a66,a80055,760088,8a1b58,6f3c51
6029,6a058f,82007b,690095,761b6c,723456
6031,5e0798,6b0092,4d00b0,6d1779,6a3063
6033,920d5f,a50058,6f008f,7c1769,493f73
6035,5608a0,6c0091,5700a7,681d78,5e4953
6037,761077,8d0070,6c0092,790e77,4a2d85
6039,600994,6b0092,5200ac,6f137b,6e335b
6041,910c61,a80056,61009d,7f0b6f,3b2c94
6043,8e0a65,990064,6c0092,7f1965,5b445d
6045,800d70,91006d,5800a6,761671,374480
6047,6c068c,750089,4f00af,681481,5d3868
6049,760780,870076,690095,851662,634552
6051,a50b4d,bc0042,8e0070,a31643,5b4957
6053,810875,970066,60009d,7f126b,4f3577
6055,86096f,8e016f,5e009f,6f1b73,4a3e73
6057,770f77,980065,6e0090,831763,643f59
6059,9b075c,aa0252,8e0070,a1104c,6f3c50
6061,5e0b95,750089,5600a8,6c167a,6a3c55
6063,530d9d,6a0093,4b00b3,5f1886,5c415f
6065,8d0a66,9e015f,6e0090,861462,5e3c62
6067,600994,73008b,5700a7,6a1181,5a336f
6069,8d056b,970066,63009a,791273,523f6b
6071,7b0979,91006d,6d0091,7f1865,5e3a62
6073,7e0779,a40059,80007e,8f125b,5b435e
6075,741079,83017a,4900b5,550e98,2d16b8
6077,7d0977,8b0073,61009d,7a176c,603369
6079,880b6b,950168,660098,82106a,584261
6081,900965,9b0063,5a00a4,6f1078,452e89
6083,940961,a40159,70008e,880d66,59376c
6085,870b6b,960067,5d00a0,740d7b,48367d
6087,930d5e,a2005c,690095,811168,373094
6089,650890,6f008e,5200ac,67187e,694350
6091,6e0a85,80007d,5400aa,751277,5d4658
6093,6c0889,7e017e,5c00a2,751474,524465
6095,5507a1,6a0094,4d00b1,581d88,4b357c
6097,8c0c66,9d0060,61009c,7c136d,3d3886
6099,7b0979,7b0082,5600a8,730f7a,5e3768
6101,850672,a0015c,83007b,971551,7f304d
6103,820a72,890074,64009a,781c69,5a475b
6105,720f7c,80017c,5c00a1,6d216e,4f5853
6107,770780,850078,650099,851464,742f59
6109,7a0c77,840079,5d00a1,79186d,594261
6111,6b078b,7f007e,680096,821268,5a445e
6113,6f0985,7a0083,4d00b1,610f8b,472d87
6115,77087e,8e006f,6b0092,7a1d66,6e3657
8001,680393,850277,4d00af,6f1a73,4c4170
8003,71018b,9e005f,5f009f,8c1160,563c6a
8005,750286,a0015c,72008a,981153,643d5c
8007,70018c,980065,5d009f,7e156a,70434a
8009,790283,980065,780085,922249,783e46
8011,6e028d,91006d,5800a4,79166f,55396f
8013,840971,aa0153,6d008f,930d5c,433781
8014,000000,000000,000000,0,000000
8015,690293,a2005c,5f009e,821566,623e5c
8017,830278,9d0061,6c0092,8e1d53,813d3f
8019,80027c,a50158,61009c,86185f,4d4a63
8021,660394,ca0132,5500a8,740a7f,552a7d
8023,5c049d,6c048e,2f00ce,5205a0,351cab
8025,80017d,9e0060,690094,80205d,693063
8027,930367,aa0054,770086,9a1b48,78443f
8029,7c057d,a50059,6b0092,8d1759,693f53
8031,730486,8e026e,5500a7,6f0d80,402b8e
8033,70048a,990064,64009a,872d4a,5e5548
8035,8e016f,ad0150,7a0083,9c1a46,76483f
8037,660b8c,92006b,5400aa,7d136e,48595a
8039,8f026c,a50059,83007a,9b1b48,6f4f3e
8041,8c036e,950267,750089,891a5a,833445
8043,820378,ab0052,6c0091,881a5b,643e5a
8045,7f027d,a0005e,6a0094,85195f,50505c
8047,7e057b,9d0061,63009a,862551,424e69
8049,7e037c,b50048,780085,ab123f,5b4b57
8051,700687,9e0060,5e00a0,940e5b,494a69
8053,a3005b,c3003b,870077,a81d39,644850
8055,5605a2,7a0084,3e00bf,590b98,4b2a86
8057,860078,a90054,790084,ac1240,6f5639
8059,820378,a2015b,6e008f,911359,5e425c
8061,870275,a4005a,73008b,8f1758,744247
8063,960266,b40049,670096,9b1250,7d4040
8065,5508a1,82007b,3800c5,5a1988,344b7c
8067,820478,aa0054,71008d,911656,5a4260
8069,920269,b70047,780084,9e0f4e,5c3f61
