id,margin,eisenhower,stevenson,other,hex_color
08015,13.79%, 56.70%, 42.91%, 0.39%,90006d
08017,32.13%, 65.97%, 33.84%, 0.20%,a80056
08019,35.78%, 67.71%, 31.93%, 0.35%,ac0051
08021,14.97%, 56.23%, 41.26%, 2.51%,8f0669
08023,12.22%, 43.73%, 55.95%, 0.33%,6f008e
08025,35.95%, 67.78%, 31.83%, 0.39%,ac0051
08027,47.94%, 73.64%, 25.70%, 0.67%,bb0141
08029,34.90%, 67.01%, 32.11%, 0.89%,aa0251
08031,12.90%, 56.09%, 43.19%, 0.72%,8f016e
08033,25.14%, 62.23%, 37.08%, 0.69%,9e015e
08035,38.20%, 69.00%, 30.80%, 0.19%,af004e
08037,7.96%, 53.70%, 45.74%, 0.56%,880174
08039,45.63%, 72.56%, 26.93%, 0.51%,b90144
08041,38.25%, 68.71%, 30.46%, 0.82%,af024d
08043,30.31%, 64.83%, 34.53%, 0.64%,a50158
08045,37.37%, 68.44%, 31.07%, 0.49%,ae014f
08047,21.83%, 60.41%, 38.58%, 1.02%,9a0262
08049,41.11%, 70.34%, 29.23%, 0.42%,b3014a
08051,18.93%, 59.46%, 40.54%,-,970067
08053,48.08%, 74.04%, 25.96%,-,bc0042
08055,11.98%, 43.84%, 55.82%, 0.34%,6f008e
08057,30.93%, 65.35%, 34.42%, 0.23%,a60057
08059,26.72%, 63.05%, 36.34%, 0.61%,a0015c
08061,42.96%, 70.84%, 27.88%, 1.29%,b40347
08063,42.80%, 71.03%, 28.23%, 0.74%,b50147
08065,9.73%, 44.98%, 54.71%, 0.31%,72008b
08067,33.05%, 66.03%, 32.98%, 0.98%,a80254
08069,46.41%, 72.93%, 26.52%, 0.55%,b90143
08071,18.05%, 40.74%, 58.79%, 0.47%,670195
08073,33.03%, 66.46%, 33.43%, 0.11%,a90055
08075,35.90%, 67.67%, 31.77%, 0.56%,ac0151
08077,26.53%, 63.06%, 36.52%, 0.42%,a0015d
08079,36.04%, 67.86%, 31.82%, 0.32%,ad0051
08081,40.64%, 70.12%, 29.48%, 0.40%,b2014b
08083,36.93%, 68.01%, 31.08%, 0.91%,ad024f
08085,35.19%, 67.16%, 31.97%, 0.86%,ab0251
08087,39.85%, 69.63%, 29.78%, 0.60%,b1014b
08089,27.47%, 63.57%, 36.10%, 0.33%,a2005c
08091,25.20%, 61.85%, 36.65%, 1.51%,9d035d
08093,38.40%, 68.89%, 30.49%, 0.62%,af014d
08095,35.73%, 67.72%, 32.00%, 0.28%,ac0051
08097,28.49%, 64.13%, 35.64%, 0.23%,a3005a
08099,30.96%, 65.13%, 34.17%, 0.70%,a60157
08101,0.67%, 48.81%, 49.48%, 1.71%,7c047e
08103,43.38%, 71.42%, 28.05%, 0.53%,b60147
08105,40.54%, 70.11%, 29.57%, 0.33%,b2004b
08107,15.19%, 57.31%, 42.12%, 0.56%,92016b
08109,30.51%, 65.08%, 34.58%, 0.34%,a50058
08111,13.80%, 56.77%, 42.97%, 0.26%,90006d
08113,10.97%, 55.19%, 44.22%, 0.59%,8c0170
08115,37.88%, 68.74%, 30.86%, 0.40%,af014e
08117,23.95%, 61.90%, 37.96%, 0.14%,9d0060
08119,28.82%, 63.89%, 35.07%, 1.04%,a20259
08121,40.34%, 69.65%, 29.31%, 1.05%,b1024a
08123,33.63%, 66.44%, 32.81%, 0.75%,a90153
08125,44.62%, 71.92%, 27.30%, 0.78%,b70145
09001,22.10%, 60.72%, 38.62%, 0.66%,9a0162
09003,1.27%, 50.50%, 49.23%, 0.28%,80007d
09005,27.80%, 63.81%, 36.00%, 0.19%,a2005b
09007,16.96%, 58.38%, 41.43%, 0.19%,940069
09009,9.70%, 54.66%, 44.96%, 0.38%,8b0072
09011,9.72%, 54.76%, 45.03%, 0.21%,8b0072
09013,17.61%, 58.69%, 41.08%, 0.23%,950068
09015,7.28%, 53.53%, 46.25%, 0.22%,880075
10001,1.34%, 50.45%, 49.10%, 0.45%,80017d
10003,3.52%, 51.61%, 48.10%, 0.29%,83007a
10005,6.77%, 53.06%, 46.29%, 0.65%,870176
11001,0%,-,-,-,000000
12001,16.93%, 58.47%, 41.53%,-,950069
12003,55.92%, 22.04%, 77.96%,-,3800c6
12005,29.24%, 35.38%, 64.62%,-,5a00a4
12007,40.63%, 29.68%, 70.32%,-,4b00b3
12009,23.82%, 61.91%, 38.09%,-,9d0061
12011,38.20%, 69.10%, 30.90%,-,b0004e
12013,51.18%, 24.41%, 75.59%,-,3e00c0
12015,17.57%, 58.79%, 41.21%,-,950069
12017,4.29%, 47.85%, 52.15%,-,7a0084
12019,1.86%, 49.07%, 50.93%,-,7d0081
12021,0.82%, 49.59%, 50.41%,-,7e0080
12023,22.54%, 38.73%, 61.27%,-,62009c
12027,17.59%, 41.21%, 58.79%,-,690095
12029,30.38%, 34.81%, 65.19%,-,5800a6
12031,3.45%, 48.27%, 51.73%,-,7b0083
12033,25.46%, 37.27%, 62.73%,-,5f009f
12035,2.61%, 51.30%, 48.70%,-,82007c
12037,33.91%, 33.04%, 66.96%,-,5400aa
12039,19.18%, 40.41%, 59.59%,-,670097
12041,67.14%, 16.43%, 83.57%,-,2900d5
12043,20.60%, 39.70%, 60.30%,-,650099
12045,56.62%, 21.69%, 78.31%,-,3700c7
12047,37.63%, 31.18%, 68.82%,-,4f00af
12049,6.90%, 46.55%, 53.45%,-,760088
12051,6.80%, 46.60%, 53.40%,-,760088
12053,7.34%, 53.67%, 46.33%,-,880076
12055,3.80%, 51.90%, 48.10%,-,84007a
12057,4.40%, 52.20%, 47.80%,-,850079
12059,44.67%, 27.67%, 72.33%,-,4600b8
12061,31.88%, 65.94%, 34.06%,-,a80056
12063,40.94%, 29.53%, 70.47%,-,4b00b3
12065,27.56%, 36.22%, 63.78%,-,5c00a2
12067,56.96%, 21.52%, 78.48%,-,3600c8
12069,41.26%, 70.63%, 29.37%,-,b4004a
12071,18.17%, 59.09%, 40.91%,-,960068
12073,17.61%, 41.19%, 58.81%,-,690095
12075,30.69%, 34.66%, 65.34%,-,5800a6
12077,62.79%, 18.60%, 81.40%,-,2f00cf
12079,14.68%, 42.66%, 57.34%,-,6c0092
12081,32.79%, 66.40%, 33.60%,-,a90055
12083,2.34%, 51.17%, 48.83%,-,82007c
12085,29.30%, 64.65%, 35.35%,-,a4005a
12086,13.55%, 56.77%, 43.23%,-,90006e
12087,25.34%, 37.33%, 62.67%,-,5f009f
12089,18.37%, 40.82%, 59.18%,-,680096
12091,39.07%, 30.47%, 69.53%,-,4d00b1
12093,24.08%, 37.96%, 62.04%,-,60009e
12095,42.12%, 71.06%, 28.94%,-,b50049
12097,24.50%, 62.25%, 37.75%,-,9e0060
12099,35.14%, 67.57%, 32.43%,-,ac0052
12101,12.49%, 56.24%, 43.76%,-,8f006f
12103,42.69%, 71.35%, 28.65%,-,b50049
12105,3.26%, 51.63%, 48.37%,-,83007b
12107,3.31%, 51.65%, 48.35%,-,83007b
12109,3.71%, 51.85%, 48.15%,-,84007a
12111,25.31%, 62.65%, 37.35%,-,9f005f
12113,43.00%, 28.50%, 71.50%,-,4800b6
12115,41.48%, 70.74%, 29.26%,-,b4004a
12117,20.03%, 60.02%, 39.98%,-,990065
12119,36.72%, 31.64%, 68.36%,-,5000ae
12121,27.40%, 36.30%, 63.70%,-,5c00a2
12123,41.21%, 29.40%, 70.60%,-,4a00b4
12125,56.63%, 21.68%, 78.32%,-,3700c7
12127,24.92%, 62.46%, 37.54%,-,9f005f
12129,51.52%, 24.24%, 75.76%,-,3d00c1
12131,41.04%, 29.48%, 70.52%,-,4b00b3
