id,margin,dewey,roosevelt,other,hex_color
06079,1.73%, 48.90%, 50.63%, 0.47%,7c0181
06081,1.47%, 49.15%, 50.62%, 0.23%,7d0081
06083,7.04%, 46.33%, 53.37%, 0.30%,760088
06085,5.32%, 47.04%, 52.36%, 0.60%,770185
06087,8.46%, 53.80%, 45.34%, 0.86%,890273
06089,18.03%, 40.87%, 58.90%, 0.22%,680096
06091,19.73%, 39.91%, 59.64%, 0.45%,650198
06093,15.14%, 42.15%, 57.29%, 0.56%,6b0192
06095,40.15%, 29.77%, 69.93%, 0.30%,4b00b2
06097,1.11%, 50.38%, 49.27%, 0.34%,80007d
06099,4.10%, 47.23%, 51.33%, 1.44%,780382
06101,0.45%, 49.99%, 49.54%, 0.47%,7f017e
06103,3.74%, 47.79%, 51.53%, 0.68%,790183
06105,15.12%, 42.22%, 57.33%, 0.45%,6b0192
06107,0.67%, 49.30%, 49.97%, 0.73%,7d017f
06109,15.73%, 41.77%, 57.51%, 0.72%,6a0192
06111,19.14%, 40.19%, 59.33%, 0.48%,660197
06113,15.86%, 41.84%, 57.70%, 0.45%,6a0193
06115,15.50%, 42.14%, 57.63%, 0.23%,6b0092
08001,9.18%, 54.43%, 45.25%, 0.32%,8a0073
08003,3.39%, 51.56%, 48.17%, 0.27%,83007a
08005,9.46%, 54.52%, 45.06%, 0.42%,8b0172
08007,16.99%, 58.45%, 41.46%, 0.10%,950069
08009,23.77%, 61.89%, 38.11%,-,9d0061
08011,3.31%, 51.51%, 48.20%, 0.30%,83007a
08013,14.83%, 57.09%, 42.26%, 0.65%,91016b
08014,0%,-,-,-,000000
08015,1.63%, 48.83%, 50.47%, 0.70%,7c0180
08017,21.63%, 60.68%, 39.05%, 0.26%,9a0063
08019,11.06%, 55.29%, 44.23%, 0.49%,8c0170
08021,7.64%, 46.18%, 53.82%,-,750089
08023,25.62%, 37.09%, 62.71%, 0.21%,5e009f
08025,26.13%, 62.93%, 36.81%, 0.26%,a0005d
08027,28.42%, 63.73%, 35.31%, 0.95%,a2025a
08029,19.03%, 59.30%, 40.27%, 0.43%,970166
08031,2.07%, 48.75%, 50.82%, 0.43%,7c0181
08033,17.70%, 58.85%, 41.15%,-,960068
08035,31.02%, 65.37%, 34.36%, 0.27%,a60057
08037,1.60%, 49.07%, 50.67%, 0.27%,7d0081
08039,38.41%, 69.13%, 30.72%, 0.15%,b0004e
08041,16.72%, 58.16%, 41.44%, 0.41%,940169
08043,21.71%, 60.65%, 38.94%, 0.40%,9a0163
08045,16.20%, 57.97%, 41.78%, 0.25%,93006a
08047,12.11%, 55.85%, 43.74%, 0.41%,8e016f
08049,27.17%, 63.52%, 36.35%, 0.13%,a1005c
08051,7.21%, 46.30%, 53.51%, 0.19%,760088
08053,34.05%, 67.03%, 32.97%,-,aa0054
08055,21.58%, 39.05%, 60.62%, 0.33%,63009a
08057,29.51%, 64.76%, 35.24%,-,a50059
08059,14.79%, 57.20%, 42.41%, 0.40%,91016c
08061,29.91%, 64.75%, 34.85%, 0.40%,a50158
08063,44.87%, 72.27%, 27.41%, 0.32%,b80045
08065,15.36%, 42.08%, 57.44%, 0.48%,6b0192
08067,19.57%, 59.64%, 40.07%, 0.30%,980066
08069,31.31%, 65.46%, 34.15%, 0.38%,a60057
08071,23.75%, 37.87%, 61.63%, 0.50%,60019d
08073,19.09%, 59.49%, 40.40%, 0.11%,970067
08075,23.54%, 61.63%, 38.09%, 0.28%,9d0061
08077,1.60%, 48.93%, 50.52%, 0.55%,7c0180
08079,6.21%, 52.80%, 46.58%, 0.62%,860176
08081,21.99%, 60.87%, 38.88%, 0.25%,9b0063
08083,14.27%, 56.99%, 42.73%, 0.28%,91006c
08085,13.25%, 56.37%, 43.12%, 0.52%,8f016d
08087,38.62%, 69.13%, 30.52%, 0.35%,b0004d
08089,13.74%, 56.74%, 43.00%, 0.26%,90006d
08091,24.78%, 62.33%, 37.55%, 0.12%,9e005f
08093,22.14%, 60.80%, 38.66%, 0.54%,9b0162
08095,31.08%, 65.16%, 34.08%, 0.76%,a60156
08097,1.80%, 50.83%, 49.03%, 0.14%,81007d
08099,17.81%, 58.71%, 40.91%, 0.38%,950068
08101,15.74%, 41.99%, 57.72%, 0.29%,6b0093
08103,32.16%, 65.89%, 33.73%, 0.37%,a80056
08105,31.85%, 65.82%, 33.97%, 0.21%,a70056
08107,1.85%, 48.79%, 50.64%, 0.57%,7c0181
08109,24.51%, 62.13%, 37.62%, 0.26%,9e005f
08111,11.93%, 55.88%, 43.95%, 0.17%,8e0070
08113,8.01%, 45.69%, 53.71%, 0.60%,740188
08115,36.69%, 68.26%, 31.57%, 0.17%,ae0050
08117,15.72%, 57.60%, 41.87%, 0.53%,92016a
08119,1.27%, 50.24%, 48.97%, 0.79%,80027c
08121,36.09%, 67.88%, 31.79%, 0.33%,ad0051
08123,26.37%, 63.01%, 36.64%, 0.35%,a0005d
08125,34.90%, 67.45%, 32.55%,-,ab0053
09001,2.20%, 50.51%, 48.31%, 1.18%,80037b
09003,14.55%, 42.47%, 57.02%, 0.51%,6c0191
09005,11.06%, 55.24%, 44.19%, 0.57%,8c0170
09007,2.72%, 51.05%, 48.32%, 0.63%,82017b
09009,6.22%, 46.50%, 52.72%, 0.77%,760186
09011,9.58%, 44.94%, 54.53%, 0.53%,72018b
09013,3.04%, 51.15%, 48.12%, 0.73%,82017a
09015,10.56%, 44.53%, 55.09%, 0.38%,71008c
10001,5.53%, 47.05%, 52.58%, 0.38%,770086
10003,13.46%, 43.09%, 56.55%, 0.36%,6d0090
10005,5.37%, 52.53%, 47.15%, 0.32%,850078
11001,0%,-,-,-,000000
12001,54.60%, 22.70%, 77.30%,-,3900c5
12003,79.91%, 10.05%, 89.95%,-,1900e5
12005,69.74%, 15.13%, 84.87%,-,2600d8
12007,66.67%, 16.67%, 83.33%,-,2a00d4
12009,19.95%, 40.02%, 59.98%,-,660098
12011,5.10%, 47.45%, 52.55%,-,780086
12013,75.80%, 12.10%, 87.90%,-,1e00e0
12015,32.27%, 33.86%, 66.14%,-,5600a8
12017,66.83%, 16.58%, 83.42%,-,2a00d4
12019,41.28%, 29.36%, 70.64%,-,4a00b4
12021,56.10%, 21.95%, 78.05%,-,3700c7
12023,64.25%, 17.88%, 82.12%,-,2d00d1
12027,52.05%, 23.97%, 76.03%,-,3d00c1
12029,85.86%, 7.07%, 92.93%,-,1200ec
12031,50.21%, 24.89%, 75.11%,-,3f00bf
12033,67.16%, 16.42%, 83.58%,-,2900d5
12035,55.73%, 22.14%, 77.86%,-,3800c6
12037,84.04%, 7.98%, 92.02%,-,1400ea
12039,69.57%, 15.22%, 84.78%,-,2600d8
12041,82.82%, 8.59%, 91.41%,-,1500e9
12043,38.92%, 30.54%, 69.46%,-,4d00b1
12045,87.70%, 6.15%, 93.85%,-,0f00ef
12047,64.16%, 17.92%, 82.08%,-,2d00d1
12049,50.56%, 24.72%, 75.28%,-,3f00bf
12051,45.78%, 27.11%, 72.89%,-,4500b9
12053,48.66%, 25.67%, 74.33%,-,4100bd
12055,41.48%, 29.26%, 70.74%,-,4a00b4
12057,50.47%, 24.76%, 75.24%,-,3f00bf
12059,48.99%, 25.51%, 74.49%,-,4100bd
12061,25.99%, 37.01%, 62.99%,-,5e00a0
12063,65.94%, 17.03%, 82.97%,-,2b00d3
12065,70.14%, 14.93%, 85.07%,-,2600d8
12067,70.98%, 14.51%, 85.49%,-,2500d9
12069,23.23%, 38.38%, 61.62%,-,61009d
12071,28.52%, 35.74%, 64.26%,-,5b00a3
