id,margin,eisenhower,stevenson,other,hex_color
6049,6.77%,53.21%,46.44%,0.35%,870076
6051,47.81%,73.79%,25.99%,0.22%,bc0042
6053,19.33%,59.54%,40.21%,0.25%,970066
6055,12.28%,55.93%,43.66%,0.41%,8e016f
6057,19.71%,59.69%,39.98%,0.33%,980065
6059,34.50%,66.82%,32.31%,0.87%,aa0252
6061,7.86%,45.89%,53.76%,0.35%,750089
6063,15.88%,41.87%,57.75%,0.38%,6a0093
6065,24.82%,62.16%,37.34%,0.50%,9e015f
6067,9.63%,45.10%,54.73%,0.17%,73008b
6069,19.24%,59.53%,40.29%,0.18%,970066
6071,14.06%,56.88%,42.83%,0.29%,91006d
6073,29.32%,64.47%,35.15%,0.38%,a40059
6075,3.53%,51.53%,48.01%,0.46%,83017a
6077,9.25%,54.52%,45.27%,0.21%,8b0073
6079,17.36%,58.47%,41.11%,0.42%,950168
6081,22.22%,61.04%,38.83%,0.13%,9b0063
6083,29.64%,64.55%,34.91%,0.54%,a40159
6085,18.53%,59.09%,40.56%,0.35%,960067
6087,27.42%,63.58%,36.16%,0.26%,a2005c
6089,11.94%,43.84%,55.78%,0.38%,6f008e
6091,1.43%,50.55%,49.13%,0.32%,80007d
6093,0.03%,49.79%,49.76%,0.45%,7e017e
6095,16.42%,41.68%,58.10%,0.22%,6a0094
6097,23.99%,61.92%,37.92%,0.16%,9d0060
6099,2.45%,48.60%,51.05%,0.35%,7b0082
6101,26.34%,62.79%,36.45%,0.76%,a0015c
6103,8.00%,53.82%,45.82%,0.36%,890074
6105,1.43%,50.42%,48.99%,0.59%,80017c
6107,5.33%,52.50%,47.17%,0.33%,850078
6109,4.45%,52.12%,47.67%,0.21%,840079
6111,0.13%,49.92%,49.80%,0.28%,7f007e
6113,3.74%,47.99%,51.72%,0.29%,7a0083
6115,11.84%,55.76%,43.92%,0.32%,8e006f
8001,5.35%,52.23%,46.89%,0.88%,850277
8003,24.94%,62.33%,37.39%,0.28%,9e005f
8005,26.77%,63.11%,36.33%,0.56%,a0015c
8007,20.00%,59.91%,39.91%,0.18%,980065
8009,19.65%,59.63%,39.99%,0.38%,980065
8011,14.50%,57.25%,42.75%,0.00%,91006d
8013,34.34%,66.89%,32.55%,0.56%,aa0153
8014,0%,0,0,0.00%,000000
8015,27.35%,63.67%,36.33%,0.00%,a2005c
8017,23.55%,61.70%,38.15%,0.15%,9d0061
8019,30.20%,64.87%,34.67%,0.46%,a50158
8021,59.60%,79.46%,19.87%,0.67%,ca0132
8023,13.22%,42.50%,55.72%,1.78%,6c048e
8025,24.16%,62.05%,37.89%,0.06%,9e0060
8027,33.79%,66.83%,33.04%,0.13%,aa0054
8029,29.61%,64.71%,35.10%,0.19%,a50059
8031,12.71%,55.91%,43.21%,0.88%,8e026e
8033,21.09%,60.38%,39.29%,0.33%,990064
8035,36.61%,68.08%,31.47%,0.45%,ad0150
8037,15.01%,57.36%,42.35%,0.29%,92006b
8039,29.65%,64.75%,35.10%,0.15%,a50059
8041,18.01%,58.46%,40.46%,1.08%,950267
8043,35.08%,67.40%,32.31%,0.29%,ab0052
8045,26.03%,62.90%,36.87%,0.23%,a0005e
8047,23.47%,61.66%,38.18%,0.16%,9d0061
8049,42.77%,71.33%,28.55%,0.12%,b50048
8051,24.66%,62.31%,37.65%,0.04%,9e0060
8053,53.47%,76.73%,23.27%,0.00%,c3003b
8055,3.92%,47.90%,51.82%,0.28%,7a0084
8057,33.30%,66.59%,33.30%,0.11%,a90054
8059,27.91%,63.71%,35.80%,0.49%,a2015b
8061,29.29%,64.64%,35.36%,0.00%,a4005a
8063,42.14%,70.96%,28.82%,0.22%,b40049
8065,2.79%,51.31%,48.51%,0.18%,82007b
8067,33.67%,66.81%,33.14%,0.05%,aa0054
8069,43.73%,71.77%,28.04%,0.19%,b70047
8071,1.83%,50.80%,48.96%,0.24%,81007c
8073,22.58%,61.25%,38.67%,0.08%,9c0062
8075,29.26%,64.50%,35.25%,0.25%,a40059
8077,25.87%,62.79%,36.92%,0.29%,a0005e
8079,25.75%,62.69%,36.94%,0.37%,9f005e
8081,37.68%,68.80%,31.12%,0.08%,af004f
8083,27.81%,63.59%,35.77%,0.64%,a2015b
8085,24.38%,62.04%,37.66%,0.30%,9e0060
8087,28.55%,64.17%,35.62%,0.21%,a3005a
8089,23.13%,61.53%,38.40%,0.07%,9c0061
8091,32.43%,65.90%,33.47%,0.63%,a80155
8093,41.26%,70.58%,29.32%,0.10%,b3004a
8095,26.74%,63.35%,36.61%,0.04%,a1005d
8097,24.41%,62.15%,37.74%,0.11%,9e0060
8099,15.31%,57.61%,42.30%,0.09%,92006b
8101,6.74%,52.34%,45.60%,2.06%,850574
8103,42.98%,71.47%,28.49%,0.04%,b60048
8105,32.25%,66.04%,33.79%,0.17%,a80056
8107,15.28%,57.55%,42.26%,0.19%,92006b
8109,16.46%,58.03%,41.57%,0.40%,93016a
8111,16.76%,58.38%,41.62%,0.00%,94006a
8113,15.98%,57.86%,41.88%,0.26%,93006a
8115,27.35%,63.55%,36.21%,0.24%,a2005c
8117,29.22%,64.61%,35.39%,0.00%,a4005a
8119,32.83%,66.42%,33.58%,0.00%,a90055
8121,30.76%,65.20%,34.44%,0.36%,a60057
8123,25.71%,62.75%,37.04%,0.21%,a0005e
8125,28.60%,64.26%,35.67%,0.07%,a3005a
9001,40.37%,70.19%,29.81%,0.00%,b2004c
9003,16.17%,58.09%,41.91%,0.00%,94006a
9005,39.83%,69.91%,30.09%,0.00%,b2004c
9007,29.60%,64.80%,35.20%,0.00%,a50059
9009,26.04%,63.02%,36.98%,0.00%,a0005e
9011,22.80%,61.40%,38.60%,0.00%,9c0062
9013,27.09%,63.54%,36.46%,0.00%,a2005c
9015,19.28%,59.64%,40.36%,0.00%,980066
10001,4.98%,52.18%,47.20%,0.62%,850178
10003,11.52%,55.65%,44.13%,0.22%,8d0070
10005,9.61%,54.62%,45.01%,0.37%,8b0072
11001,0%,0,0,0.00%,000000
12001,7.08%,53.54%,46.46%,0.00%,880076
12003,59.54%,20.23%,79.77%,0.00%,3300cb
12005,26.98%,36.51%,63.49%,0.00%,5d00a1
12007,31.86%,34.07%,65.93%,0.00%,5600a8
12009,43.61%,71.81%,28.19%,0.00%,b70047
12011,44.90%,72.45%,27.55%,0.00%,b80046
12013,50.86%,24.57%,75.43%,0.00%,3e00c0
12015,26.21%,63.11%,36.89%,0.00%,a0005e
12017,1.39%,50.69%,49.31%,0.00%,81007d
12019,7.33%,53.67%,46.33%,0.00%,880076
12021,19.46%,59.73%,40.27%,0.00%,980066
12023,27.62%,36.19%,63.81%,0.00%,5c00a2
12027,3.18%,48.41%,51.59%,0.00%,7b0083
12029,41.92%,29.04%,70.96%,0.00%,4a00b4
12031,0.33%,50.17%,49.83%,0.00%,7f007f
12033,25.58%,37.21%,62.79%,0.00%,5e00a0
12035,16.16%,41.92%,58.08%,0.00%,6a0094
12037,25.31%,37.34%,62.66%,0.00%,5f009f
12039,26.26%,36.87%,63.13%,0.00%,5e00a0
12041,74.20%,12.90%,87.10%,0.00%,2000de
12043,4.63%,47.69%,52.31%,0.00%,790085
12045,51.76%,24.12%,75.88%,0.00%,3d00c1
12047,52.58%,23.71%,76.29%,0.00%,3c00c2
12049,8.65%,45.67%,54.33%,0.00%,74008a
12051,3.28%,51.64%,48.36%,0.00%,83007b
12053,5.13%,47.44%,52.56%,0.00%,780086
12055,20.50%,60.25%,39.75%,0.00%,990065
12057,4.07%,52.04%,47.96%,0.00%,84007a
