id,margin,bush,gore,trash,trash2,other
06091,34.22%, 63.45%, 29.24%,-, 4.66%, 2.65%
06093,29.64%, 61.55%, 31.90%,-, 4.40%, 2.15%
06095,17.85%, 39.17%, 57.02%,-, 2.94%, 0.87%
06097,27.29%, 32.25%, 59.54%,-, 7.27%, 0.94%
06099,8.37%, 52.38%, 44.01%,-, 2.65%, 0.96%
06101,33.63%, 65.31%, 31.68%,-, 2.24%, 0.77%
06103,32.43%, 63.63%, 31.20%,-, 3.34%, 1.82%
06105,24.29%, 57.62%, 33.33%,-, 6.83%, 2.23%
06107,23.45%, 60.20%, 36.75%,-, 2.04%, 1.01%
06109,16.07%, 55.51%, 39.44%,-, 4.00%, 1.04%
06111,1.03%, 48.17%, 47.14%,-, 3.62%, 1.07%
06113,17.40%, 37.53%, 54.93%,-, 6.69%, 0.85%
06115,26.61%, 61.00%, 34.39%,-, 3.14%, 1.46%
08001,6.09%, 44.10%, 50.19%,-, 3.86%, 1.85%
08003,7.10%, 50.49%, 43.38%,-, 4.68%, 1.45%
08005,7.98%, 51.47%, 43.49%,-, 3.66%, 1.37%
08007,32.70%, 62.80%, 30.10%,-, 5.57%, 1.53%
08009,49.69%, 73.00%, 23.31%,-, 2.06%, 1.62%
08011,15.94%, 55.83%, 39.89%,-, 2.24%, 2.04%
08013,13.69%, 36.44%, 50.12%,-, 11.82%, 1.63%
08014,0%,-,-,-,-,-
08015,20.13%, 56.50%, 36.37%,-, 6.03%, 1.09%
08017,61.72%, 78.96%, 17.24%,-,-, 3.80%
08019,1.20%, 45.63%, 44.44%,-, 7.19%, 2.74%
08021,0.63%, 48.27%, 47.64%,-, 2.15%, 1.93%
08023,33.37%, 30.58%, 63.96%,-, 4.31%, 1.15%
08025,23.81%, 59.17%, 35.36%,-,-, 2.70%
08027,44.72%, 68.74%, 24.02%,-, 4.74%, 2.51%
08029,40.26%, 65.99%, 25.73%,-, 6.72%, 1.56%
08031,30.99%, 30.87%, 61.86%,-, 5.86%, 1.41%
08033,39.51%, 65.34%, 25.84%,-, 6.44%, 2.38%
08035,33.55%, 64.95%, 31.40%,-, 2.59%, 1.06%
08037,2.59%, 47.18%, 44.59%,-, 6.88%, 1.36%
08039,42.67%, 68.61%, 25.95%,-, 3.26%, 2.19%
08041,33.12%, 63.91%, 30.78%,-, 3.54%, 1.77%
08043,28.78%, 61.75%, 32.97%,-, 3.21%, 2.07%
08045,17.63%, 53.22%, 35.59%,-, 9.40%, 1.79%
08047,3.77%, 40.81%, 44.58%,-, 11.20%, 1.22%
08049,19.86%, 56.19%, 36.33%,-, 5.76%, 1.72%
08051,0.95%, 43.23%, 42.27%,-, 12.81%, 1.69%
08053,22.61%, 55.83%, 33.22%,-, 9.01%, 1.94%
08055,0.91%, 46.19%, 47.10%,-, 5.32%, 1.39%
08057,55.03%, 73.73%, 18.70%,-, 4.32%, 3.24%
08059,8.14%, 51.02%, 42.88%,-, 4.39%, 1.72%
08061,53.41%, 75.21%, 21.80%,-,-, 3.00%
08063,50.12%, 73.51%, 23.40%,-,-, 3.09%
08065,9.13%, 40.18%, 49.32%,-, 8.11%, 2.40%
08067,10.39%, 48.77%, 38.38%,-, 11.61%, 1.24%
08069,13.81%, 52.67%, 38.85%,-, 6.91%, 1.57%
08071,11.06%, 42.16%, 53.22%,-, 3.27%, 1.36%
08073,50.93%, 74.12%, 23.19%,-,-, 2.68%
08075,39.96%, 68.32%, 28.36%,-,-, 3.32%
08077,33.16%, 63.45%, 30.29%,-, 4.38%, 1.88%
08079,25.93%, 60.49%, 34.57%,-, 3.91%, 1.03%
08081,49.04%, 71.95%, 22.92%,-, 3.17%, 1.97%
08083,38.38%, 65.62%, 27.24%,-, 5.65%, 1.49%
08085,36.76%, 65.18%, 28.43%,-, 4.61%, 1.77%
08087,31.53%, 63.59%, 32.06%,-, 2.34%, 2.00%
08089,15.30%, 55.83%, 40.52%,-,-, 3.65%
08091,25.71%, 57.28%, 31.57%,-, 10.03%, 1.12%
08093,19.26%, 55.17%, 35.90%,-, 6.06%, 2.87%
08095,45.45%, 70.86%, 25.41%,-, 2.16%, 1.58%
08097,20.15%, 32.88%, 53.04%,-, 12.99%, 1.09%
08099,36.80%, 66.89%, 30.08%,-,-, 3.03%
08101,11.24%, 42.31%, 53.55%,-, 2.82%, 1.32%
08103,57.51%, 76.53%, 19.02%,-, 2.98%, 1.47%
08105,27.67%, 61.30%, 33.64%,-, 3.53%, 1.54%
08107,2.74%, 46.40%, 43.66%,-, 8.51%, 1.43%
08109,2.65%, 42.63%, 45.27%,-, 10.32%, 1.78%
08111,13.99%, 48.17%, 34.17%,-, 13.30%, 4.36%
08113,17.05%, 32.04%, 49.09%,-, 17.20%, 1.66%
08115,37.84%, 67.31%, 29.47%,-,-, 3.22%
08117,7.29%, 40.63%, 47.92%,-, 10.22%, 1.23%
08119,37.85%, 65.78%, 27.93%,-, 4.36%, 1.94%
08121,57.30%, 76.81%, 19.51%,-, 2.04%, 1.64%
08123,21.65%, 57.96%, 36.31%,-, 3.78%, 1.95%
08125,47.59%, 72.42%, 24.83%,-,-, 2.75%
09001,9.21%, 43.12%, 52.33%,-, 3.42%, 1.13%
09003,25.49%, 34.68%, 60.17%,-, 3.87%, 1.28%
09005,3.02%, 44.85%, 47.87%,-, 6.20%, 1.08%
09007,18.11%, 37.83%, 55.94%,-, 5.22%, 1.01%
09009,21.99%, 36.04%, 58.03%,-, 4.56%, 1.37%
09011,17.67%, 37.72%, 55.38%,-, 5.70%, 1.20%
09013,14.11%, 39.40%, 53.52%,-, 5.92%, 1.16%
09015,16.64%, 38.00%, 54.64%,-, 5.97%, 1.38%
10001,2.68%, 49.90%, 47.23%,-, 2.24%, 0.62%
10003,22.98%, 36.88%, 59.86%,-, 2.71%, 0.55%
10005,7.36%, 52.23%, 44.86%,-, 2.20%, 0.71%
11001,76.20%, 8.95%, 85.16%,-, 5.24%, 0.65%
12001,15.44%, 39.80%, 55.25%,-, 3.76%, 1.18%
12003,39.47%, 68.80%, 29.33%,-,-, 1.86%
12005,33.65%, 65.70%, 32.06%,-,-, 2.24%
12007,26.99%, 62.43%, 35.45%,-,-, 2.12%
12009,8.20%, 52.75%, 44.55%,-, 2.05%, 0.65%
12011,36.48%, 30.93%, 67.41%,-,-, 1.66%
12013,13.86%, 55.52%, 41.66%,-,-, 2.82%
12015,8.64%, 52.96%, 44.31%,-, 2.19%, 0.54%
12017,7.46%, 52.06%, 44.60%,-, 2.42%, 0.93%
12019,47.32%, 72.80%, 25.48%,-,-, 1.72%
12021,33.11%, 65.58%, 32.47%,-,-, 1.95%
12023,21.17%, 59.24%, 38.07%,-,-, 2.68%
12027,11.97%, 54.48%, 42.51%,-, 2.01%, 1.00%
12029,18.64%, 57.79%, 39.15%,-,-, 3.06%
12031,16.75%, 57.49%, 40.74%,-,-, 1.77%
12033,27.54%, 62.62%, 35.08%,-,-, 2.31%
12035,4.72%, 46.53%, 51.25%,-,-, 2.22%
12037,8.76%, 52.83%, 44.07%,-,-, 3.10%
12039,33.71%, 32.38%, 66.09%,-,-, 1.53%
12041,25.76%, 61.17%, 35.40%,-,-, 3.43%
12043,11.86%, 54.71%, 42.85%,-,-, 2.44%
12045,18.79%, 57.79%, 39.00%,-,-, 3.20%
12047,10.69%, 54.14%, 43.44%,-,-, 2.42%
12049,22.82%, 60.38%, 37.56%,-,-, 2.07%
12051,18.52%, 58.32%, 39.81%,-,-, 1.87%
12053,3.05%, 47.00%, 50.05%,-, 2.30%, 0.66%
12055,17.18%, 57.48%, 40.31%,-,-, 2.21%
12057,3.11%, 50.17%, 47.06%,-, 2.08%, 0.69%
12059,38.33%, 67.77%, 29.43%,-,-, 2.80%
12061,17.87%, 57.71%, 39.84%,-,-, 2.46%
12063,13.92%, 56.06%, 42.14%,-,-, 1.80%
12065,9.98%, 43.91%, 53.89%,-,-, 2.20%
12067,35.17%, 66.67%, 31.50%,-,-, 1.84%
12069,15.17%, 56.44%, 41.27%,-,-, 2.29%
12071,17.67%, 57.57%, 39.90%,-,-, 2.54%
12073,21.69%, 37.88%, 59.57%,-,-, 2.56%
12075,11.51%, 53.91%, 42.40%,-, 2.24%, 1.45%
12077,12.45%, 54.65%, 42.20%,-,-, 3.15%
12079,0.37%, 49.29%, 48.92%,-,-, 1.78%
12081,7.97%, 52.58%, 44.61%,-, 2.26%, 0.54%
12083,10.17%, 53.55%, 43.39%,-,-, 3.06%
12085,11.85%, 54.78%, 42.93%,-,-, 2.29%
12086,6.28%, 46.29%, 52.57%,-,-, 1.14%
12087,1.25%, 47.39%, 48.64%,-, 3.22%, 0.75%
12089,39.74%, 68.98%, 29.24%,-,-, 1.78%
12091,49.70%, 73.69%, 23.99%,-,-, 2.32%
12093,4.75%, 51.32%, 46.57%,-,-, 2.11%
12095,2.04%, 48.02%, 50.06%,-,-, 1.92%
12097,3.50%, 47.11%, 50.61%,-,-, 2.27%
12099,26.96%, 35.31%, 62.27%,-,-, 2.42%
12101,0.68%, 48.05%, 48.73%,-, 2.38%, 0.83%
12103,3.97%, 46.38%, 50.35%,-, 2.52%, 0.75%
12105,8.96%, 53.56%, 44.60%,-,-, 1.85%
12107,5.15%, 51.29%, 46.14%,-,-, 2.57%
12109,33.00%, 65.10%, 32.10%,-, 2.00%, 0.79%
12111,8.79%, 44.50%, 53.29%,-,-, 2.21%
12113,46.67%, 72.10%, 25.43%,-,-, 2.47%
12115,6.37%, 51.63%, 45.27%,-, 2.53%, 0.57%
12117,12.02%, 55.00%, 42.98%,-,-, 2.02%
12119,11.19%, 54.48%, 43.29%,-,-, 2.23%
12121,31.56%, 64.27%, 32.71%,-,-, 3.02%
12123,20.69%, 59.59%, 38.90%,-,-, 1.51%
12125,24.18%, 60.95%, 36.77%,-,-, 2.27%
12127,8.14%, 44.84%, 52.98%,-,-, 2.17%
12129,7.85%, 52.54%, 44.70%,-,-, 2.76%
12131,35.71%, 66.51%, 30.80%,-,-, 2.70%
12133,27.37%, 62.24%, 34.86%,-,-, 2.90%
13001,30.28%, 64.60%, 34.32%,-,-, 1.08%
13003,19.65%, 59.30%, 39.64%,-,-, 1.06%
13005,35.19%, 67.11%, 31.92%,-,-, 0.97%
13007,18.30%, 40.49%, 58.79%,-,-, 0.72%
13009,1.22%, 49.82%, 48.60%,-,-, 1.58%
13011,43.72%, 70.64%, 26.91%,-,-, 2.45%
13013,35.27%, 65.49%, 30.22%,-,-, 1.15%
13015,31.66%, 64.62%, 32.96%,-,-, 2.43%
13017,3.15%, 51.08%, 47.93%,-,-, 0.99%
13019,24.44%, 61.63%, 37.19%,-,-, 1.18%
13021,1.86%, 48.36%, 50.22%,-,-, 1.42%
13023,31.02%, 64.98%, 33.96%,-,-, 1.07%
13025,38.24%, 68.29%, 30.05%,-,-, 1.66%
13027,6.81%, 52.87%, 46.06%,-,-, 1.08%
