id,margin,willkie,roosevelt,other,hex_color
08097,1.90%, 48.50%, 50.40%, 1.10%,7b0280
08099,14.72%, 56.87%, 42.16%, 0.97%,91026b
08101,13.95%, 42.84%, 56.79%, 0.38%,6d0090
08103,31.49%, 65.49%, 34.00%, 0.51%,a60156
08105,15.55%, 57.40%, 41.85%, 0.75%,92016a
08107,11.22%, 44.07%, 55.29%, 0.64%,70018c
08109,12.16%, 55.57%, 43.41%, 1.03%,8d026e
08111,8.87%, 54.20%, 45.32%, 0.48%,8a0173
08113,7.69%, 45.94%, 53.62%, 0.44%,750188
08115,20.21%, 59.86%, 39.64%, 0.50%,980165
08117,5.96%, 46.78%, 52.73%, 0.49%,770186
08119,24.20%, 37.60%, 61.80%, 0.59%,5f019d
08121,25.86%, 62.63%, 36.77%, 0.60%,9f015d
08123,20.27%, 59.72%, 39.44%, 0.84%,980264
08125,29.30%, 64.11%, 34.80%, 1.09%,a30258
09001,1.35%, 49.10%, 50.45%, 0.45%,7d0180
09003,12.90%, 43.44%, 56.34%, 0.23%,6e008f
09005,8.04%, 53.96%, 45.92%, 0.12%,890075
09007,1.52%, 50.69%, 49.17%, 0.15%,81007d
09009,10.00%, 44.89%, 54.89%, 0.23%,72008b
09011,9.46%, 45.18%, 54.63%, 0.19%,73008b
09013,1.09%, 49.37%, 50.46%, 0.16%,7d0080
09015,10.73%, 44.55%, 55.29%, 0.16%,71008c
10001,6.63%, 46.69%, 53.31%,-,770087
10003,11.38%, 44.31%, 55.69%,-,70008e
10005,5.40%, 47.30%, 52.70%,-,780086
11001,0%,-,-,-,000000
12001,66.06%, 16.97%, 83.03%,-,2b00d3
12003,84.45%, 7.78%, 92.22%,-,1300eb
12005,76.56%, 11.72%, 88.28%,-,1d00e1
12007,71.77%, 14.12%, 85.88%,-,2400da
12009,20.31%, 39.85%, 60.15%,-,650099
12011,23.38%, 38.31%, 61.69%,-,61009d
12013,81.93%, 9.03%, 90.97%,-,1700e7
12015,38.19%, 30.90%, 69.10%,-,4e00b0
12017,77.89%, 11.05%, 88.95%,-,1c00e2
12019,49.85%, 25.08%, 74.92%,-,3f00bf
12021,67.67%, 16.17%, 83.83%,-,2900d5
12023,73.40%, 13.30%, 86.70%,-,2100dd
12027,56.42%, 21.79%, 78.21%,-,3700c7
