id,margin,dewey,truman,other
12051,27.68%,26.21%,53.89%,19.90%
12053,22.97%,26.38%,49.34%,24.28%
12055,18.45%,34.53%,52.98%,12.49%
12057,12.90%,32.77%,45.67%,21.56%
12059,28.07%,15.39%,56.29%,28.32%
12061,3.23%,46.32%,43.10%,10.58%
12063,21.77%,11.27%,55.11%,33.62%
12065,17.61%,11.56%,52.91%,35.53%
12067,74.93%,4.54%,85.15%,10.31%
12069,1.27%,43.23%,41.96%,14.81%
12071,6.78%,39.26%,32.48%,28.26%
12073,36.63%,18.65%,58.55%,22.80%
12075,23.04%,11.12%,55.76%,33.12%
12077,77.27%,3.53%,86.81%,9.66%
12079,12.65%,9.00%,51.70%,39.30%
12081,7.95%,44.30%,36.35%,19.35%
12083,34.59%,22.43%,57.01%,20.56%
12085,6.29%,44.84%,38.55%,16.61%
12086,16.48%,37.04%,53.52%,9.44%
12087,71.31%,12.17%,83.48%,4.35%
12089,30.38%,19.60%,55.10%,25.30%
12091,38.11%,12.13%,62.86%,25.01%
12093,57.73%,17.08%,74.81%,8.11%
12095,7.44%,46.67%,39.23%,14.10%
12097,0.06%,44.59%,44.65%,10.76%
12099,6.59%,45.60%,39.01%,15.39%
12101,10.98%,37.68%,48.66%,13.66%
12103,20.61%,55.92%,35.32%,8.76%
12105,18.97%,33.60%,52.57%,13.83%
12107,10.59%,29.68%,40.27%,30.05%
12109,7.04%,29.18%,31.63%,39.19%
12111,0.34%,38.04%,38.38%,23.58%
12113,47.59%,15.58%,65.72%,18.70%
12115,17.64%,49.95%,32.31%,17.74%
12117,11.90%,33.25%,45.16%,21.59%
12119,42.98%,11.66%,65.57%,22.77%
12121,53.06%,9.40%,71.62%,18.98%
12123,46.62%,10.81%,67.73%,21.46%
12125,42.22%,6.29%,67.96%,25.75%
12127,7.31%,39.46%,46.76%,13.78%
12129,50.18%,5.22%,72.30%,22.48%
12131,42.25%,17.16%,62.28%,20.56%
12133,38.76%,13.43%,62.42%,24.15%
13001,50.80%,9.01%,70.72%,20.27%
13003,73.57%,5.89%,83.75%,10.36%
13005,35.79%,8.42%,63.56%,28.02%
13007,56.54%,2.47%,77.03%,20.50%
13009,27.35%,26.68%,54.03%,19.29%
13011,82.78%,6.35%,89.13%,4.52%
13013,58.94%,7.55%,75.69%,16.76%
13015,63.36%,14.34%,77.71%,7.95%
13017,63.98%,11.76%,75.84%,12.40%
13019,72.17%,5.03%,83.31%,11.66%
13021,22.55%,21.62%,49.80%,28.58%
13023,36.87%,8.47%,63.96%,27.57%
13025,31.20%,10.31%,60.44%,29.25%
13027,27.67%,11.21%,58.14%,30.65%
13029,38.37%,7.67%,65.21%,27.12%
13031,47.78%,9.35%,68.95%,21.70%
13033,44.85%,7.15%,23.86%,68.99%
13035,74.32%,5.22%,84.50%,10.28%
13037,62.26%,7.00%,77.63%,15.37%
13039,21.01%,19.17%,50.88%,29.95%
13043,29.69%,12.41%,58.49%,29.10%
13045,58.43%,14.33%,72.76%,12.91%
13047,50.91%,17.43%,68.34%,14.23%
13049,31.69%,12.32%,59.68%,28.00%
13051,16.84%,24.97%,45.46%,29.57%
13053,19.83%,0,39.66%,60.34%
13055,76.81%,9.16%,85.97%,4.87%
13057,29.54%,29.31%,58.85%,11.84%
13059,55.32%,16.38%,71.69%,11.93%
13061,69.75%,10.63%,80.38%,8.99%
13063,43.54%,10.29%,66.50%,23.21%
13065,57.11%,9.63%,73.57%,16.80%
13067,45.67%,21.47%,67.15%,11.38%
13069,60.69%,7.46%,76.45%,16.09%
13071,45.92%,15.50%,65.08%,19.42%
13073,63.40%,5.57%,15.47%,78.96%
13075,59.53%,7.81%,75.73%,16.46%
13077,75.31%,8.27%,83.58%,8.15%
13079,18.59%,9.01%,54.79%,36.20%
13081,35.53%,11.20%,62.09%,26.71%
13083,56.76%,16.68%,73.45%,9.87%
13085,8.47%,52.82%,44.35%,2.83%
13087,19.89%,13.03%,53.21%,33.76%
13089,25.96%,29.50%,55.46%,15.04%
13091,48.24%,8.49%,69.75%,21.76%
13093,80.67%,3.37%,88.50%,8.13%
13095,44.61%,15.66%,64.19%,20.15%
13097,9.47%,30.45%,39.93%,29.62%
13099,71.10%,6.95%,82.04%,11.01%
13101,11.88%,5.14%,53.29%,41.57%
13103,33.41%,12.37%,26.84%,60.79%
13105,59.68%,7.16%,76.17%,16.67%
13107,29.98%,10.05%,59.88%,30.07%
13109,44.65%,8.42%,67.97%,23.61%
13111,16.24%,57.27%,41.03%,1.70%
13113,49.13%,4.72%,72.12%,23.16%
13115,46.75%,22.19%,68.94%,8.87%
13117,46.58%,21.53%,68.11%,10.36%
13119,66.37%,10.38%,77.95%,11.67%
