id,margin,bush,dukakis,paul,other
06029,24.08%, 61.48%, 37.40%,-, 1.13%
06031,13.85%, 56.41%, 42.56%,-, 1.03%
06033,2.37%, 48.03%, 50.39%,-, 1.58%
06035,19.44%, 58.59%, 39.15%,-, 2.26%
06037,5.02%, 46.88%, 51.89%,-, 1.23%
06039,10.76%, 54.59%, 43.83%,-, 1.58%
06041,19.11%, 39.73%, 58.85%,-, 1.42%
06043,11.14%, 54.53%, 43.39%,-, 2.08%
06045,13.48%, 41.94%, 55.42%,-, 2.64%
06047,3.80%, 51.20%, 47.40%,-, 1.40%
06049,27.43%, 62.68%, 35.25%,-, 2.07%
06051,25.18%, 61.38%, 36.20%,-, 2.42%
06053,1.02%, 49.83%, 48.81%,-, 1.36%
06055,2.06%, 50.19%, 48.14%,-, 1.67%
06057,17.29%, 57.76%, 40.46%,-, 1.78%
06059,36.66%, 67.75%, 31.09%,-, 1.16%
06061,20.64%, 59.59%, 38.95%,-, 1.46%
06063,3.90%, 51.06%, 47.15%,-, 1.79%
06065,19.88%, 59.46%, 39.58%,-, 0.97%
06067,3.35%, 51.01%, 47.65%,-, 1.34%
06069,9.89%, 54.11%, 44.23%,-, 1.66%
06071,21.44%, 59.99%, 38.55%,-, 1.46%
06073,21.85%, 60.19%, 38.34%,-, 1.47%
06075,46.64%, 26.14%, 72.78%,-, 1.08%
06077,9.83%, 54.39%, 44.56%,-, 1.04%
06079,13.11%, 55.85%, 42.73%,-, 1.42%
06081,12.81%, 42.94%, 55.74%,-, 1.32%
06083,9.75%, 54.24%, 44.48%,-, 1.28%
06085,4.32%, 46.99%, 51.30%,-, 1.71%
06087,24.76%, 36.77%, 61.53%,-, 1.71%
06089,20.58%, 59.36%, 38.79%,-, 1.85%
06091,4.07%, 50.71%, 46.64%,-, 2.65%
06093,3.88%, 50.88%, 47.00%,-, 2.11%
06095,3.80%, 47.43%, 51.23%,-, 1.35%
06097,14.57%, 41.91%, 56.48%,-, 1.61%
06099,7.16%, 53.07%, 45.92%,-, 1.01%
06101,36.09%, 67.47%, 31.38%,-, 1.15%
06103,15.15%, 56.52%, 41.37%,-, 2.11%
06105,12.53%, 54.63%, 42.11%,-, 3.26%
06107,20.57%, 59.61%, 39.04%,-, 1.36%
06109,9.78%, 54.00%, 44.22%,-, 1.79%
06111,24.44%, 61.64%, 37.19%,-, 1.17%
06113,15.12%, 41.89%, 57.01%,-, 1.10%
06115,23.99%, 61.37%, 37.38%,-, 1.25%
08001,6.70%, 45.87%, 52.57%,-, 1.56%
08003,8.81%, 53.70%, 44.90%,-, 1.40%
08005,21.86%, 60.24%, 38.38%,-, 1.39%
08007,28.51%, 63.66%, 35.15%,-, 1.19%
08009,32.04%, 65.34%, 33.29%,-, 1.37%
08011,2.58%, 47.62%, 50.21%,-, 2.17%
08013,8.48%, 44.93%, 53.41%,-, 1.66%
08014,0%,-,-,-,-
08015,9.31%, 53.90%, 44.59%,-, 1.51%
08017,30.44%, 64.08%, 33.64%,-, 2.28%
08019,3.36%, 50.11%, 46.75%, 2.67%, 0.47%
08021,15.40%, 41.92%, 57.33%,-, 0.75%
08023,42.13%, 28.72%, 70.84%,-, 0.44%
08025,15.47%, 57.47%, 42.00%,-, 0.53%
08027,40.87%, 69.46%, 28.60%,-, 1.94%
08029,21.08%, 59.59%, 38.51%,-, 1.90%
08031,23.60%, 37.13%, 60.72%,-, 2.15%
08033,35.25%, 66.67%, 31.42%,-, 1.91%
08035,41.49%, 69.96%, 28.46%,-, 1.58%
08037,13.47%, 55.91%, 42.44%,-, 1.65%
08039,27.86%, 63.06%, 35.21%,-, 1.73%
08041,41.14%, 70.03%, 28.88%,-, 1.09%
08043,17.92%, 58.24%, 40.33%,-, 1.43%
08045,15.64%, 57.21%, 41.57%,-, 1.22%
08047,4.78%, 45.79%, 50.57%, 2.96%, 0.69%
08049,22.28%, 60.08%, 37.81%,-, 2.11%
08051,13.77%, 55.72%, 41.94%,-, 2.34%
08053,45.21%, 72.48%, 27.27%,-, 0.25%
08055,26.83%, 36.32%, 63.14%,-, 0.54%
08057,32.55%, 65.54%, 33.00%,-, 1.46%
08059,14.76%, 56.39%, 41.64%,-, 1.97%
08061,23.46%, 61.25%, 37.80%,-, 0.95%
08063,30.35%, 64.41%, 34.05%,-, 1.54%
08065,21.51%, 38.10%, 59.61%,-, 2.28%
08067,17.00%, 57.73%, 40.73%,-, 1.53%
