id,margin,reagan,carter,other,anderson,hex_color
11001,61.49%, 13.41%, 74.89%, 9.28%,11.7%,221dbe
12001,13.72%, 38.56%, 52.27%, 8.13%,9.170000000000002%,621785
12003,6.59%, 45.88%, 52.47%,-,1.65%,740485
12005,24.76%, 60.61%, 35.85%, 2.14%,3.54%,9a095b
12007,9.11%, 44.50%, 53.61%,-,1.89%,710488
12009,26.34%, 60.07%, 33.73%, 5.07%,6.2%,990f56
12011,20.31%, 55.95%, 35.64%, 7.69%,8.42%,8e155a
12013,20.49%, 38.72%, 59.22%,-,2.06%,620597
12015,33.81%, 64.62%, 30.82%, 3.82%,4.56%,a40b4e
12017,20.97%, 58.48%, 37.50%, 3.22%,4.0200000000000005%,950a5f
12019,33.22%, 64.85%, 31.63%, 2.87%,3.52%,a50850
12021,48.08%, 71.10%, 23.02%, 4.99%,5.87%,b50e3a
12023,0.32%, 48.45%, 48.76%, 2.13%,2.79%,7b077c
12027,10.23%, 53.40%, 43.17%, 2.47%,3.4400000000000004%,88086e
12029,28.65%, 34.70%, 63.35%,-,1.95%,5804a1
12031,4.19%, 50.45%, 46.26%, 2.65%,3.28%,800875
12033,20.64%, 58.49%, 37.84%, 2.97%,3.67%,950960
12035,7.00%, 51.70%, 44.70%, 2.75%,3.61%,830971
12037,7.89%, 44.59%, 52.48%,-,2.93%,710785
12039,36.84%, 30.41%, 67.26%,-,2.33%,4d05ab
12041,19.12%, 39.13%, 58.25%, 2.01%,2.6199999999999997%,630694
12043,4.40%, 45.96%, 50.36%, 2.55%,3.6799999999999997%,750980
12045,11.63%, 43.18%, 54.81%,-,2.01%,6e058b
12047,18.96%, 39.66%, 58.63%,-,1.71%,650495
12049,0.08%, 48.82%, 48.74%,-,2.44%,7c067c
12051,2.96%, 49.93%, 46.97%, 2.42%,3.1%,7f0777
12053,14.78%, 54.99%, 40.21%, 3.87%,4.8100000000000005%,8c0c66
12055,27.21%, 61.95%, 34.74%, 2.76%,3.3099999999999996%,9d0858
12057,8.71%, 51.71%, 42.99%, 4.37%,5.3%,830d6d
12059,7.39%, 52.41%, 45.02%,-,2.57%,850672
12061,31.59%, 62.98%, 31.39%, 4.79%,5.62%,a00e50
12063,8.60%, 44.76%, 53.36%,-,1.88%,720488
12065,17.97%, 39.19%, 57.16%, 2.32%,3.65%,630991
12067,12.83%, 42.67%, 55.50%,-,1.83%,6c048d
12069,32.92%, 64.53%, 31.61%, 3.00%,3.86%,a40950
12071,34.78%, 64.51%, 29.73%, 4.47%,5.77%,a40e4b
12073,6.16%, 43.47%, 49.63%, 5.57%,6.9%,6e117e
12075,12.64%, 42.26%, 54.90%, 2.30%,2.84%,6b078b
12077,10.48%, 43.81%, 54.29%,-,1.9%,6f048a
12079,15.50%, 41.39%, 56.89%,-,1.72%,690491
12081,28.75%, 61.81%, 33.06%, 4.47%,5.13%,9d0d54
12083,20.55%, 58.49%, 37.94%, 2.92%,3.57%,950960
12085,41.23%, 68.05%, 26.82%, 4.38%,5.13%,ad0d44
12086,10.48%, 50.65%, 40.17%, 8.53%,9.17%,811766
12087,17.08%, 53.40%, 36.32%, 8.86%,10.28%,881a5c
12089,3.40%, 50.60%, 47.20%,-,2.2%,810578
12091,42.72%, 69.62%, 26.90%, 2.77%,3.49%,b10844
12093,7.17%, 44.81%, 51.98%, 2.51%,3.1999999999999997%,720884
12095,27.01%, 61.06%, 34.05%, 3.77%,4.88%,9b0c56
12097,23.40%, 59.67%, 36.27%, 3.10%,4.0600000000000005%,980a5c
12099,20.42%, 56.79%, 36.37%, 6.01%,6.84%,90115c
12101,18.17%, 56.67%, 38.50%, 4.04%,4.83%,900c62
12103,13.71%, 53.83%, 40.12%, 5.17%,6.04%,890f66
12105,15.35%, 56.11%, 40.75%, 2.47%,3.14%,8f0867
12107,3.57%, 46.67%, 50.24%, 2.34%,3.0999999999999996%,770780
12109,23.03%, 59.67%, 36.64%, 2.94%,3.6799999999999997%,98095d
12111,26.08%, 60.76%, 34.69%, 3.73%,4.55%,9a0b58
12113,31.67%, 63.93%, 32.26%, 2.81%,3.8200000000000003%,a30952
12115,42.76%, 68.57%, 25.81%, 4.83%,5.62%,ae0e41
12117,37.30%, 66.16%, 28.86%, 4.07%,4.98%,a80c49
12119,8.58%, 44.41%, 52.98%,-,2.61%,710687
12121,5.29%, 46.22%, 51.51%,-,2.28%,750583
12123,3.19%, 47.31%, 50.49%,-,2.2%,780580
12125,4.70%, 46.35%, 51.05%,-,2.6%,760682
12127,8.00%, 51.69%, 43.69%, 3.25%,4.62%,830b6f
12129,1.43%, 47.26%, 48.69%, 2.62%,4.05%,780a7c
12131,3.58%, 50.28%, 46.70%, 2.13%,3.02%,800777
12133,2.16%, 49.92%, 47.75%,-,2.33%,7f0579
13001,20.45%, 39.17%, 59.62%,-,1.22%,630398
13003,31.59%, 33.62%, 65.21%,-,1.17%,5502a6
13005,6.28%, 45.94%, 52.22%,-,1.84%,750485
13007,33.57%, 32.61%, 66.18%,-,1.21%,5303a8
13009,8.76%, 43.71%, 52.46%, 2.76%,3.83%,6f0985
13011,46.90%, 26.01%, 72.91%,-,1.08%,4202b9
13013,25.23%, 36.20%, 61.44%,-,2.36%,5c069c
13015,40.13%, 28.89%, 69.01%,-,2.1%,4905af
13017,26.68%, 35.87%, 62.55%,-,1.57%,5b049f
13019,31.38%, 33.76%, 65.15%,-,1.09%,5602a6
13021,34.48%, 31.53%, 66.01%,-,2.46%,5006a8
13023,21.89%, 36.66%, 58.55%,-,1.37%,5d0395
13025,39.77%, 29.63%, 69.40%,-,0.97%,4b02b0
13027,17.87%, 40.40%, 58.27%,-,1.33%,670394
13029,23.31%, 37.47%, 60.77%,-,1.76%,5f049a
13031,13.13%, 42.04%, 55.16%,-,2.8%,6b078c
13033,23.56%, 37.49%, 61.05%,-,1.46%,5f039b
13035,35.47%, 31.47%, 66.94%,-,1.59%,5004aa
13037,36.51%, 31.24%, 67.75%,-,1.01%,4f02ac
13039,33.42%, 32.39%, 65.81%,-,1.8%,5204a7
13043,13.55%, 42.54%, 56.09%,-,1.36%,6c038f
13045,16.49%, 40.17%, 56.66%, 2.03%,3.1599999999999997%,660890
13047,9.41%, 53.91%, 44.50%,-,1.59%,890471
13049,30.18%, 34.08%, 64.26%,-,1.66%,5604a3
13051,3.37%, 46.67%, 50.04%, 2.19%,3.29%,77087f
13053,29.26%, 34.04%, 63.30%, 2.13%,2.66%,5606a1
13055,36.86%, 30.74%, 67.60%,-,1.66%,4e04ac
13057,6.59%, 44.96%, 51.55%,-,3.49%,720883
