id,margin,ford,carter,other
10001,13.32%, 42.83%, 56.15%, 1.02%
10003,4.37%, 47.01%, 51.38%, 1.61%
10005,3.88%, 47.56%, 51.44%, 1.01%
11001,65.12%, 16.51%, 81.63%, 1.86%
12001,27.70%, 34.87%, 62.58%, 2.55%
12003,45.94%, 25.22%, 71.16%, 3.62%
12005,2.20%, 48.19%, 50.39%, 1.42%
12007,38.95%, 29.91%, 68.86%, 1.23%
12009,2.11%, 48.15%, 50.26%, 1.59%
12011,4.40%, 47.15%, 51.55%, 1.30%
12013,36.16%, 31.26%, 67.42%, 1.33%
12015,10.30%, 54.44%, 44.14%, 1.41%
12017,8.27%, 45.03%, 53.30%, 1.67%
12019,0.34%, 49.38%, 49.04%, 1.57%
12021,24.80%, 61.76%, 36.96%, 1.28%
12023,25.41%, 36.66%, 62.08%, 1.26%
12027,14.83%, 41.48%, 56.30%, 2.22%
12029,58.54%, 20.28%, 78.82%, 0.91%
12031,16.93%, 41.08%, 58.01%, 0.90%
12033,3.95%, 51.38%, 47.42%, 1.20%
12035,24.43%, 37.41%, 61.84%, 0.74%
12037,27.08%, 35.45%, 62.53%, 2.02%
12039,31.32%, 33.85%, 65.17%, 0.98%
12041,54.33%, 22.43%, 76.76%, 0.81%
12043,34.96%, 31.76%, 66.72%, 1.53%
12045,24.69%, 37.00%, 61.69%, 1.31%
12047,42.66%, 26.91%, 69.57%, 1.42%
12049,9.42%, 42.86%, 52.28%, 0.43%
12051,11.61%, 43.32%, 54.94%, 1.74%
12053,14.01%, 42.19%, 56.20%, 1.62%
12055,6.99%, 52.86%, 45.88%, 1.26%
12057,9.18%, 44.82%, 54.01%, 1.17%
12059,27.14%, 35.71%, 62.86%, 1.43%
12061,7.00%, 52.63%, 45.63%, 1.74%
12063,22.86%, 37.90%, 60.76%, 1.34%
12065,25.31%, 36.30%, 61.62%, 2.08%
12067,36.22%, 31.41%, 67.63%, 0.96%
12069,16.12%, 57.42%, 41.31%, 1.27%
12071,10.71%, 54.50%, 43.80%, 1.70%
12073,9.34%, 44.42%, 53.76%, 1.82%
12075,33.41%, 31.87%, 65.28%, 0.84%
12077,29.11%, 34.91%, 64.02%, 1.07%
12079,28.91%, 34.94%, 63.85%, 1.21%
12081,9.12%, 53.90%, 44.78%, 1.32%
12083,2.38%, 47.99%, 50.37%, 1.64%
12085,13.96%, 56.28%, 42.33%, 1.39%
12086,17.61%, 40.45%, 58.06%, 1.48%
12087,14.41%, 41.67%, 56.08%, 2.26%
12089,30.20%, 34.31%, 64.51%, 1.18%
12091,13.18%, 55.86%, 42.68%, 1.46%
12093,32.87%, 33.12%, 65.99%, 0.89%
12095,9.21%, 54.01%, 44.80%, 1.18%
12097,1.19%, 49.82%, 48.63%, 1.55%
12099,0.77%, 49.45%, 48.68%, 1.87%
12101,8.61%, 45.11%, 53.72%, 1.16%
12103,2.75%, 50.75%, 48.00%, 1.25%
12105,3.29%, 47.72%, 51.01%, 1.27%
12107,30.77%, 34.03%, 64.81%, 1.16%
12109,5.23%, 46.34%, 51.58%, 2.08%
12111,3.65%, 47.51%, 51.16%, 1.33%
12113,6.33%, 52.39%, 46.06%, 1.55%
12115,24.99%, 61.78%, 36.78%, 1.44%
12117,15.05%, 56.94%, 41.89%, 1.17%
12119,35.39%, 31.20%, 66.59%, 2.21%
12121,31.25%, 32.49%, 63.74%, 0.50%
12123,25.66%, 36.68%, 62.34%, 0.98%
