id,margin,bush,dukakis,trash,other,hex_color
06077,9.83%, 54.39%, 44.56%,-,1.0499999999999972%,8a0271
06079,13.11%, 55.85%, 42.73%,-,1.4200000000000017%,8e036c
06081,12.81%, 42.94%, 55.74%,-,1.3199999999999932%,6d038e
06083,9.75%, 54.24%, 44.48%,-,1.2800000000000011%,8a0371
06085,4.32%, 46.99%, 51.30%,-,1.710000000000008%,770482
06087,24.76%, 36.77%, 61.53%,-,1.6999999999999886%,5d049c
06089,20.58%, 59.36%, 38.79%,-,1.8499999999999943%,970462
06091,4.07%, 50.71%, 46.64%,-,2.6500000000000057%,810676
06093,3.88%, 50.88%, 47.00%,-,2.1200000000000045%,810577
06095,3.80%, 47.43%, 51.23%,-,1.3400000000000034%,780382
06097,14.57%, 41.91%, 56.48%,-,1.6100000000000136%,6a0490
06099,7.16%, 53.07%, 45.92%,-,1.009999999999991%,870275
06101,36.09%, 67.47%, 31.38%,-,1.1500000000000057%,ac0250
06103,15.15%, 56.52%, 41.37%,-,2.1099999999999994%,900569
06105,12.53%, 54.63%, 42.11%,-,3.259999999999991%,8b086b
06107,20.57%, 59.61%, 39.04%,-,1.3499999999999943%,980363
06109,9.78%, 54.00%, 44.22%,-,1.7800000000000011%,890470
06111,24.44%, 61.64%, 37.19%,-,1.1700000000000017%,9d025e
06113,15.12%, 41.89%, 57.01%,-,1.0999999999999943%,6a0291
06115,23.99%, 61.37%, 37.38%,-,1.25%,9c035f
08001,6.70%, 45.87%, 52.57%,-,1.5600000000000023%,740386
08003,8.81%, 53.70%, 44.90%,-,1.4000000000000057%,880372
08005,21.86%, 60.24%, 38.38%,-,1.3799999999999955%,990361
08007,28.51%, 63.66%, 35.15%,-,1.1899999999999977%,a20359
08009,32.04%, 65.34%, 33.29%,-,1.3700000000000045%,a60354
08011,2.58%, 47.62%, 50.21%,-,2.1700000000000017%,790580
08013,8.48%, 44.93%, 53.41%,-,1.6599999999999966%,720488
08014,0%,-,-,-,0,000000
