id,margin,hoover,roosevelt,other,hex_color
06115,43.67%, 26.17%, 69.84%, 1.98%,4205b2
08001,22.73%, 36.69%, 59.41%, 0.51%,5d0197
08003,23.63%, 36.96%, 60.58%, 0.34%,5e009a
08005,14.18%, 40.28%, 54.46%, 0.82%,66028a
08007,33.05%, 32.77%, 65.82%, 1.42%,5303a7
08009,22.65%, 34.02%, 56.67%, 2.17%,560590
08011,18.52%, 39.58%, 58.10%, 2.33%,640594
08013,5.54%, 44.81%, 50.35%, 0.53%,720180
08014,0%,-,-,-,000000
08015,36.71%, 29.24%, 65.96%, 0.66%,4a01a8
08017,15.64%, 39.41%, 55.04%, 0.53%,64018c
08019,21.87%, 38.17%, 60.04%, 1.79%,610499
08021,37.68%, 30.90%, 68.58%, 0.52%,4e01ae
08023,34.67%, 31.92%, 66.59%, 1.49%,5103a9
08025,21.49%, 38.31%, 59.80%, 1.89%,610498
08027,26.36%, 34.45%, 60.80%, 1.33%,57039b
08029,17.80%, 37.00%, 54.80%, 1.14%,5e028b
08031,9.88%, 43.48%, 53.36%, 0.54%,6e0188
08033,40.67%, 26.48%, 67.15%, 3.33%,4308ab
08035,11.56%, 42.96%, 54.52%, 2.52%,6d068b
08037,30.20%, 33.81%, 64.01%, 2.18%,5605a3
08039,12.10%, 41.54%, 53.64%, 1.40%,690388
08041,2.73%, 49.35%, 46.62%, 0.81%,7d0276
08043,12.47%, 41.03%, 53.49%, 1.07%,680288
08045,25.20%, 36.05%, 61.25%, 0.58%,5b019c
08047,32.10%, 32.46%, 64.55%, 0.48%,5201a4
08049,12.40%, 42.87%, 55.27%, 1.86%,6d048c
08051,28.19%, 33.78%, 61.97%, 1.06%,56029e
08053,17.89%, 38.21%, 56.10%, 0.41%,61018f
08055,24.75%, 36.92%, 61.67%, 1.41%,5e039d
08057,3.04%, 47.45%, 50.49%, 2.07%,780580
08059,4.16%, 45.83%, 49.99%, 0.59%,74017f
08061,17.48%, 39.08%, 56.55%, 2.08%,630590
08063,10.53%, 42.55%, 53.07%, 1.74%,6c0487
08065,27.66%, 34.89%, 62.54%, 2.57%,58069f
08067,18.71%, 38.50%, 57.21%, 0.83%,620291
08069,3.87%, 49.87%, 46.00%, 0.84%,7f0275
08071,41.26%, 28.35%, 69.61%, 2.03%,4805b1
