id,margin,bush,clinton,perot,hex_color
12103,0.33%, 37.63%, 37.96%, 23.95%,5f3d60
12105,9.95%, 45.21%, 35.26%, 19.33%,733159
12107,7.01%, 34.72%, 41.73%, 23.30%,583b6a
12109,19.75%, 50.49%, 30.74%, 18.51%,802f4e
12111,0.77%, 35.76%, 34.99%, 29.04%,5b4a59
12113,26.09%, 52.90%, 20.00%, 26.81%,864433
12115,7.87%, 42.76%, 34.89%, 21.93%,6d3758
12117,18.24%, 48.57%, 30.33%, 20.83%,7b354d
12119,5.36%, 35.41%, 40.77%, 23.53%,5a3c67
12121,5.17%, 40.23%, 35.06%, 24.54%,663e59
12123,1.73%, 37.34%, 35.60%, 26.74%,5f445a
12125,8.35%, 43.29%, 34.95%, 21.56%,6e3659
12127,3.89%, 38.05%, 41.94%, 19.82%,61326a
12129,3.96%, 38.52%, 34.55%, 26.66%,624358
12131,13.55%, 42.25%, 28.69%, 28.70%,6b4949
12133,14.62%, 46.94%, 32.32%, 20.28%,773352
13001,0.98%, 41.71%, 40.73%, 17.37%,6a2c67
13003,12.68%, 35.65%, 48.33%, 15.65%,5a277b
13005,3.66%, 39.01%, 42.67%, 18.11%,632e6c
13007,32.22%, 26.63%, 58.86%, 14.31%,432496
13009,13.16%, 36.16%, 49.31%, 14.24%,5c247d
13011,0.57%, 42.25%, 41.68%, 15.88%,6b286a
13013,3.38%, 43.36%, 39.98%, 16.36%,6e2965
13015,6.28%, 45.57%, 39.29%, 14.71%,742564
13017,19.53%, 33.06%, 52.60%, 13.87%,542386
13019,10.26%, 36.03%, 46.29%, 17.52%,5b2c76
13021,15.21%, 36.72%, 51.93%, 11.14%,5d1c84
13023,3.54%, 39.69%, 43.23%, 16.73%,652a6e
13025,8.00%, 36.06%, 44.06%, 19.65%,5b3270
13027,2.69%, 41.23%, 43.92%, 14.60%,69256f
13029,12.79%, 47.05%, 34.26%, 18.47%,772f57
13031,6.22%, 45.00%, 38.78%, 15.98%,722862
13033,18.33%, 34.84%, 53.17%, 11.77%,581e87
13035,14.02%, 36.45%, 50.46%, 12.76%,5c2080
13037,41.48%, 22.99%, 64.47%, 12.29%,3a1fa4
13039,7.46%, 46.45%, 38.99%, 14.22%,762463
13043,6.46%, 36.81%, 43.27%, 19.64%,5d326e
13045,10.39%, 47.60%, 37.21%, 14.87%,79255e
13047,18.89%, 51.59%, 32.70%, 15.55%,832753
13049,7.12%, 46.09%, 38.97%, 14.76%,752563
13051,0.54%, 44.30%, 43.75%, 11.47%,701d6f
13053,15.94%, 34.47%, 50.42%, 14.77%,572580
13055,8.39%, 38.09%, 46.47%, 15.07%,612676
13057,27.18%, 54.95%, 27.77%, 16.94%,8c2b46
13059,17.05%, 36.07%, 53.12%, 10.30%,5b1a87
13061,42.94%, 22.06%, 65.00%, 12.95%,3821a5
13063,3.32%, 41.33%, 44.65%, 13.70%,692271
13065,1.69%, 43.00%, 41.32%, 15.57%,6d2769
13067,20.18%, 52.62%, 32.45%, 14.58%,862552
13069,6.03%, 45.31%, 39.27%, 15.06%,732664
13071,7.68%, 45.54%, 37.86%, 16.37%,742960
13073,33.84%, 59.07%, 25.23%, 15.53%,962740
13075,11.46%, 36.56%, 48.02%, 14.90%,5d257a
13077,13.24%, 47.75%, 34.51%, 17.45%,792c58
13079,21.17%, 30.60%, 51.78%, 17.25%,4e2b84
13081,6.25%, 39.46%, 45.72%, 14.42%,642474
13083,8.51%, 45.61%, 37.09%, 17.13%,742b5e
13085,7.63%, 43.58%, 35.95%, 20.30%,6f335b
13087,0.75%, 42.35%, 43.11%, 14.40%,6b246d
