id,margin,bush,kerry,trash1,trash2,trash1,other,hex_color
06019,15.69%, 57.38%, 41.68%,-,-, 0.94%,0.9399999999999977%,92026a
06021,35.04%, 66.72%, 31.68%,-,-, 1.60%,1.5999999999999943%,aa0450
06023,18.63%, 39.03%, 57.66%,-,-, 3.31%,3.3100000000000023%,630893
06025,6.05%, 46.36%, 52.41%,-,-, 1.23%,1.230000000000004%,760385
06027,20.21%, 59.09%, 38.88%,-,-, 2.03%,2.030000000000001%,960563
06029,34.01%, 66.49%, 32.49%,-,-, 1.02%,1.0200000000000102%,a90252
06031,31.67%, 65.41%, 33.74%,-,-, 0.85%,0.8499999999999943%,a60256
06033,8.29%, 44.88%, 53.16%,-,-, 1.96%,1.960000000000008%,720487
06035,43.39%, 70.97%, 27.58%,-,-, 1.45%,1.4500000000000028%,b40346
06037,27.50%, 35.60%, 63.10%,-,-, 1.30%,1.2999999999999972%,5a03a0
06039,29.32%, 64.02%, 34.70%,-,-, 1.28%,1.2800000000000011%,a30358
06041,47.80%, 25.40%, 73.21%,-,-, 1.39%,1.3900000000000148%,4003ba
06043,22.68%, 60.23%, 37.55%,-,-, 2.22%,2.219999999999999%,99055f
06045,29.74%, 33.71%, 63.45%,-,-, 2.83%,2.8400000000000034%,5507a1
06047,14.29%, 56.54%, 42.26%,-,-, 1.20%,1.2000000000000028%,90036b
06049,46.70%, 72.42%, 25.72%,-,-, 1.86%,1.8599999999999994%,b80441
06051,0.13%, 49.10%, 49.23%,-,-, 1.67%,1.6700000000000017%,7d047d
06053,21.98%, 38.38%, 60.36%,-,-, 1.26%,1.259999999999991%,610399
06055,20.51%, 38.97%, 59.48%,-,-, 1.54%,1.5500000000000114%,630397
06057,8.48%, 53.39%, 44.92%,-,-, 1.69%,1.6899999999999977%,880472
06059,20.70%, 59.68%, 38.98%,-,-, 1.33%,1.3400000000000034%,980363
06061,26.35%, 62.61%, 36.26%,-,-, 1.13%,1.1299999999999955%,9f025c
06063,24.81%, 61.71%, 36.90%,-,-, 1.39%,1.3900000000000006%,9d035e
06065,16.80%, 57.83%, 41.04%,-,-, 1.13%,1.1299999999999955%,930268
06067,0.23%, 49.29%, 49.52%,-,-, 1.19%,1.1899999999999977%,7d037e
06069,6.16%, 46.45%, 52.61%,-,-, 0.94%,0.9399999999999977%,760286
06071,11.76%, 55.29%, 43.53%,-,-, 1.18%,1.1800000000000068%,8c036f
06073,6.12%, 52.45%, 46.33%,-,-, 1.22%,1.2199999999999989%,850376
06075,67.82%, 15.21%, 83.02%,-,-, 1.77%,1.7700000000000102%,2604d3
06077,7.36%, 53.18%, 45.83%,-,-, 0.99%,0.9900000000000091%,870274
06079,7.17%, 52.69%, 45.52%,-,-, 1.79%,1.789999999999992%,860474
06081,40.23%, 29.25%, 69.48%,-,-, 1.27%,1.269999999999996%,4a03b1
06083,7.95%, 45.22%, 53.17%,-,-, 1.61%,1.6099999999999994%,730487
06085,29.31%, 34.63%, 63.94%,-,-, 1.43%,1.4300000000000068%,5803a3
06087,48.12%, 24.86%, 72.98%,-,-, 2.15%,2.1599999999999966%,3f05ba
06089,35.91%, 67.22%, 31.31%,-,-, 1.47%,1.4699999999999989%,ab034f
06091,30.95%, 64.12%, 33.16%,-,-, 2.72%,2.719999999999999%,a30654
06093,22.93%, 60.64%, 37.71%,-,-, 1.66%,1.6500000000000057%,9a0460
06095,15.32%, 41.86%, 57.17%,-,-, 0.97%,0.9699999999999989%,6a0291
06097,36.28%, 30.90%, 67.18%,-,-, 1.91%,1.9199999999999875%,4e04ab
06099,18.25%, 58.65%, 40.40%,-,-, 0.95%,0.9500000000000028%,950267
06101,35.34%, 67.19%, 31.85%,-,-, 0.96%,0.960000000000008%,ab0251
06103,34.41%, 66.42%, 32.01%,-,-, 1.57%,1.5699999999999932%,a90451
06105,11.95%, 54.66%, 42.71%,-,-, 2.63%,2.6299999999999955%,8b066c
06107,33.28%, 66.15%, 32.87%,-,-, 0.98%,0.9799999999999898%,a80253
06109,21.50%, 60.02%, 38.51%,-,-, 1.47%,1.4699999999999989%,990362
06111,3.66%, 51.19%, 47.53%,-,-, 1.28%,1.2800000000000011%,820379
06113,20.59%, 38.75%, 59.34%,-,-, 1.91%,1.9099999999999966%,620497
06115,35.45%, 67.00%, 31.55%,-,-, 1.45%,1.4500000000000028%,aa0350
08001,2.35%, 48.22%, 50.57%,-,-, 1.20%,1.210000000000008%,7a0380
08003,2.58%, 50.63%, 48.05%,-,-, 1.32%,1.3199999999999932%,81037a
08005,3.96%, 51.42%, 47.45%,-,-, 1.13%,1.1299999999999955%,830278
08007,25.00%, 61.67%, 36.67%,-,-, 1.66%,1.6599999999999966%,9d045d
08009,54.76%, 76.85%, 22.10%,-,-, 1.05%,1.0500000000000114%,c30238
08011,25.66%, 62.09%, 36.43%,-,-, 1.48%,1.4799999999999898%,9e035c
08013,33.89%, 32.39%, 66.28%,-,-, 1.32%,1.3299999999999983%,5203a9
08014,4.61%, 51.68%, 47.06%,-,-, 1.26%,1.259999999999991%,830378
08015,12.65%, 55.59%, 42.94%,-,-, 1.47%,1.4699999999999989%,8d036d
08017,63.93%, 81.39%, 17.46%,-,-, 1.15%,1.1500000000000057%,cf022c
08019,8.32%, 44.93%, 53.25%,-,-, 1.82%,1.8199999999999932%,720487
08021,0.79%, 49.01%, 49.80%,-,-, 1.18%,1.1899999999999977%,7c037e
08023,34.32%, 32.16%, 66.48%,-,-, 1.36%,1.3599999999999994%,5203a9
08025,35.37%, 67.38%, 32.02%,-,-, 0.60%,0.5999999999999943%,ab0151
08027,37.81%, 68.25%, 30.44%,-,-, 1.32%,1.3100000000000023%,ae034d
08029,38.83%, 68.66%, 29.83%,-,-, 1.50%,1.5100000000000051%,af034c
08031,40.29%, 29.27%, 69.56%,-,-, 1.17%,1.1700000000000017%,4a02b1
08033,39.41%, 68.44%, 29.03%,-,-, 2.53%,2.530000000000001%,ae064a
08035,33.82%, 66.54%, 32.72%,-,-, 0.73%,0.7399999999999949%,a90153
08037,6.54%, 46.10%, 52.64%,-,-, 1.26%,1.259999999999991%,750386
08039,48.88%, 73.82%, 24.94%,-,-, 1.24%,1.240000000000009%,bc033f
08041,34.62%, 66.74%, 32.11%,-,-, 1.15%,1.1500000000000057%,aa0251
08043,34.44%, 66.46%, 32.03%,-,-, 1.51%,1.5100000000000051%,a90351
08045,9.18%, 53.87%, 44.69%,-,-, 1.43%,1.4399999999999977%,890371
08047,14.96%, 41.58%, 56.54%,-,-, 1.88%,1.8799999999999955%,6a0490
08049,13.37%, 55.99%, 42.62%,-,-, 1.39%,1.3900000000000006%,8e036c
08051,15.48%, 41.32%, 56.79%,-,-, 1.89%,1.8900000000000006%,690490
08053,19.77%, 58.97%, 39.20%,-,-, 1.83%,1.8299999999999983%,960463
08055,1.33%, 50.09%, 48.76%,-,-, 1.15%,1.1500000000000057%,7f027c
08057,53.53%, 76.02%, 22.48%,-,-, 1.50%,1.5%,c10339
08059,5.19%, 51.79%, 46.60%,-,-, 1.61%,1.6099999999999994%,840476
08061,60.54%, 79.82%, 19.28%,-,-, 0.90%,0.9000000000000057%,cb0231
08063,56.88%, 77.70%, 20.82%,-,-, 1.48%,1.4799999999999898%,c60335
08065,12.28%, 42.76%, 55.04%,-,-, 2.20%,2.200000000000003%,6d058c
08067,6.68%, 45.87%, 52.56%,-,-, 1.57%,1.5699999999999932%,740486
08069,5.20%, 51.82%, 46.62%,-,-, 1.56%,1.5600000000000023%,840376
08071,1.58%, 48.48%, 50.06%,-,-, 1.46%,1.460000000000008%,7b037f
08073,56.31%, 77.83%, 21.52%,-,-, 0.64%,0.6500000000000057%,c60136
08075,41.95%, 70.36%, 28.42%,-,-, 1.22%,1.2199999999999989%,b30348
08077,35.51%, 67.12%, 31.61%,-,-, 1.26%,1.269999999999996%,ab0350
08079,25.20%, 61.87%, 36.67%,-,-, 1.45%,1.460000000000008%,9d035d
08081,50.52%, 74.18%, 23.67%,-,-, 2.15%,2.1499999999999915%,bd053c
08083,28.33%, 63.44%, 35.11%,-,-, 1.45%,1.4500000000000028%,a10359
08085,39.72%, 69.17%, 29.45%,-,-, 1.39%,1.3799999999999955%,b0034b
08087,37.72%, 68.31%, 30.59%,-,-, 1.11%,1.0999999999999943%,ae024e
08089,21.80%, 60.48%, 38.68%,-,-, 0.84%,0.8400000000000034%,9a0262
08091,4.56%, 51.53%, 46.97%,-,-, 1.51%,1.5%,830377
08093,15.99%, 57.21%, 41.22%,-,-, 1.57%,1.5699999999999932%,910469
08095,48.82%, 73.85%, 25.03%,-,-, 1.12%,1.1200000000000045%,bc023f
08097,38.36%, 30.08%, 68.44%,-,-, 1.48%,1.480000000000004%,4c03ae
08099,43.92%, 71.49%, 27.57%,-,-, 0.95%,0.9399999999999977%,b60246
08101,6.33%, 46.31%, 52.64%,-,-, 1.04%,1.0499999999999972%,760286
08103,61.17%, 80.02%, 18.85%,-,-, 1.13%,1.1299999999999955%,cc0230
08105,26.09%, 62.40%, 36.30%,-,-, 1.30%,1.3000000000000114%,9f035c
08107,10.14%, 44.20%, 54.34%,-,-, 1.45%,1.4599999999999937%,70038a
08109,15.38%, 41.49%, 56.87%,-,-, 1.64%,1.6400000000000006%,690491
08111,7.61%, 44.44%, 52.06%,-, 2.06%, 1.44%,3.5%,710884
08113,44.71%, 26.85%, 71.56%,-,-, 1.59%,1.5900000000000034%,4404b6
08115,43.90%, 71.40%, 27.50%,-,-, 1.10%,1.0999999999999943%,b60246
08117,20.20%, 39.10%, 59.29%,-,-, 1.61%,1.6099999999999994%,630497
08119,38.32%, 68.35%, 30.03%,-,-, 1.62%,1.6200000000000045%,ae044c
08121,63.04%, 81.03%, 17.98%,-,-, 0.99%,0.9899999999999949%,ce022d
08123,26.76%, 62.71%, 35.95%,-,-, 1.35%,1.3400000000000034%,9f035b
08125,52.47%, 75.81%, 23.34%,-,-, 0.86%,0.8499999999999943%,c1023b
09001,4.06%, 47.29%, 51.35%,-,-, 1.36%,1.3599999999999994%,780382
09003,19.14%, 39.54%, 58.68%,-,-, 1.78%,1.7800000000000011%,640495
