id,margin,reagan,mondale,hall,other,hex_color
06039,21.34%, 60.04%, 38.70%,-,1.26%,990362
06041,0.56%, 49.02%, 49.58%,-,1.4%,7d037e
06043,24.39%, 61.20%, 36.81%,-,1.99%,9c055d
06045,6.24%, 52.09%, 45.85%,-,2.06%,840574
06047,18.80%, 58.85%, 40.05%,-,1.1%,960266
06049,41.21%, 69.49%, 28.28%,-,2.23%,b10548
06051,46.15%, 72.31%, 26.16%,-,1.52%,b80342
06053,15.37%, 57.16%, 41.79%,-,1.05%,91026a
06055,16.95%, 57.77%, 40.82%,-,1.4%,930368
06057,27.11%, 62.36%, 35.25%,-,2.4%,9f0659
06059,50.44%, 74.70%, 24.27%,-,1.03%,be023d
06061,27.70%, 62.94%, 35.24%,-,1.82%,a00459
06063,15.03%, 56.61%, 41.58%,-,1.81%,90046a
06065,27.95%, 63.48%, 35.53%,-,0.99%,a1025a
06067,12.42%, 55.56%, 43.14%,-,1.3%,8d036e
06069,22.83%, 60.71%, 37.89%,-,1.4%,9a0360
06071,30.82%, 64.80%, 33.98%,-,1.22%,a50356
06073,31.89%, 65.30%, 33.41%,-,1.29%,a60355
06075,35.91%, 31.44%, 67.35%,-,1.21%,5003ab
06077,20.37%, 59.61%, 39.24%,-,1.15%,980264
06079,28.71%, 63.72%, 35.02%,-,1.26%,a20359
06081,4.96%, 51.87%, 46.91%,-,1.22%,840377
06083,26.75%, 62.76%, 36.01%,-,1.24%,a0035b
06085,11.16%, 54.81%, 43.65%,-,1.54%,8b036f
06087,8.07%, 45.20%, 53.27%,-,1.52%,730387
06089,25.87%, 62.19%, 36.32%,-,1.48%,9e035c
06091,15.66%, 56.86%, 41.19%,-,1.95%,900469
06093,18.86%, 58.25%, 39.39%,-,2.36%,940664
06095,10.23%, 54.51%, 44.29%,-,1.2%,8b0370
06097,3.44%, 51.08%, 47.64%,-,1.28%,820379
06099,19.37%, 59.23%, 39.86%,-,0.92%,970265
06101,44.00%, 71.23%, 27.24%,-,1.53%,b50345
06103,27.41%, 62.78%, 35.37%,-,1.85%,a0045a
06105,22.34%, 59.71%, 37.37%,-,2.91%,98075f
06107,28.77%, 63.88%, 35.11%,-,1.02%,a20259
06109,17.74%, 58.09%, 40.35%,-,1.57%,940466
06111,38.48%, 68.67%, 30.19%,-,1.15%,af024c
06113,3.05%, 47.84%, 50.89%,-,1.27%,790381
06115,28.84%, 63.52%, 34.68%,-,1.81%,a10458
08001,21.64%, 60.20%, 38.56%,-,1.24%,990362
08003,26.17%, 62.68%, 36.51%,-,0.81%,9f025d
