id,margin,nixon,mcgovern,other,other2
10003,17.63%, 58.21%,-, 1.21%,-
10005,30.39%, 64.59%,-, 1.21%,-
11001,56.54%, 21.56%,-, 0.35%,-
12001,13.27%, 56.54%,-, 0.20%,-
12003,67.33%, 83.64%,-, 0.04%,-
12005,67.60%, 83.80%,-,-,-
12007,49.12%, 73.67%,-, 1.78%,-
12009,57.59%, 78.73%,-, 0.13%,-
12011,45.10%, 72.41%,-, 0.28%,-
12013,63.48%, 81.68%,-, 0.12%,-
12015,53.60%, 76.64%,-, 0.33%,-
12017,54.47%, 77.22%,-, 0.03%,-
12019,71.25%, 85.53%,-, 0.19%,-
12021,61.51%, 80.63%,-, 0.25%,-
12023,60.32%, 80.16%,-,-,-
12027,55.23%, 77.58%,-, 0.08%,-
12029,63.14%, 81.52%,-, 0.10%,-
12031,44.69%, 72.19%,-, 0.31%,-
12033,59.59%, 79.57%,-, 0.45%,-
12035,48.16%, 74.08%,-,-,-
12037,64.47%, 82.14%,-, 0.18%,-
12039,22.04%, 61.01%,-, 0.02%,-
12041,67.67%, 83.45%,-, 0.77%,-
12043,59.24%, 78.81%,-, 1.62%,-
12045,57.23%, 78.54%,-, 0.15%,-
12047,46.97%, 73.34%,-, 0.29%,-
12049,69.21%, 84.57%,-, 0.07%,-
12051,57.76%, 78.85%,-, 0.06%,-
12053,49.78%, 74.87%,-, 0.04%,-
12055,59.24%, 79.49%,-, 0.25%,-
12057,40.42%, 70.13%,-, 0.16%,-
12059,85.03%, 92.51%,-,-,-
12061,55.86%, 77.85%,-, 0.17%,-
12063,60.04%, 79.99%,-, 0.07%,-
12065,33.18%, 66.04%,-, 1.10%,-
12067,71.71%, 85.69%,-, 0.32%,-
12069,65.44%, 82.63%,-, 0.17%,-
12071,59.12%, 79.46%,-, 0.20%,-
12073,27.65%, 63.72%,-, 0.21%,-
12075,58.28%, 79.12%,-, 0.05%,-
12077,68.75%, 84.38%,-,-,-
12079,46.17%, 72.92%,-, 0.34%,-
12081,60.10%, 79.79%,-, 0.53%,-
12083,56.55%, 78.18%,-, 0.18%,-
12085,58.27%, 78.83%,-, 0.61%,-
12086,18.09%, 58.87%,-, 0.35%,-
12087,44.58%, 72.18%,-, 0.22%,-
12089,59.21%, 79.44%,-, 0.33%,-
