id,margin,nixon,kennedy,other,hex_color
08115,23.02%, 61.41%, 38.39%,0.20000000000000284%,9c0061
08117,2.90%, 51.27%, 48.37%,0.35999999999999943%,82007b
08119,7.49%, 53.60%, 46.11%,0.28999999999999204%,880075
08121,31.11%, 65.49%, 34.38%,0.12999999999999545%,a60057
08123,22.16%, 60.99%, 38.83%,0.18000000000000682%,9b0063
08125,30.59%, 65.18%, 34.59%,0.22999999999998977%,a60058
09001,6.79%, 53.39%, 46.60%,0.009999999999990905%,880076
09003,17.76%, 41.12%, 58.88%,0.0%,680096
09005,7.89%, 53.94%, 46.05%,0.010000000000005116%,890075
09007,0.26%, 49.87%, 50.13%,0.0%,7f007f
09009,15.92%, 42.04%, 57.96%,0.0%,6b0093
09011,3.25%, 48.38%, 51.62%,0.0%,7b0083
09013,2.71%, 51.35%, 48.65%,0.0%,82007c
09015,13.96%, 43.02%, 56.98%,0.0%,6d0091
10001,0.26%, 49.49%, 49.75%,0.7599999999999909%,7e017e
10003,2.85%, 48.46%, 51.31%,0.22999999999998977%,7b0082
10005,2.87%, 51.08%, 48.21%,0.710000000000008%,82017a
11001,0%,-,-,0,000000
12001,4.10%, 52.05%, 47.95%,0.0%,84007a
12003,57.36%, 21.32%, 78.68%,0.0%,3600c8
12005,32.12%, 33.94%, 66.06%,0.0%,5600a8
12007,38.30%, 30.85%, 69.15%,0.0%,4e00b0
12009,22.74%, 61.37%, 38.63%,0.0%,9c0062
12011,17.64%, 58.82%, 41.18%,0.0%,950069
12013,43.09%, 28.46%, 71.54%,0.0%,4800b6
12015,21.84%, 60.92%, 39.08%,0.0%,9b0063
12017,3.65%, 51.82%, 48.18%,0.0%,84007a
12019,4.06%, 47.97%, 52.03%,0.0%,7a0084
12021,21.49%, 60.74%, 39.26%,0.0%,9a0064
12023,27.66%, 36.17%, 63.83%,0.0%,5c00a2
12027,0.21%, 50.10%, 49.90%,0.0%,7f007f
12029,42.69%, 28.65%, 71.35%,0.0%,4900b5
12031,8.53%, 45.73%, 54.27%,0.0%,74008a
12033,22.42%, 38.79%, 61.21%,0.0%,62009c
12035,37.31%, 31.35%, 68.65%,0.0%,4f00af
12037,32.33%, 33.84%, 66.16%,0.0%,5600a8
12039,7.65%, 46.18%, 53.82%,0.0%,750089
12041,50.14%, 24.93%, 75.07%,0.0%,3f00bf
12043,11.30%, 44.35%, 55.65%,0.0%,71008d
12045,56.27%, 21.86%, 78.14%,0.0%,3700c7
12047,33.97%, 33.01%, 66.99%,0.0%,5400aa
12049,5.92%, 52.96%, 47.04%,0.0%,870077
12051,11.23%, 44.38%, 55.62%,0.0%,71008d
12053,4.01%, 48.00%, 52.00%,0.0%,7a0084
12055,16.65%, 58.32%, 41.68%,0.0%,94006a
12057,12.02%, 43.99%, 56.01%,0.0%,70008e
12059,31.48%, 34.26%, 65.74%,0.0%,5700a7
12061,22.11%, 61.05%, 38.95%,0.0%,9b0063
12063,35.53%, 32.23%, 67.77%,0.0%,5200ac
12065,30.60%, 34.70%, 65.30%,0.0%,5800a6
12067,45.50%, 27.25%, 72.75%,0.0%,4500b9
12069,44.90%, 72.45%, 27.55%,0.0%,b80046
12071,30.68%, 65.34%, 34.66%,0.0%,a60058
12073,6.94%, 46.53%, 53.47%,0.0%,760088
12075,33.58%, 33.21%, 66.79%,0.0%,5400aa
12077,56.02%, 21.99%, 78.01%,0.0%,3800c6
12079,28.80%, 35.60%, 64.40%,0.0%,5a00a4
12081,30.26%, 65.13%, 34.87%,0.0%,a60058
12083,1.14%, 49.43%, 50.57%,0.0%,7e0080
12085,16.29%, 58.15%, 41.85%,0.0%,94006a
12086,15.30%, 42.35%, 57.65%,0.0%,6b0093
12087,34.23%, 32.88%, 67.12%,0.0%,5300ab
12089,32.66%, 33.67%, 66.33%,0.0%,5500a9
12091,27.63%, 36.18%, 63.82%,0.0%,5c00a2
12093,28.13%, 35.93%, 64.07%,0.0%,5b00a3
12095,41.95%, 70.98%, 29.02%,0.0%,b4004a
12097,36.58%, 68.29%, 31.71%,0.0%,ae0050
12099,20.56%, 60.28%, 39.72%,0.0%,990065
12101,10.41%, 55.21%, 44.79%,0.0%,8c0072
