id,margin,dole,clinton,perot,nader,other,hex_color
05125,8.13%, 40.77%, 48.90%, 9.11%,-,10.329999999999998%,671a7c
05127,19.39%, 33.19%, 52.57%, 11.94%,-,14.240000000000009%,542486
05129,2.95%, 45.00%, 42.05%, 9.60%,-,12.950000000000003%,72216b
05131,2.74%, 46.63%, 43.89%, 8.20%,-,9.47999999999999%,76186f
05133,26.53%, 31.16%, 57.69%, 10.08%,-,11.150000000000006%,4f1c93
05135,13.46%, 37.80%, 51.26%, 9.86%,-,10.939999999999998%,601b82
05137,15.78%, 34.36%, 50.15%, 13.04%,-,15.490000000000009%,57277f
05139,14.55%, 37.97%, 52.53%, 6.73%,-,9.5%,601885
05141,17.29%, 34.48%, 51.77%, 12.20%,-,13.75%,572384
05143,2.14%, 44.30%, 46.44%, 7.13%,-,9.260000000000005%,701776
05145,7.36%, 41.25%, 48.61%, 8.71%,-,10.14%,69197b
05147,50.70%, 20.97%, 71.67%, 6.52%,-,7.359999999999999%,3512b6
05149,24.65%, 31.77%, 56.43%, 10.75%,-,11.799999999999997%,511e8f
06001,42.71%, 23.07%, 65.77%, 5.25%, 4.42%,11.159999999999997%,3a1ca7
06003,0.98%, 43.00%, 42.02%, 10.26%, 3.09%,14.97999999999999%,6d266b
06005,6.93%, 47.54%, 40.60%, 8.77%,-,11.86%,791e67
06007,10.45%, 48.98%, 38.53%, 8.04%, 3.03%,12.490000000000009%,7c1f62
06009,9.49%, 48.12%, 38.63%, 9.37%,-,13.25%,7a2162
06011,17.69%, 54.29%, 36.60%, 7.20%,-,9.11%,8a175d
06013,20.58%, 35.15%, 55.73%, 5.79%, 2.08%,9.120000000000005%,59178e
06015,0.20%, 41.29%, 41.08%, 13.78%, 2.24%,17.629999999999995%,692c68
06017,15.51%, 51.84%, 36.33%, 8.03%, 2.28%,11.829999999999998%,841e5c
06019,2.09%, 47.42%, 45.32%, 5.26%,-,7.259999999999991%,781273
06021,24.81%, 56.86%, 32.04%, 8.89%,-,11.099999999999994%,901c51
06023,8.65%, 35.52%, 44.17%, 10.42%, 8.34%,20.310000000000002%,5a3370
06025,18.51%, 36.76%, 55.27%, 6.73%,-,7.969999999999999%,5d148c
06027,17.48%, 51.84%, 34.36%, 10.71%,-,13.799999999999997%,842357
06029,17.21%, 53.77%, 36.56%, 7.85%,-,9.669999999999987%,89185d
06031,4.32%, 47.91%, 43.59%, 6.76%,-,8.5%,7a156f
06033,13.94%, 34.96%, 48.90%, 11.90%, 2.73%,16.14%,59297c
06035,19.00%, 52.60%, 33.60%, 10.94%,-,13.799999999999997%,862355
06037,28.37%, 30.96%, 59.34%, 6.54%,-,9.699999999999989%,4e1897
06039,17.14%, 53.85%, 36.70%, 7.15%,-,9.449999999999989%,89185d
06041,29.87%, 28.17%, 58.04%, 5.65%, 6.34%,13.789999999999992%,472394
06043,13.28%, 50.02%, 36.73%, 9.17%, 2.42%,13.25%,7f215d
06045,15.87%, 29.87%, 45.74%, 11.27%, 11.04%,24.39%,4c3e74
