id,margin,goldwater,johnson,other,hex_color
09013,38.02%, 30.90%, 68.92%,-,4e00af
09015,47.06%, 26.44%, 73.50%,-,4300bb
10001,18.02%, 40.84%, 58.86%,-,680096
10003,25.18%, 37.28%, 62.46%,-,5f009f
10005,11.32%, 44.19%, 55.51%,-,70008d
11001,71.00%, 14.50%, 85.50%,-,2400da
12001,9.47%, 45.27%, 54.73%,-,73008b
12003,0.71%, 49.65%, 50.35%,-,7e0080
12005,24.17%, 62.09%, 37.91%,-,9e0060
12007,7.73%, 46.13%, 53.87%,-,750089
12009,0.57%, 49.71%, 50.29%,-,7e0080
12011,10.97%, 55.49%, 44.51%,-,8d0071
12013,29.32%, 64.66%, 35.34%,-,a4005a
12015,7.43%, 46.29%, 53.71%,-,760088
12017,3.96%, 48.02%, 51.98%,-,7a0084
12019,9.99%, 54.99%, 45.01%,-,8c0072
12021,10.90%, 55.45%, 44.55%,-,8d0071
12023,12.12%, 56.06%, 43.94%,-,8e0070
12027,5.55%, 52.78%, 47.22%,-,860078
12029,0.82%, 49.59%, 50.41%,-,7e0080
12031,1.09%, 50.55%, 49.45%,-,80007e
12033,12.19%, 56.09%, 43.91%,-,8f006f
12035,13.39%, 43.31%, 56.69%,-,6e0090
12037,1.90%, 50.95%, 49.05%,-,81007d
12039,6.67%, 53.33%, 46.67%,-,870077
12041,13.67%, 43.17%, 56.83%,-,6e0090
12043,10.18%, 55.09%, 44.91%,-,8c0072
12045,9.34%, 54.67%, 45.33%,-,8b0073
12047,5.85%, 47.07%, 52.93%,-,780086
12049,9.77%, 54.88%, 45.12%,-,8b0073
12051,9.93%, 54.96%, 45.04%,-,8c0072
12053,0.37%, 50.18%, 49.82%,-,7f007f
12055,5.72%, 52.86%, 47.14%,-,860078
12057,16.96%, 41.52%, 58.48%,-,690095
12059,45.99%, 73.00%, 27.00%,-,ba0044
12061,9.45%, 54.72%, 45.28%,-,8b0073
12063,23.39%, 61.69%, 38.31%,-,9d0061
12065,5.65%, 52.82%, 47.18%,-,860078
12067,8.63%, 54.32%, 45.68%,-,8a0074
12069,24.79%, 62.39%, 37.61%,-,9f005f
12071,11.62%, 55.81%, 44.19%,-,8e0070
12073,16.29%, 58.15%, 41.85%,-,94006a
12075,11.39%, 44.31%, 55.69%,-,70008e
12077,41.41%, 70.71%, 29.29%,-,b4004a
12079,14.18%, 57.09%, 42.91%,-,91006d
12081,13.48%, 56.74%, 43.26%,-,90006e
12083,8.84%, 54.42%, 45.58%,-,8a0074
12085,8.48%, 54.24%, 45.76%,-,8a0074
12086,28.02%, 35.99%, 64.01%,-,5b00a3
12087,29.71%, 35.14%, 64.86%,-,5900a5
12089,5.97%, 52.98%, 47.02%,-,870077
12091,11.60%, 55.80%, 44.20%,-,8e0070
12093,12.86%, 56.43%, 43.57%,-,8f006f
12095,12.21%, 56.10%, 43.90%,-,8f006f
12097,12.24%, 56.12%, 43.88%,-,8f006f
12099,6.18%, 53.09%, 46.91%,-,870077
12101,3.36%, 48.32%, 51.68%,-,7b0083
12103,10.05%, 44.98%, 55.02%,-,72008c
12105,10.04%, 55.02%, 44.98%,-,8c0072
12107,0.76%, 50.38%, 49.62%,-,80007e
12109,26.20%, 63.10%, 36.90%,-,a0005e
12111,3.64%, 48.18%, 51.82%,-,7a0084
12113,25.26%, 62.63%, 37.37%,-,9f005f
12115,22.26%, 61.13%, 38.87%,-,9b0063
12117,4.96%, 52.48%, 47.52%,-,850079
12119,16.14%, 41.93%, 58.07%,-,6a0094
12121,11.29%, 55.64%, 44.36%,-,8d0071
12123,21.81%, 60.91%, 39.09%,-,9b0063
12125,2.07%, 48.97%, 51.03%,-,7c0082
12127,16.55%, 41.72%, 58.28%,-,6a0094
12129,25.56%, 62.78%, 37.22%,-,a0005e
12131,21.03%, 60.51%, 39.49%,-,9a0064
12133,28.99%, 64.50%, 35.50%,-,a4005a
13001,24.89%, 62.44%, 37.56%,-,9f005f
13003,17.57%, 58.76%, 41.19%,-,950069
13005,28.87%, 64.43%, 35.57%,-,a4005a
13007,20.73%, 60.33%, 39.60%,-,990064
13009,11.18%, 55.59%, 44.41%,-,8d0071
13011,39.31%, 30.34%, 69.66%,-,4d00b1
13013,0.85%, 50.42%, 49.58%,-,80007e
13015,24.46%, 37.77%, 62.23%,-,60009e
13017,15.67%, 57.82%, 42.15%,-,93006b
13019,21.02%, 60.51%, 39.49%,-,9a0064
13021,17.97%, 58.98%, 41.02%,-,960068
13023,44.99%, 72.50%, 27.50%,-,b80046
13025,15.05%, 57.52%, 42.48%,-,92006c
13027,39.02%, 69.50%, 30.47%,-,b1004d
13029,25.15%, 62.58%, 37.42%,-,9f005f
13031,27.88%, 63.94%, 36.06%,-,a3005b
13033,43.05%, 71.52%, 28.48%,-,b60048
13035,9.77%, 45.12%, 54.88%,-,73008b
13037,57.34%, 78.67%, 21.33%,-,c80036
13039,3.12%, 51.56%, 48.44%,-,83007b
13043,36.53%, 68.26%, 31.74%,-,ae0050
13045,1.94%, 50.96%, 49.02%,-,81007d
13047,17.27%, 58.59%, 41.32%,-,950069
13049,34.51%, 67.26%, 32.74%,-,ab0053
13051,17.69%, 58.85%, 41.15%,-,960068
13053,12.59%, 56.29%, 43.71%,-,8f006f
13055,45.93%, 27.01%, 72.94%,-,4400b9
13057,3.17%, 51.59%, 48.41%,-,83007b
13059,21.33%, 39.33%, 60.67%,-,64009a
13061,20.31%, 60.04%, 39.74%,-,990065
13063,28.22%, 64.08%, 35.86%,-,a3005b
13065,21.12%, 60.56%, 39.44%,-,9a0064
13067,11.24%, 55.62%, 44.38%,-,8d0071
13069,23.53%, 61.76%, 38.24%,-,9d0061
