id,margin,reagan,carter,anderson,other
13107,28.35%, 35.18%, 63.53%,-, 1.30%
13109,14.21%, 42.33%, 56.54%,-, 1.13%
13111,11.49%, 54.83%, 43.34%,-, 1.84%
13113,24.20%, 60.20%, 36.00%, 2.58%, 1.21%
13115,19.03%, 39.07%, 58.10%,-, 2.82%
13117,15.10%, 40.81%, 55.91%, 2.07%, 1.22%
13119,43.17%, 27.96%, 71.13%,-, 0.91%
13121,27.94%, 33.68%, 61.62%, 3.50%, 1.21%
13123,1.68%, 47.83%, 49.50%,-, 2.67%
13125,9.14%, 44.82%, 53.95%,-, 1.23%
13127,2.15%, 47.54%, 49.69%,-, 2.76%
13129,24.49%, 36.37%, 60.86%,-, 2.76%
13131,19.64%, 39.44%, 59.08%,-, 1.49%
13133,45.06%, 26.90%, 71.96%,-, 1.15%
13135,10.16%, 52.84%, 42.68%, 2.91%, 1.58%
13137,32.00%, 32.80%, 64.80%,-, 2.40%
13139,21.27%, 37.81%, 59.08%, 2.26%, 0.85%
13141,58.10%, 20.40%, 78.50%,-, 1.10%
13143,23.10%, 37.40%, 60.50%,-, 2.10%
13145,16.31%, 40.49%, 56.80%, 2.02%, 0.69%
13147,47.66%, 25.37%, 73.03%,-, 1.59%
13149,20.72%, 38.33%, 59.05%,-, 2.63%
13151,2.74%, 47.27%, 50.01%,-, 2.72%
13153,9.23%, 43.51%, 52.74%, 2.59%, 1.15%
13155,18.96%, 40.12%, 59.08%,-, 0.80%
13157,34.28%, 31.79%, 66.07%,-, 2.14%
13159,26.85%, 35.39%, 62.24%,-, 2.38%
13161,26.22%, 35.97%, 62.19%,-, 1.84%
13163,34.15%, 32.24%, 66.39%,-, 1.37%
13165,32.41%, 33.05%, 65.46%,-, 1.48%
13167,24.13%, 37.07%, 61.21%,-, 1.72%
13169,27.03%, 35.02%, 62.05%, 2.15%, 0.79%
13171,30.17%, 33.91%, 64.08%,-, 2.01%
13173,40.27%, 29.30%, 69.58%,-, 1.12%
13175,27.69%, 35.07%, 62.76%,-, 2.16%
13177,7.43%, 53.05%, 45.62%,-, 1.34%
13179,34.00%, 32.18%, 66.18%,-, 1.64%
