id,margin,harding,cox,other,other2,hex_color
08015,9.45%, 52.91%, 43.46%,1.13%,-,86026e
08017,37.05%, 64.57%, 27.52%,2.84%,-,a40746
08019,18.83%, 58.31%, 39.48%,2.21%,-,940564
08021,28.22%, 63.50%, 35.27%,1.23%,-,a10359
08023,1.78%, 49.52%, 47.74%,2.74%,-,7e0679
08025,25.01%, 60.64%, 35.63%,3.73%,-,9a095a
08027,30.62%, 63.28%, 32.66%,1.92%,-,a10453
08029,18.38%, 56.40%, 38.02%,1.82%,-,8f0460
08031,29.52%, 62.03%, 32.51%,2.25%,-,9e0552
08033,10.78%, 48.28%, 37.50%,2.94%,-,7b075f
08035,25.06%, 61.40%, 36.33%,2.27%,-,9c055c
08037,13.23%, 55.13%, 41.90%,2.97%,-,8c076a
08039,39.35%, 66.35%, 27.00%,3.33%,-,a90844
08041,29.38%, 62.78%, 33.40%,3.83%,-,a00955
08043,12.12%, 53.33%, 41.21%,2.24%,-,870569
08045,12.02%, 54.32%, 42.30%,1.22%,-,8a036b
08047,36.55%, 66.99%, 30.43%,2.58%,-,aa064d
08049,7.77%, 52.51%, 44.74%,2.75%,-,850772
08051,1.48%, 47.46%, 45.97%,0.9%,-,790275
08053,32.54%, 59.13%, 26.59%,1.19%,-,960343
08055,5.02%, 51.42%, 46.40%,2.19%,-,830576
08057,54.84%, 76.28%, 21.44%,2.28%,-,c20536
08059,28.29%, 61.52%, 33.24%,1.97%,-,9c0554
08061,23.67%, 59.63%, 35.96%,1.73%,-,98045b
08063,37.64%, 65.48%, 27.84%,2.52%,-,a60646
08065,12.19%, 53.16%, 40.97%,2.15%,-,870568
08067,7.90%, 50.85%, 42.94%,1.96%,-,81046d
08069,32.59%, 64.34%, 31.75%,3.9%,-,a40950
08071,5.87%, 51.19%, 45.31%,1.2%,-,820373
08073,27.07%, 61.26%, 34.19%,1.86%,-,9c0457
08075,23.52%, 59.71%, 36.20%,4.09%,-,980a5c
08077,6.64%, 49.80%, 43.16%,2.94%,-,7e076e
08079,9.97%, 49.33%, 39.35%,1.89%,-,7d0464
08081,35.64%, 65.42%, 29.78%,2.17%,-,a6054b
08083,11.66%, 52.20%, 40.55%,2.68%,-,850667
08085,17.32%, 54.83%, 37.51%,2.46%,-,8b065f
08087,45.45%, 70.45%, 25.00%,2.35%,-,b3053f
08089,16.27%, 55.93%, 39.66%,2.27%,-,8e0565
08091,27.87%, 61.51%, 33.64%,0.59%,-,9c0155
08093,21.75%, 58.20%, 36.45%,0.91%,-,94025c
08095,39.88%, 66.80%, 26.92%,1.35%,-,aa0344
08097,6.30%, 49.38%, 43.08%,0.62%,-,7d016d
08099,34.41%, 65.00%, 30.59%,2.26%,-,a5054e
08101,9.71%, 53.13%, 43.42%,1.04%,-,87026e
08103,26.53%, 62.24%, 35.71%,2.04%,-,9e055b
08105,24.81%, 61.01%, 36.20%,2.79%,-,9b075c
08107,19.54%, 57.51%, 37.97%,1.55%,-,920360
08109,24.13%, 60.32%, 36.19%,0.96%,-,99025c
08111,6.12%, 50.46%, 44.34%,1.68%,-,800471
08113,14.04%, 54.30%, 40.26%,1.99%,-,8a0566
08115,35.65%, 65.31%, 29.67%,2.47%,-,a6064b
08117,3.61%, 50.36%, 46.75%,0.84%,-,800277
08119,20.22%, 57.89%, 37.67%,1.12%,-,930260
08121,31.68%, 63.44%, 31.77%,2.01%,-,a10551
08123,31.47%, 63.78%, 32.31%,3.91%,-,a20952
08125,33.67%, 63.42%, 29.75%,2.37%,-,a1064b
09001,36.68%, 66.48%, 29.79%,1.19%,-,a9034b
09003,26.70%, 60.74%, 34.04%,2.37%,-,9a0656
09005,34.18%, 65.94%, 31.76%,2.31%,-,a80550
09007,33.03%, 65.24%, 32.21%,2.56%,-,a60652
09009,25.54%, 60.23%, 34.69%,1.04%,-,990258
09011,29.84%, 63.31%, 33.46%,1.21%,-,a10355
09013,36.41%, 66.13%, 29.72%,1.42%,-,a8034b
09015,25.40%, 61.95%, 36.56%,1.49%,-,9d035d
10001,5.04%, 46.88%, 51.92%,1.2%,-,770384
10003,19.67%, 58.29%, 38.62%,0.0%,-,940062
