statecounty,margin,dole,clinton,perot,nader,other
49015,16.06%, 49.32%, 33.26%, 16.08%,-, 1.33%
49017,56.69%, 72.01%, 15.32%, 12.02%,-, 0.65%
49019,5.69%, 42.57%, 36.88%, 13.29%, 5.26%, 2.00%
49021,49.65%, 69.75%, 20.09%, 7.62%,-, 2.53%
49023,13.79%, 49.12%, 35.34%, 13.44%,-, 2.09%
49025,59.50%, 72.63%, 13.13%, 12.52%,-, 1.73%
49027,40.98%, 63.29%, 22.31%, 11.92%,-, 2.48%
49029,27.51%, 57.05%, 29.54%, 11.59%,-, 1.82%
49031,41.70%, 66.25%, 24.55%, 8.23%,-, 0.98%
49033,43.22%, 65.70%, 22.49%, 11.06%,-, 0.75%
49035,3.56%, 45.51%, 41.95%, 9.82%,-, 2.72%
49037,11.14%, 51.36%, 40.22%, 6.51%,-, 1.92%
49039,33.40%, 58.78%, 25.38%, 12.97%,-, 2.87%
49041,44.13%, 65.79%, 21.66%, 10.94%,-, 1.62%
49043,3.33%, 41.50%, 44.82%, 10.42%,-, 3.26%
49045,1.19%, 41.68%, 42.87%, 13.36%,-, 2.09%
49047,40.58%, 63.55%, 22.96%, 12.04%,-, 1.45%
49049,52.39%, 71.05%, 18.66%, 8.27%,-, 2.02%
49051,19.99%, 52.38%, 32.39%, 13.15%,-, 2.07%
49053,51.24%, 70.49%, 19.25%, 8.27%,-, 1.99%
49055,41.68%, 64.89%, 23.20%, 10.60%,-, 1.31%
49057,10.74%, 48.79%, 38.06%, 11.03%,-, 2.12%
50001,21.78%, 31.05%, 52.83%, 11.70%, 2.60%, 1.82%
50003,18.02%, 32.37%, 50.39%, 14.10%, 2.21%, 0.92%
50005,12.75%, 34.66%, 47.40%, 15.10%,-, 2.84%
50007,27.06%, 29.78%, 56.84%, 9.68%, 2.18%, 1.51%
50009,12.29%, 33.44%, 45.73%, 18.05%,-, 2.78%
50011,25.75%, 28.49%, 54.24%, 15.35%,-, 1.92%
50013,19.63%, 31.50%, 51.13%, 14.50%,-, 2.86%
50015,24.95%, 29.45%, 54.40%, 13.24%,-, 2.92%
50017,16.83%, 32.96%, 49.79%, 13.02%, 2.27%, 1.96%
50019,20.26%, 31.18%, 51.44%, 15.10%,-, 2.27%
50021,12.10%, 36.48%, 48.59%, 12.52%,-, 2.41%
50023,25.18%, 29.94%, 55.12%, 10.77%, 2.86%, 1.31%
50025,27.31%, 27.81%, 55.12%, 10.75%, 4.69%, 1.63%
50027,23.27%, 30.80%, 54.07%, 11.74%,-, 3.39%
51001,1.78%, 43.02%, 44.79%, 10.45%,-, 1.74%
51003,3.70%, 48.81%, 45.12%, 4.91%,-, 1.16%
51005,7.55%, 39.71%, 47.26%, 11.96%,-, 1.06%
51007,11.92%, 51.13%, 39.21%, 7.79%,-, 1.86%
51009,2.11%, 46.63%, 44.53%, 7.64%,-, 1.20%
51011,7.05%, 47.93%, 40.88%, 9.31%,-, 1.88%
51013,25.83%, 34.63%, 60.46%, 3.69%,-, 1.21%
51015,33.90%, 60.89%, 26.99%, 8.67%,-, 0.57%
51017,3.66%, 41.30%, 44.95%, 12.04%,-, 1.71%
51019,18.86%, 54.07%, 35.22%, 8.94%,-, 1.77%
51021,8.99%, 46.00%, 37.01%, 15.18%,-, 1.81%
51023,14.77%, 51.73%, 36.96%, 9.19%,-, 2.12%
51025,23.37%, 34.79%, 58.16%, 5.75%,-, 1.30%
51027,36.45%, 26.96%, 63.40%, 8.30%,-, 1.34%
51029,8.25%, 40.70%, 48.95%, 8.08%,-, 2.27%
51031,18.44%, 54.35%, 35.91%, 7.96%,-, 1.78%
51033,14.84%, 38.65%, 53.49%, 7.15%,-, 0.70%
51035,14.82%, 51.04%, 36.22%, 11.62%,-, 1.12%
51036,39.94%, 26.16%, 66.09%, 6.39%,-, 1.36%
51037,2.08%, 45.58%, 43.50%, 9.34%,-, 1.58%
51041,28.33%, 60.71%, 32.39%, 6.43%,-, 0.46%
51043,6.46%, 48.17%, 41.72%, 8.30%,-, 1.82%
51045,3.89%, 45.35%, 41.45%, 12.14%,-, 1.07%
51047,16.88%, 53.90%, 37.02%, 7.46%,-, 1.62%
51049,7.55%, 48.40%, 40.85%, 8.62%,-, 2.13%
51051,24.52%, 32.45%, 56.97%, 9.61%,-, 0.96%
51053,4.51%, 42.90%, 47.40%, 8.16%,-, 1.54%
51057,1.16%, 46.05%, 47.21%, 5.32%,-, 1.42%
51059,1.61%, 48.19%, 46.58%, 4.42%,-, 0.81%
51061,22.35%, 57.45%, 35.10%, 6.68%,-, 0.77%
51063,9.41%, 48.07%, 38.65%, 11.03%,-, 2.25%
51065,11.50%, 51.66%, 40.16%, 6.86%,-, 1.32%
51067,0.48%, 43.46%, 42.97%, 11.86%,-, 1.71%
51069,25.16%, 57.61%, 32.46%, 8.68%,-, 1.24%
51071,9.37%, 38.15%, 47.52%, 12.50%,-, 1.83%
51073,13.79%, 51.20%, 37.40%, 10.05%,-, 1.35%
51075,17.98%, 55.47%, 37.49%, 5.71%,-, 1.32%
51077,5.36%, 46.92%, 41.56%, 10.54%,-, 0.98%
51079,21.43%, 55.29%, 33.87%, 8.14%,-, 2.70%
51081,31.36%, 30.60%, 61.96%, 6.84%,-, 0.60%
51083,6.74%, 49.07%, 42.33%, 6.62%,-, 1.97%
51085,35.15%, 63.60%, 28.45%, 7.05%,-, 0.90%
51087,13.05%, 53.37%, 40.32%, 5.80%,-, 0.51%
51089,0.23%, 43.64%, 43.41%, 11.35%,-, 1.60%
51091,15.15%, 51.68%, 36.53%, 10.97%,-, 0.82%
51093,4.08%, 47.64%, 43.56%, 7.85%,-, 0.95%
51095,15.46%, 54.45%, 38.99%, 6.00%,-, 0.55%
51097,11.61%, 38.93%, 50.54%, 7.73%,-, 2.79%
51099,14.91%, 53.62%, 38.72%, 7.04%,-, 0.62%
51101,13.00%, 52.49%, 39.49%, 7.59%,-, 0.43%
51103,17.68%, 55.36%, 37.69%, 6.62%,-, 0.33%
51105,14.17%, 37.48%, 51.65%, 9.55%,-, 1.31%
51107,11.70%, 52.13%, 40.43%, 6.25%,-, 1.20%
51109,0.08%, 45.27%, 45.19%, 8.33%,-, 1.21%
51111,1.52%, 46.26%, 44.73%, 6.70%,-, 2.31%
51113,12.46%, 50.91%, 38.45%, 7.98%,-, 2.66%
51115,14.18%, 51.78%, 37.61%, 9.46%,-, 1.15%
51117,5.11%, 48.00%, 42.89%, 7.68%,-, 1.44%
51119,10.17%, 49.83%, 39.66%, 8.15%,-, 2.37%
51121,1.44%, 43.28%, 44.72%, 10.68%,-, 1.32%
51125,15.08%, 37.77%, 52.85%, 7.81%,-, 1.58%
51127,18.85%, 54.15%, 35.30%, 9.87%,-, 0.68%
51131,16.29%, 35.63%, 51.92%, 10.55%,-, 1.90%
51133,12.89%, 51.81%, 38.92%, 7.46%,-, 1.81%
51135,1.71%, 46.34%, 44.63%, 6.64%,-, 2.40%
51137,9.49%, 49.79%, 40.30%, 8.42%,-, 1.49%
51139,13.48%, 51.83%, 38.35%, 8.56%,-, 1.27%
51141,18.40%, 52.39%, 33.98%, 10.62%,-, 0.56%
51143,20.48%, 55.85%, 35.37%, 6.77%,-, 2.01%
51145,31.73%, 61.22%, 29.49%, 8.19%,-, 1.10%
51147,2.61%, 44.56%, 47.16%, 7.10%,-, 1.18%
51149,18.07%, 54.86%, 36.79%, 7.34%,-, 1.00%
51153,7.43%, 50.09%, 42.66%, 6.22%,-, 1.03%
51155,0.44%, 43.78%, 43.34%, 11.37%,-, 1.50%
51157,3.14%, 47.31%, 44.17%, 6.70%,-, 1.82%
51159,11.55%, 50.91%, 39.36%, 7.19%,-, 2.54%
51161,13.48%, 52.51%, 39.03%, 7.44%,-, 1.01%
51163,2.17%, 44.98%, 42.81%, 10.44%,-, 1.77%
51165,37.63%, 64.66%, 27.03%, 6.07%,-, 2.24%
51167,17.09%, 36.59%, 53.68%, 8.51%,-, 1.21%
51169,7.43%, 47.66%, 40.23%, 9.31%,-, 0.61%
51171,24.22%, 56.02%, 31.81%, 10.19%,-, 1.98%
51173,0.21%, 42.74%, 42.95%, 12.11%,-, 2.20%
51175,17.56%, 33.88%, 51.44%, 8.40%,-, 0.67%
51177,13.15%, 52.62%, 39.48%, 7.10%,-, 0.80%
