statecounty,Margin,Reagan,Mondale,Hall,Other
10005,34.94%, 67.32%, 32.38%,-, 0.30%
11001,71.66%, 13.73%, 85.38%,-, 0.89%
12001,7.03%, 53.46%, 46.43%,-, 0.10%
12003,43.24%, 71.62%, 28.38%,-,-
12005,51.55%, 75.77%, 24.22%,-, 0.01%
12007,27.65%, 63.82%, 36.18%,-,-
12009,46.94%, 73.45%, 26.51%,-, 0.04%
12011,13.36%, 56.68%, 43.32%,-, 0.01%
12013,31.02%, 65.48%, 34.46%,-, 0.05%
12015,41.71%, 70.85%, 29.14%,-, 0.01%
12017,32.96%, 66.47%, 33.51%,-, 0.01%
12019,59.43%, 79.72%, 20.28%,-,-
12021,57.51%, 78.75%, 21.24%,-, 0.01%
12023,34.82%, 67.41%, 32.59%,-,-
12027,35.32%, 67.64%, 32.32%,-, 0.04%
12029,28.59%, 64.29%, 35.71%,-,-
12031,24.84%, 62.41%, 37.57%,-, 0.02%
12033,42.65%, 71.32%, 28.66%,-, 0.02%
12035,24.17%, 62.08%, 37.91%,-, 0.01%
12037,34.10%, 67.05%, 32.95%,-,-
12039,12.08%, 43.95%, 56.03%,-, 0.02%
12041,32.34%, 66.15%, 33.82%,-, 0.03%
12043,30.00%, 65.00%, 35.00%,-,-
12045,33.40%, 66.70%, 33.30%,-,-
12047,15.65%, 57.83%, 42.17%,-,-
12049,44.13%, 72.06%, 27.94%,-,-
12051,38.31%, 69.15%, 30.85%,-,-
12053,27.10%, 63.54%, 36.44%,-, 0.01%
12055,39.07%, 69.53%, 30.46%,-, 0.01%
12057,29.36%, 64.67%, 35.31%,-, 0.02%
12059,57.40%, 78.70%, 21.30%,-,-
12061,46.16%, 73.08%, 26.92%,-,-
12063,29.40%, 64.70%, 35.30%,-,-
12065,4.35%, 52.16%, 47.81%,-, 0.02%
12067,27.41%, 63.71%, 36.29%,-,-
12069,48.59%, 74.29%, 25.70%,-, 0.01%
12071,47.80%, 73.89%, 26.09%,-, 0.03%
12073,10.06%, 55.00%, 44.94%,-, 0.06%
12075,28.37%, 64.19%, 35.81%,-,-
12077,36.89%, 68.45%, 31.55%,-,-
12079,14.59%, 57.30%, 42.70%,-,-
12081,45.51%, 72.75%, 27.24%,-, 0.01%
12083,39.95%, 69.97%, 30.02%,-, 0.01%
12085,52.58%, 76.28%, 23.70%,-, 0.02%
12086,18.34%, 59.17%, 40.83%,-, 0.01%
12087,35.49%, 67.73%, 32.24%,-, 0.04%
12089,39.53%, 69.76%, 30.23%,-, 0.01%
12091,67.05%, 83.51%, 16.47%,-, 0.02%
12093,33.30%, 66.65%, 33.35%,-,-
12095,42.88%, 71.39%, 28.51%,-, 0.10%
12097,46.92%, 73.45%, 26.53%,-, 0.02%
12099,23.35%, 61.67%, 38.32%,-, 0.01%
12101,23.85%, 61.92%, 38.07%,-, 0.01%
12103,30.34%, 65.16%, 34.82%,-, 0.02%
12105,40.68%, 70.33%, 29.65%,-, 0.02%
12107,18.75%, 59.37%, 40.61%,-, 0.02%
12109,42.53%, 71.26%, 28.73%,-, 0.01%
12111,36.75%, 68.37%, 31.61%,-, 0.02%
12113,64.10%, 82.04%, 17.94%,-, 0.02%
12115,48.36%, 74.15%, 25.79%,-, 0.06%
12117,51.89%, 75.91%, 24.02%,-, 0.07%
12119,28.75%, 64.37%, 35.62%,-, 0.01%
12121,37.14%, 68.57%, 31.43%,-,-
12123,39.97%, 69.98%, 30.02%,-,-
12125,40.63%, 70.28%, 29.65%,-, 0.08%
12127,21.87%, 60.93%, 39.06%,-, 0.01%
12129,35.50%, 67.75%, 32.25%,-,-
12131,48.01%, 74.01%, 25.99%,-,-
12133,41.26%, 70.62%, 29.36%,-, 0.02%
13001,19.87%, 59.93%, 40.07%,-,-
13003,2.33%, 51.17%, 48.83%,-,-
13005,27.55%, 63.77%, 36.23%,-,-
13007,1.17%, 49.41%, 50.59%,-,-
13009,19.48%, 59.74%, 40.26%,-,-
13011,18.61%, 59.30%, 40.70%,-,-
13013,27.06%, 63.53%, 36.47%,-,-
