id,margin,hoover,smith,other,hex_color
06069,18.07%, 58.87%, 40.80%, 0.33%,960068
06071,50.61%, 74.73%, 24.13%, 1.14%,be023d
06073,35.16%, 67.14%, 31.97%, 0.89%,ab0251
06075,0.33%, 49.11%, 49.44%, 1.46%,7d037e
06077,23.25%, 61.10%, 37.85%, 1.05%,9b0260
06079,23.42%, 60.82%, 37.40%, 1.78%,9b045f
06081,18.88%, 58.87%, 39.99%, 1.14%,960265
06083,39.95%, 69.44%, 29.49%, 1.07%,b1024b
06085,28.42%, 63.81%, 35.39%, 0.79%,a2025a
06087,37.99%, 68.53%, 30.54%, 0.93%,ae024d
06089,6.26%, 52.20%, 45.94%, 1.86%,850475
06091,4.17%, 51.52%, 47.35%, 1.13%,830278
06093,12.43%, 55.49%, 43.06%, 1.45%,8d036d
06095,5.80%, 52.32%, 46.51%, 1.17%,850276
06097,20.31%, 59.71%, 39.40%, 0.90%,980264
06099,35.52%, 67.13%, 31.61%, 1.27%,ab0350
06101,8.78%, 53.98%, 45.20%, 0.82%,890273
06103,33.69%, 65.58%, 31.89%,-,a70051
06105,1.53%, 48.85%, 47.32%,-,7c0078
06107,28.67%, 63.76%, 35.09%, 1.15%,a20259
06109,11.74%, 54.80%, 43.05%,-,8b006d
06111,41.24%, 70.17%, 28.92%, 0.91%,b20249
06113,14.52%, 56.96%, 42.43%, 0.61%,91016c
06115,0.79%, 50.02%, 49.23%, 0.74%,7f017d
08001,27.65%, 63.10%, 35.46%, 1.44%,a0035a
08003,17.21%, 58.23%, 41.01%, 0.76%,940168
08005,41.84%, 70.29%, 28.44%, 1.27%,b30348
08007,15.09%, 56.48%, 41.39%, 2.13%,900569
08009,58.97%, 78.48%, 19.51%, 2.01%,c80531
08011,44.82%, 72.13%, 27.31%, 0.55%,b70145
08013,36.35%, 67.48%, 31.13%, 1.39%,ac034f
08014,0%,-,-,-,000000
08015,20.57%, 59.49%, 38.92%, 1.58%,970463
08017,30.07%, 63.85%, 33.78%, 2.36%,a20656
08019,23.88%, 61.05%, 37.17%, 1.78%,9b045e
08021,7.08%, 45.24%, 52.32%, 2.44%,730685
08023,23.47%, 37.33%, 60.80%, 1.88%,5f049b
08025,32.00%, 65.42%, 33.42%, 1.16%,a60255
08027,20.71%, 58.88%, 38.17%, 0.49%,960161
08029,37.15%, 67.32%, 30.17%, 2.51%,ab064c
08031,27.85%, 63.40%, 35.55%, 1.05%,a1025a
08033,15.75%, 55.92%, 40.17%, 0.72%,8e0166
08035,29.25%, 64.25%, 35.00%, 0.75%,a30159
08037,27.66%, 63.18%, 35.51%, 1.31%,a1035a
08039,44.13%, 71.38%, 27.25%, 1.37%,b60345
08041,51.78%, 75.28%, 23.49%, 1.23%,bf033b
08043,38.63%, 68.79%, 30.16%, 1.05%,af024c
08045,21.52%, 60.03%, 38.51%, 1.45%,990362
08047,11.62%, 55.17%, 43.54%, 1.29%,8c036f
08049,25.75%, 62.15%, 36.40%, 1.45%,9e035c
08051,12.17%, 55.21%, 43.04%, 1.74%,8c046d
08053,9.24%, 53.78%, 44.54%, 1.68%,890471
08055,1.25%, 49.15%, 50.40%, 0.45%,7d0180
08057,22.82%, 60.21%, 37.39%, 2.40%,99065f
08059,39.63%, 69.09%, 29.46%, 1.44%,b0034b
08061,37.36%, 67.59%, 30.23%, 2.18%,ac054d
08063,36.56%, 67.37%, 30.81%, 1.82%,ab044e
08065,18.59%, 40.10%, 58.69%, 1.22%,660395
08067,20.26%, 59.58%, 39.31%, 1.11%,970264
08069,43.27%, 70.94%, 27.66%, 1.40%,b40346
08071,9.10%, 44.74%, 53.85%, 1.41%,720389
08073,40.03%, 69.11%, 29.09%, 1.80%,b0044a
08075,45.30%, 71.92%, 26.62%, 1.46%,b70343
08077,32.88%, 65.76%, 32.88%, 1.36%,a70353
08079,12.29%, 41.14%, 53.43%,-,680088
08081,30.50%, 64.56%, 34.05%, 1.39%,a40356
08083,26.47%, 62.37%, 35.91%, 1.72%,9f045b
08085,36.90%, 67.27%, 30.37%, 2.36%,ab064d
