id,margin,mccain,obama,other,hex_color
08003,14.09%, 41.92%, 56.01%, 2.07%,6a058e
08005,12.91%, 42.78%, 55.69%, 1.53%,6d038e
08007,12.11%, 54.91%, 42.81%, 2.28%,8c056d
08009,47.63%, 72.28%, 24.64%, 3.08%,b8073e
08011,14.48%, 56.09%, 41.61%, 2.29%,8f056a
08013,46.14%, 26.14%, 72.29%, 1.57%,4204b8
08014,11.58%, 43.31%, 54.89%, 1.79%,6e048b
08015,0.11%, 49.12%, 49.01%, 1.87%,7d047c
08017,62.29%, 80.11%, 17.82%, 2.07%,cc052d
08019,17.89%, 39.88%, 57.78%, 2.34%,650593
08021,12.93%, 42.67%, 55.60%, 1.73%,6c048d
08023,48.91%, 24.45%, 73.36%, 2.18%,3e05bb
08025,27.21%, 62.64%, 35.43%, 1.93%,9f045a
08027,28.91%, 63.60%, 34.69%, 1.71%,a20458
08029,32.29%, 65.23%, 32.94%, 1.83%,a60453
08031,52.41%, 23.04%, 75.45%, 1.50%,3a03c0
08033,36.89%, 67.21%, 30.32%, 2.47%,ab064d
08035,17.22%, 58.03%, 40.81%, 1.15%,930268
08037,23.13%, 37.77%, 60.91%, 1.32%,60039b
08039,40.05%, 68.97%, 28.92%, 2.11%,af0549
08041,18.82%, 58.69%, 39.86%, 1.45%,950365
08043,29.24%, 63.60%, 34.36%, 2.04%,a20557
08045,0.01%, 49.21%, 49.20%, 1.59%,7d047d
08047,20.99%, 38.08%, 59.07%, 2.85%,610796
08049,1.10%, 49.68%, 48.59%, 1.73%,7e047b
08051,27.35%, 35.29%, 62.64%, 2.06%,59059f
08053,17.36%, 57.43%, 40.07%, 2.50%,920666
08055,11.23%, 43.37%, 54.60%, 2.03%,6e058b
08057,37.96%, 68.27%, 30.31%, 1.42%,ae034d
08059,8.99%, 44.61%, 53.60%, 1.79%,710488
08061,55.40%, 76.29%, 20.89%, 2.82%,c20735
08063,44.83%, 71.32%, 26.50%, 2.18%,b50543
08065,26.02%, 35.91%, 61.93%, 2.17%,5b059d
08067,16.28%, 41.11%, 57.39%, 1.50%,680392
08069,9.73%, 44.26%, 53.99%, 1.75%,700489
08071,7.04%, 45.64%, 52.68%, 1.67%,740486
08073,50.82%, 74.52%, 23.70%, 1.78%,be043c
08075,35.16%, 66.86%, 31.70%, 1.44%,aa0350
08077,29.54%, 64.02%, 34.48%, 1.50%,a30357
08079,10.27%, 53.61%, 43.34%, 3.05%,88076e
08081,43.48%, 70.43%, 26.95%, 2.62%,b30644
08083,19.45%, 58.87%, 39.42%, 1.72%,960464
08085,29.78%, 63.69%, 33.91%, 2.40%,a20656
08087,24.03%, 61.29%, 37.26%, 1.46%,9c035f
08089,10.49%, 54.47%, 43.98%, 1.55%,8a0370
08091,8.79%, 44.67%, 53.46%, 1.86%,710488
08093,6.88%, 52.18%, 45.29%, 2.53%,850673
08095,43.83%, 71.34%, 27.51%, 1.15%,b50246
08097,48.82%, 24.92%, 73.74%, 1.33%,3f03bc
08099,33.72%, 65.94%, 32.22%, 1.84%,a80452
08101,14.97%, 41.78%, 56.74%, 1.48%,6a0390
08103,56.63%, 77.44%, 20.81%, 1.75%,c50435
08105,8.85%, 53.82%, 44.97%, 1.21%,890372
08107,26.86%, 35.80%, 62.66%, 1.55%,5b039f
08109,28.15%, 34.76%, 62.91%, 2.33%,5805a0
08111,9.27%, 43.95%, 53.23%, 2.82%,700787
08113,55.54%, 21.45%, 76.99%, 1.56%,3603c4
08115,28.79%, 63.43%, 34.64%, 1.92%,a10458
08117,33.02%, 32.77%, 65.79%, 1.44%,5303a7
08119,28.15%, 63.12%, 34.97%, 1.91%,a00459
08121,56.51%, 77.56%, 21.05%, 1.39%,c50335
08123,8.72%, 53.39%, 44.67%, 1.93%,880471
08125,48.38%, 73.30%, 24.92%, 1.78%,ba043f
09001,18.18%, 40.54%, 58.72%, 0.74%,670195
09003,31.43%, 33.67%, 65.11%, 1.22%,5503a6
09005,4.92%, 46.66%, 51.57%, 1.77%,760483
09007,23.00%, 37.73%, 60.72%, 1.55%,60039a
09009,23.23%, 37.78%, 61.01%, 1.21%,60039b
09011,21.05%, 38.83%, 59.88%, 1.29%,630398
09013,20.91%, 38.76%, 59.67%, 1.57%,620498
09015,14.68%, 41.72%, 56.39%, 1.89%,6a048f
10001,9.81%, 44.57%, 54.38%, 1.05%,71028a
10003,40.59%, 29.07%, 69.66%, 1.26%,4a03b1
10005,8.58%, 53.82%, 45.24%, 0.93%,890273
11001,85.92%, 6.53%, 92.46%, 1.01%,1002eb
12001,21.48%, 38.51%, 59.99%, 1.50%,620398
12003,57.23%, 78.22%, 20.99%, 0.79%,c70235
12005,40.59%, 69.66%, 29.07%, 1.27%,b1034a
12007,40.21%, 69.52%, 29.31%, 1.17%,b1024a
12009,10.37%, 54.54%, 44.17%, 1.29%,8b0370
12011,34.68%, 32.34%, 67.02%, 0.64%,5201aa
12013,40.29%, 69.36%, 29.07%, 1.56%,b0034a
12015,7.22%, 52.87%, 45.65%, 1.48%,860374
12017,16.01%, 57.13%, 41.12%, 1.76%,910468
12019,42.76%, 70.95%, 28.18%, 0.87%,b40247
12021,22.49%, 60.84%, 38.35%, 0.82%,9b0261
12023,33.67%, 66.17%, 32.50%, 1.33%,a80352
12027,12.29%, 55.41%, 43.12%, 1.47%,8d036d
12029,44.82%, 71.22%, 26.40%, 2.39%,b50643
