id,margin,taft,wilson,other,roosevelt,other2,hex_color
25003,1.08%, 37.19%, 36.10%,23.23%, 22.14%,-,5e3b5c
25005,2.26%, 34.98%, 32.72%,29.36%, 28.00%,-,594a53
25007,1.16%, 34.75%, 27.78%,37.47%, 35.92%,-,585f46
25009,0.51%, 32.17%, 31.05%,32.7%, 31.66%,-,52534f
25011,5.04%, 36.08%, 28.00%,32.23%, 31.04%,-,5c5247
25013,2.54%, 37.45%, 34.91%,24.04%, 23.33%,-,5f3d59
25015,14.78%, 46.84%, 32.06%,18.060000000000002%, 16.67%,-,772e51
25017,3.08%, 29.66%, 35.67%,34.67%, 32.58%,-,4b585a
25019,9.40%, 21.81%, 43.79%,34.4%, 34.40%,-,37576f
25021,0.44%, 32.79%, 31.41%,33.739999999999995%, 33.23%,-,535650
25023,11.22%, 23.63%, 29.56%,41.67%, 40.78%,-,3c6a4b
25025,21.55%, 24.71%, 47.07%,26.02%, 25.53%,-,3f4278
25027,12.17%, 42.06%, 29.88%,28.06%, 25.54%,-,6b474c
26001,17.21%, 29.45%, 14.68%,47.669999999999995%, 46.66%,-,4b7925
26003,16.39%, 26.56%, 24.08%,44.510000000000005%, 42.95%,-,43713d
26005,12.93%, 27.92%, 25.34%,42.9%, 40.85%,-,476d40
26007,15.14%, 19.99%, 31.15%,48.86%, 46.29%,-,327c4f
26009,24.82%, 24.22%, 18.07%,50.49%, 49.04%,-,3d802e
26011,25.29%, 21.17%, 22.72%,50.32%, 48.01%, 2.16%,358039
26013,18.66%, 25.97%, 24.65%,46.13%, 44.63%,-,42753e
26015,1.46%, 28.84%, 32.75%,38.410000000000004%, 34.21%, 2.20%,496153
26017,15.69%, 23.43%, 26.68%,45.23%, 42.37%, 2.12%,3b7344
26019,4.03%, 29.69%, 17.04%,39.47%, 33.72%, 5.33%,4b642b
26021,0.97%, 23.06%, 35.40%,37.839999999999996%, 36.37%,-,3a605a
26023,5.17%, 30.11%, 35.28%,31.86%, 29.71%, 2.02%,4c5159
26025,5.13%, 26.42%, 28.98%,37.08%, 34.11%,-,435e49
26027,11.40%, 27.14%, 38.54%,27.96%, 26.60%,-,454762
26029,2.70%, 36.82%, 16.08%,35.54%, 34.12%,-,5d5a29
26031,5.75%, 27.69%, 30.32%,37.480000000000004%, 36.06%,-,465f4d
26033,18.62%, 23.31%, 23.05%,48.6%, 41.92%, 6.50%,3b7b3a
26035,5.23%, 30.99%, 23.94%,38.19%, 36.21%,-,4f613d
26037,1.65%, 31.97%, 31.97%,36.05%, 33.62%,-,515b51
26039,1.09%, 34.97%, 25.17%,35.1%, 33.88%,-,595940
26041,18.32%, 25.38%, 24.35%,44.71%, 43.70%,-,40723e
26043,1.01%, 40.90%, 10.77%,41.38%, 39.89%,-,68691b
26045,2.04%, 32.02%, 34.06%,33.92%, 30.42%,-,515656
26047,5.42%, 25.00%, 27.71%,34.730000000000004%, 33.13%,-,3f5846
26049,18.84%, 25.73%, 22.57%,46.74%, 44.57%,-,417739
26051,5.45%, 39.07%, 20.27%,35.46%, 33.62%,-,635a33
26053,17.83%, 26.92%, 18.82%,50.18%, 44.75%, 4.80%,447f2f
26055,19.11%, 23.25%, 24.23%,45.2%, 43.34%,-,3b733d
26057,5.00%, 30.64%, 31.08%,38.29%, 36.07%,-,4e614f
26059,11.77%, 20.68%, 32.08%,47.25%, 43.85%, 2.46%,347851
26061,15.44%, 29.18%, 19.49%,47.72%, 44.62%, 3.02%,4a7931
26063,21.34%, 28.61%, 19.50%,51.879999999999995%, 49.94%,-,488431
26065,6.57%, 26.71%, 29.75%,39.17%, 36.32%, 2.46%,44634b
26067,2.30%, 26.50%, 35.66%,35.64%, 33.35%, 2.13%,435a5a
26069,15.92%, 28.90%, 23.18%,47.92%, 44.81%,-,497a3b
26071,7.02%, 45.24%, 9.57%,40.46%, 38.22%,-,736718
26073,7.07%, 29.71%, 29.13%,38.21%, 36.78%,-,4b614a
26075,11.55%, 18.68%, 32.58%,45.88%, 44.13%,-,2f7453
26077,3.78%, 21.47%, 29.74%,37.099999999999994%, 33.51%, 3.27%,365e4b
26079,1.80%, 32.28%, 21.11%,37.54%, 34.08%, 3.17%,525f35
26081,13.15%, 20.35%, 29.48%,44.220000000000006%, 42.63%,-,33704b
26083,0.45%, 44.80%, 5.34%,46.88%, 45.25%,-,72770d
26085,26.56%, 24.02%, 19.68%,51.53%, 50.58%,-,3d8332
26087,10.83%, 32.09%, 22.28%,45.63%, 42.92%,-,517438
26089,3.25%, 35.42%, 19.62%,40.16%, 38.68%,-,5a6632
26091,6.69%, 27.02%, 38.23%,34.76%, 31.54%,-,445861
26093,10.22%, 28.49%, 39.66%,31.84%, 29.44%, 2.10%,485165
26095,5.91%, 37.38%, 16.29%,46.33%, 43.29%,-,5f7629
26097,6.68%, 34.63%, 41.31%,24.05%, 22.35%,-,583d69
26099,4.41%, 34.45%, 38.85%,26.7%, 24.72%,-,574463
26101,10.12%, 26.27%, 37.92%,29.7%, 27.79%,-,424b60
26103,12.84%, 33.28%, 12.75%,47.71%, 46.11%,-,547920
26105,16.64%, 21.51%, 27.34%,46.72%, 43.99%, 2.65%,367745
26107,14.65%, 26.84%, 24.28%,43.78%, 41.50%, 2.15%,446f3d
26109,13.91%, 26.94%, 27.03%,41.71%, 40.94%,-,446a44
26111,17.35%, 29.09%, 21.64%,49.28%, 46.44%,-,4a7d37
26113,11.17%, 32.88%, 17.00%,46.059999999999995%, 44.05%,-,53752b
26115,10.17%, 30.88%, 41.04%,28.080000000000002%, 25.78%,-,4e4768
26117,14.89%, 28.80%, 21.10%,45.68%, 43.68%,-,497435
26119,11.68%, 43.62%, 21.88%,32.35%, 31.95%,-,6f5237
26121,31.97%, 18.47%, 20.35%,53.51%, 52.32%,-,2f8833
