id,margin,nixon,mcgovern,other,other2,hex_color
12087,44.58%, 72.18%,27.599999999999994,0.22%,0,b80046
12089,59.21%, 79.44%,20.230000000000004,0.33%,0,ca0033
12091,77.82%, 88.64%,10.810000000000002,0.55%,0,e2011b
12093,61.19%, 80.58%,19.39,0.03%,0,cd0031
12095,59.50%, 79.57%,20.080000000000013,0.35%,0,ca0033
12097,66.25%, 82.94%,16.689999999999998,0.37%,0,d3002a
12099,45.17%, 72.35%,27.180000000000007,0.47%,0,b80145
12101,44.05%, 71.91%,27.85000000000001,0.24%,0,b70047
12103,39.80%, 69.83%,30.019999999999996,0.15%,0,b2004c
12105,57.23%, 78.42%,21.200000000000003,0.38%,0,c70036
12107,49.85%, 74.61%,24.760000000000005,0.63%,0,be013f
12109,55.34%, 77.48%,22.14999999999999,0.37%,0,c50038
12111,51.11%, 75.40%,24.289999999999992,0.31%,0,c0003d
12113,78.47%, 88.94%,10.460000000000008,0.6%,0,e2011a
12115,59.96%, 79.95%,19.989999999999995,0.06%,0,cb0032
12117,61.84%, 80.84%,19.00999999999999,0.15%,0,ce0030
12119,53.73%, 76.71%,22.980000000000004,0.31%,0,c3003a
12121,62.07%, 80.77%,18.700000000000003,0.53%,0,cd012f
12123,68.99%, 84.50%,15.5,0.0%,0,d70027
12125,67.71%, 83.85%,16.150000000000006,0.0%,0,d50029
12127,41.59%, 70.60%,29.010000000000005,0.39%,0,b40049
12129,64.08%, 82.01%,17.92,0.07%,0,d1002d
12131,72.27%, 85.93%,13.659999999999997,0.41%,0,db0122
12133,72.30%, 86.11%,13.820000000000007,0.07%,0,db0023
13001,68.66%, 84.33%,15.670000000000002,0.0%,0,d70027
13003,49.88%, 74.94%,25.060000000000002,0.0%,0,bf003f
13005,80.44%, 90.22%,9.780000000000001,0.0%,0,e60018
13007,47.33%, 73.66%,26.340000000000003,0.0%,0,bb0043
13009,54.16%, 77.08%,22.92,0.0%,0,c4003a
13011,57.92%, 78.96%,21.040000000000006,0.0%,0,c90035
13013,59.58%, 79.79%,20.209999999999994,0.0%,0,cb0033
13015,50.51%, 75.26%,24.739999999999995,0.0%,0,bf003f
13017,49.91%, 74.96%,25.040000000000006,0.0%,0,bf003f
13019,72.06%, 86.03%,13.969999999999999,0.0%,0,db0023
13021,45.74%, 72.87%,27.129999999999995,0.0%,0,b90045
13023,71.92%, 85.96%,14.040000000000006,0.0%,0,db0023
13025,64.88%, 82.44%,17.560000000000002,0.0%,0,d2002c
13027,58.15%, 79.08%,20.92,0.0%,0,c90035
13029,68.54%, 84.27%,15.730000000000004,0.0%,0,d60028
13031,57.71%, 78.85%,21.150000000000006,0.0%,0,c90035
13033,45.80%, 72.90%,27.099999999999994,0.0%,0,b90045
13035,46.05%, 73.02%,26.980000000000004,0.0%,0,ba0044
13037,28.62%, 64.31%,35.69,0.0%,0,a3005b
13039,51.93%, 75.97%,24.03,0.0%,0,c1003d
13043,71.41%, 85.71%,14.290000000000006,0.0%,0,da0024
13045,58.71%, 79.36%,20.64,0.0%,0,ca0034
13047,74.09%, 87.05%,12.950000000000003,0.0%,0,dd0021
13049,60.10%, 80.05%,19.950000000000003,0.0%,0,cc0032
13051,41.97%, 70.98%,29.019999999999996,0.0%,0,b4004a
13053,48.07%, 74.03%,25.97,0.0%,0,bc0042
13055,55.10%, 77.55%,22.450000000000003,0.0%,0,c50039
13057,65.24%, 82.62%,17.379999999999995,0.0%,0,d2002c
13059,30.62%, 65.31%,34.69,0.0%,0,a60058
13061,38.14%, 69.07%,30.930000000000007,0.0%,0,b0004e
13063,72.72%, 86.36%,13.64,0.0%,0,dc0022
13065,65.01%, 82.50%,17.5,0.0%,0,d2002c
13067,70.24%, 85.12%,14.879999999999995,0.0%,0,d90025
13069,73.27%, 86.63%,13.370000000000005,0.0%,0,dc0022
13071,76.25%, 88.12%,11.879999999999995,0.0%,0,e0001e
13073,67.29%, 83.65%,16.349999999999994,0.0%,0,d50029
13075,60.53%, 80.26%,19.739999999999995,0.0%,0,cc0032
