statecounty,Margin,McCain,Obama,Other
13027,13.51%, 56.52%, 43.01%, 0.47%
13029,42.56%, 70.82%, 28.26%, 0.92%
13031,19.14%, 59.12%, 39.98%, 0.90%
13033,9.22%, 45.08%, 54.30%, 0.62%
13035,31.66%, 65.32%, 33.67%, 1.01%
13037,21.70%, 38.97%, 60.67%, 0.36%
13039,23.50%, 61.39%, 37.89%, 0.72%
13043,30.58%, 64.91%, 34.33%, 0.77%
13045,32.87%, 65.76%, 32.89%, 1.35%
13047,49.55%, 74.04%, 24.49%, 1.47%
13049,34.33%, 66.70%, 32.38%, 0.92%
13051,14.42%, 42.40%, 56.82%, 0.78%
13053,1.15%, 48.97%, 50.12%, 0.91%
13055,35.70%, 66.83%, 31.14%, 2.03%
13057,51.00%, 74.79%, 23.78%, 1.43%
13059,31.22%, 33.58%, 64.80%, 1.62%
13061,22.29%, 38.75%, 61.04%, 0.21%
13063,66.34%, 16.59%, 82.93%, 0.48%
13065,25.50%, 62.10%, 36.60%, 1.30%
13067,9.41%, 54.08%, 44.67%, 1.25%
13069,29.52%, 64.49%, 34.97%, 0.55%
13071,37.51%, 68.27%, 30.76%, 0.97%
13073,42.58%, 70.89%, 28.31%, 0.80%
13075,28.89%, 64.00%, 35.12%, 0.88%
13077,41.11%, 70.05%, 28.94%, 1.01%
13079,29.08%, 63.99%, 34.91%, 1.11%
13081,17.73%, 58.56%, 40.84%, 0.60%
13083,47.98%, 73.01%, 25.02%, 1.97%
13085,66.19%, 82.54%, 16.34%, 1.12%
13087,14.12%, 56.72%, 42.60%, 0.68%
13089,58.55%, 20.31%, 78.86%, 0.83%
13091,35.85%, 67.40%, 31.55%, 1.05%
13093,3.53%, 47.85%, 51.38%, 0.77%
13095,34.94%, 32.27%, 67.21%, 0.52%
13097,1.84%, 48.58%, 50.41%, 1.01%
13099,2.02%, 50.74%, 48.72%, 0.54%
13101,65.66%, 82.58%, 16.92%, 0.51%
13103,50.61%, 74.87%, 24.27%, 0.86%
13105,18.03%, 58.43%, 40.40%, 1.18%
13107,24.75%, 61.92%, 37.18%, 0.90%
13109,28.22%, 63.85%, 35.63%, 0.52%
13111,48.82%, 73.35%, 24.53%, 2.11%
13113,30.60%, 64.77%, 34.17%, 1.05%
13115,36.25%, 67.40%, 31.15%, 1.45%
13117,57.96%, 78.36%, 20.40%, 1.23%
13119,51.28%, 74.90%, 23.62%, 1.48%
13121,34.97%, 32.08%, 67.06%, 0.86%
13123,51.80%, 75.17%, 23.37%, 1.47%
13125,69.47%, 84.17%, 14.71%, 1.12%
13127,23.36%, 61.31%, 37.95%, 0.74%
13129,50.10%, 74.27%, 24.17%, 1.55%
13131,23.86%, 61.63%, 37.77%, 0.61%
13133,15.06%, 57.21%, 42.15%, 0.63%
13135,10.22%, 54.56%, 44.35%, 1.09%
13137,59.67%, 79.18%, 19.52%, 1.30%
13139,50.73%, 74.77%, 24.04%, 1.18%
13141,63.02%, 18.28%, 81.30%, 0.41%
13143,57.59%, 77.79%, 20.20%, 2.01%
13145,43.25%, 71.25%, 28.00%, 0.76%
13147,31.64%, 65.21%, 33.57%, 1.22%
13149,49.42%, 74.05%, 24.63%, 1.32%
13151,7.45%, 53.29%, 45.85%, 0.86%
13153,20.16%, 59.59%, 39.43%, 0.98%
13155,36.67%, 67.84%, 31.17%, 0.99%
13157,55.73%, 77.23%, 21.51%, 1.26%
13159,33.51%, 66.25%, 32.74%, 1.02%
13161,47.50%, 73.16%, 25.65%, 1.19%
13163,15.04%, 42.31%, 57.35%, 0.35%
13165,13.19%, 56.25%, 43.06%, 0.70%
13167,33.64%, 66.47%, 32.82%, 0.71%
13169,25.76%, 62.46%, 36.69%, 0.85%
13171,27.53%, 63.24%, 35.72%, 1.04%
13173,25.17%, 62.05%, 36.88%, 1.08%
13175,21.45%, 60.37%, 38.92%, 0.71%
13177,52.05%, 75.69%, 23.64%, 0.66%
