id,1988,1992,1996,2000,2004,2008,2012
12029,-19.6,10.4,8.8,-18.7,-38.4,-44.8,-46.8
12031,-26.1,-12.6,-5.8,-16.8,-16.2,-1.9,-3.6
12033,-36.6,-19.7,-21.4,-27.5,-31.6,-19.2,-20.5
12035,-20.9,2.7,6.7,4.8,-2.7,1.5,-7.4
12037,-19.3,-3,11.7,-8.7,-18,-27.8,-31.4
12039,3.1,31.4,39.4,33.7,39.9,38.9,40.6
12041,-23.9,2.9,1,-25.8,-41.6,-46.8,-50.8
12043,-19.8,3.6,4.9,-11.8,-17.3,-20.1,-18.5
12045,-27.8,-12.2,0.8,-18.8,-32.9,-39.2,-41.8
12047,-21.9,5.9,5.8,-10.7,-10.5,-14.6,-16.8
12049,-35.9,-13.7,-8.3,-22.8,-40.1,-29.5,-30.8
12051,-32,-7.3,0.4,-18.5,-18.4,-7.1,-5.9
12053,-15.6,2.6,11.1,3,-6.7,-3.5,-8.4
12055,-34.7,-10.1,-4,-17.2,-25.4,-18,-22.9
12057,-20.4,-5,2.5,-3.1,-6.8,7.2,6.7
12059,-43.8,-20.2,-13.8,-38.4,-55.5,-64.8,-68.3
12061,-40.1,-15.4,-14.5,-17.9,-21.1,-14.7,-22.3
12063,-25.1,-8.4,-3.3,-14,-23.1,-28,-29
12065,-6.2,16.3,14.4,10,11.2,3.6,1.7
12067,-33.4,-6.8,-14.5,-35.2,-48.6,-60.3,-58.1
12069,-37.7,-11,-7.3,-15.1,-21.1,-13.5,-17.1
12071,-36.1,-11.9,-9.1,-17.7,-20.9,-10.4,-16.5
12073,-3.7,16.2,17.6,21.7,23.7,24.2,23.6
12075,-20.7,4.9,5.7,-11.5,-26,-26.9,-32.1
12077,-32.7,-11.9,-2.1,-12.4,-28.4,-44,-41.4
12079,-13.5,11,10.7,-0.4,-1.7,-3.1,-3.4
12081,-31.4,-8.8,-2.4,-8,-13.9,-7,-12.5
12083,-33.3,-5.3,-4.8,-10.2,-17.2,-11.5,-16.2
12085,-45.9,-18.8,-14,-11.9,-15.4,-13.5,-22.9
12086,6.3,,19.4,6.3,,16.1,23.7
12087,-21.8,1.9,9.8,1.2,0.5,4.8,0.5
12089,-33.7,-21.2,-23,-39.8,-46.4,-43.7,-48.5
12091,-60.7,-33.6,-38.4,-49.7,-56,-44.8,-49.2
12093,-22.2,1.3,14.1,-4.7,-14.9,-19.1,-20
12095,-36.6,-11,-0.2,2.1,0.2,18.7,18.2
12097,-36.8,-9.1,7.6,3.5,-5.5,19.7,24.4
12099,-11.4,11.8,24.4,27,21.3,22.9,17
12101,-11.7,4,13.6,0.6,-9.7,-3.6,-6.6
12103,-16.1,0.4,8.7,3.9,-0.1,8.2,5.6
12105,-33.4,-9.9,-0.9,-9,-17.8,-6.2,-6.7
12107,-15,7,8.8,-5.2,-19,-19.2,-24.4
12109,-40.8,-19.8,-21.9,-33,-38,-31.6,-37.7
12111,-29.7,-0.8,9.8,8.8,4.2,12.1,7.8
12113,-56.3,-32.9,-36.2,-46.7,-55.5,-47.8,-52.4
12115,-33.4,-7.9,-3.8,-6.3,-8.3,-0.1,-7.4
12117,-45.1,-18.3,-12.8,-12,-16.8,-2.8,-6.5
12119,-20.6,5.4,6.9,-11.2,-25.8,-27,-34.9
12121,-30,-5.1,-10.4,-31.6,-42,-43,-44.7
12123,-39.1,-1.7,4.9,-20.7,-28.2,-38.9,-38.2
12125,-40.6,-8.4,-7.2,-24.2,-45.8,-49.7,-48.8
12127,-14.3,3.8,9.9,8.2,1.6,5.7,-1.1
12129,-32.3,-3.9,1.7,-7.8,-16,-24.8,-28
12131,-39.4,-13.5,-15.3,-35.7,-47.3,-45.7,-51.9
12133,-33.9,-14.6,-6.7,-27.3,-43,-47.6,-47.3
13001,-23.9,-1,-9.8,-30.3,-41.5,-46.2,-49
13003,-11.8,12.6,2.2,-19.7,-35.1,-34.5,-34.7
13005,-28.5,3.7,-6.6,-35.2,-50.7,-57.7,-58.5
13007,5.7,32.3,37,18.3,6.5,1.1,0.6
13009,-18.6,13.1,10.4,-1.2,-6.4,4.6,5.5
13011,-23.5,-0.6,-9.5,-43.7,-58.4,-65.5,-73.7
13013,-31.8,-3.4,-13.7,-35.3,-53.1,-44.6,-50.2
13015,-24.2,-6.3,-13.3,-31.6,-48.1,-45.1,-51.5
13017,-3.5,19.5,16.7,-3.2,-20.8,-13.7,-14.8
13019,-19,10.3,2.5,-24.4,-40.7,-53.1,-57.3
13021,-0.3,15.2,11.9,1.8,2.1,18,20
13023,-24.7,3.5,-8,-31,-42.1,-44.8,-47.1
13025,-3,8,-6.7,-38.3,-54.6,-63,-66.9
13027,-17.4,2.7,5.9,-6.8,-14,-13.5,-6.1
13029,-32.6,-12.7,-22.8,-37.7,-47.8,-42.5,-43.4
13031,-30,-6.2,-9.6,-23.2,-28.2,-19.1,-18.9
13033,-2.2,18.4,19.1,4.7,-0.3,9.2,11.3
13035,-11.6,14.1,5.1,-16.3,-32.9,-31.6,-35.5
13037,16.6,41.5,36.1,18,11.3,21.7,19
13039,-16.3,-7.4,-6.9,-27.1,-34.1,-23.5,-27.5
13043,-17.9,6.5,-1.3,-21.7,-30.2,-30.6,-33.6
13045,-38.9,-10.4,-12.5,-29.4,-41.4,-32.9,-37.5
13047,-44.3,-18.9,-20.7,-37,-47.4,-49.5,-52.5
13049,-16.7,-7.1,-0.2,-26.9,-36.8,-34.3,-35.3
13051,-17.2,-0.5,5.3,-0.3,0.2,14.4,12
13053,-11.3,15.9,15.4,0.8,-7.9,1.1,-0.4
