statecounty,margin,bush,clinton,perot
08037,0.45%, 28.52%, 35.60%, 35.15%
08039,12.65%, 43.71%, 24.52%, 31.06%
08041,24.06%, 51.47%, 27.41%, 20.55%
08043,4.00%, 39.40%, 35.40%, 24.51%
08045,4.82%, 31.51%, 36.36%, 31.54%
08047,10.29%, 26.26%, 41.27%, 30.98%
08049,1.73%, 35.85%, 34.12%, 29.56%
08051,12.47%, 28.86%, 41.48%, 29.02%
08053,7.77%, 39.50%, 31.72%, 28.57%
08055,23.30%, 29.62%, 52.92%, 16.65%
08057,9.94%, 43.69%, 22.36%, 33.75%
08059,0.84%, 37.05%, 36.22%, 26.17%
08061,17.67%, 45.83%, 28.16%, 25.92%
08063,23.95%, 49.23%, 25.29%, 25.12%
08065,19.26%, 20.70%, 48.79%, 29.52%
08067,2.50%, 35.37%, 37.87%, 26.15%
08069,2.24%, 36.12%, 38.36%, 24.96%
08071,32.09%, 26.47%, 58.56%, 14.51%
08073,19.04%, 46.79%, 27.75%, 25.20%
08075,8.41%, 40.98%, 32.57%, 26.17%
08077,6.82%, 41.23%, 34.41%, 23.77%
08079,2.67%, 35.41%, 38.08%, 26.06%
08081,1.30%, 35.51%, 27.20%, 36.80%
08083,11.18%, 40.90%, 29.72%, 28.87%
08085,9.67%, 41.35%, 31.67%, 26.38%
08087,8.28%, 41.70%, 33.43%, 24.36%
08089,4.39%, 37.53%, 41.92%, 19.13%
08091,11.81%, 41.25%, 29.12%, 29.44%
08093,3.13%, 35.78%, 30.57%, 32.65%
08095,16.63%, 46.68%, 30.05%, 22.80%
08097,25.61%, 22.57%, 51.14%, 25.53%
08099,11.18%, 44.10%, 32.92%, 22.02%
08101,25.06%, 28.56%, 53.62%, 17.44%
08103,15.33%, 43.19%, 27.30%, 27.86%
08105,8.52%, 42.51%, 34.00%, 23.01%
08107,7.65%, 28.89%, 39.06%, 31.42%
08109,15.46%, 31.05%, 46.50%, 21.67%
08111,7.95%, 26.05%, 32.45%, 40.40%
08113,28.01%, 23.58%, 51.82%, 23.81%
08115,4.36%, 39.01%, 34.64%, 25.74%
08117,7.51%, 26.95%, 39.95%, 32.44%
